Gene	Chromosome	Start	End	Canonical
PRKAR2B	7	106685352	106800027	NM_002736
PRKAR1B	7	590066	751142	NM_001164761
CD1E	1	158323778	158326686	NM_030893
SMN1	5	69345512	70247818	NM_000344
RBMXL2	11	7110351	7111530	NM_014469
CMTM5	14	23846460	23848696	NM_138460
DIAPH3	13	60240717	60737900	NM_001042517
TAX1BP1	7	27788143	27868448	NM_006024
EDC3	15	74924952	74967465	NM_001142443
RAPGEF1	9	134454883	134612801	NM_198679
RBM3	X	48433568	48435474	NM_006743
ORC3	6	88299886	88376841	NM_181837
STARD8	X	67867724	67944264	NM_001142503
SNPH	20	1277015	1286698	NM_014723
KIAA0391	14	35592451	35742772	NM_014672
SLC25A1	22	19163642	19166186	NM_001256534
MSTO1	1	155580039	155584064	NM_018116
CACNA1G	17	48638820	48704112	NM_018896
EPHX2	8	27348725	27402039	NM_001979
LOC100996634	6	109557863	109591574	NM_001277339
NLRC3	16	3591824	3615037	NM_178844
RETNLB	3	108474624	108476032	NM_032579
HES7	17	8024888	8027402	NM_001165967
LCN8	9	139648949	139652382	NM_178469
MRPL24	1	156707189	156708496	NM_145729
RAET1L	6	150341265	150346607	NM_130900
ARHGAP8	22	45182407	45258475	NM_001017526
DCAF4	14	73404686	73425513	NM_015604
KAAG1	6	24357867	24358122	NM_181337
LEMD2	6	33740404	33756893	NM_181336
RAD17	5	68667342	68710119	NM_002873
GKN2	2	69172499	69179993	NM_182536
C1orf86	1	2116716	2132537	NM_001146310
IFNL4	19	39737772	39739219	NM_001276254
CT47A11	X	120064142	120114523	NM_173571
NYAP1	7	100082934	100091526	NM_173564
SNRNP35	12	123944435	123950828	NM_022717
ZMYND11	10	225952	298410	NM_006624
ANO4	12	101295563	101520848	NM_178826
RGPD5	2	110552042	113191030	NM_005054
EMC8	16	85813313	85832901	NM_006067
C3orf55	3	157271046	157318170	NM_001130002
MINOS1	1	19923539	19952895	NM_001204083
STK24	13	99105426	99229040	NM_001032296
FAM229B	6	112420486	112421990	NM_001033564
UBR2	6	42532057	42658911	NM_015255
PARD3	10	34400096	35103923	NM_019619
EIF2B3	1	45316622	45446840	NM_020365
PDGFA	7	538200	558638	NM_002607
RPS24	10	79793659	79814768	NM_001142285
TRIM33	1	114940269	115053697	NM_015906
CDK16	X	47078051	47088167	NM_033018
RERG	12	15262043	15370423	NM_032918
TRIM4	7	99489785	99517024	NM_033017
PDGFB	22	39621727	39639968	NM_002608
FASTK	7	150773811	150777853	NM_006712
OGN	9	95147901	95165689	NM_033014
NR1I2	3	119501604	119536059	NM_003889
TNFSF11	13	43148439	43181054	NM_033012
PLAT	8	42033510	42050703	NM_000930
PCBP4	3	51992076	51995256	NM_001174100
CRHR2	7	30693075	30739649	NM_001202481
MRVI1	11	10597878	10715149	NM_130385
FUCA1	1	24172204	24194776	NM_000147
FSHR	2	49189871	49381556	NM_000145
LOC81691	16	20818275	20860802	NM_001199053
USP46	4	53463805	53525317	NM_001134223
TMED5	1	93620226	93645799	NM_001167830
TFEB	6	41652336	41703903	NM_007162
BLCAP	20	36147312	36147576	NM_001167820
FHL1	X	135278961	135292184	NM_001159704
C20orf26	20	20037297	20341054	NM_015585
LPP	3	188123908	188592267	NM_005578
CTSF	11	66331403	66335957	NM_003793
EDF1	9	139756735	139760710	NM_003792
MYH13	17	10204267	10267847	NM_003802
CTDNEP1	17	7147503	7154615	NM_015343
NOX4	11	89059923	89224414	NM_001143837
NFRKB	11	129734619	129762783	NM_001143835
MUC22	6	30978483	31002715	NM_001198815
ATP1A2	1	160085651	160111112	NM_000702
SERTAD2	2	64863060	64864005	NM_014755
C22orf24	22	32330103	32334052	NM_015372
NOXO1	16	2029052	2031180	NM_172168
MSH5	6	31708243	31730308	NM_002441
STATH	4	70864154	70866666	NM_003154
SPECC1	17	19999964	20217378	NM_152904
ZNF407	18	72342975	72776424	NM_017757
TOX3	16	52473136	52580635	NM_001146188
TRIM24	7	138145293	138269696	NM_015905
C2CD4C	19	407095	408361	NM_001136263
ZNF268	12	133758583	133781116	NM_152943
LYRM4	6	5109656	5260966	NM_001164841
ABL2	1	179076852	179198532	NM_007314
ATP5G2	12	54059097	54069976	NM_001002031
ATP5G1	17	46970779	46973131	NM_005175
ATP5C1	10	7830170	7849625	NM_001001973
ATP2A3	17	3828671	3867585	NM_174953
ATOH1	4	94750077	94751142	NM_005172
SCNN1A	12	6457038	6486432	NM_001159576
TMUB1	7	150778635	150779650	NM_031434
MADD	11	47295465	47350701	NM_003682
MAPRE2	18	32558481	32720333	NM_001143827
RIIAD1	1	151694012	151701312	NM_001144956
IL18BP	11	71711030	71712942	NM_005699
FMR1	X	146993697	147030364	NM_002024
NDUFS5	1	39494396	39500168	NM_004552
CLDN15	7	100875690	100880862	NM_001185080
ARHGDIA	17	79826751	79827806	NM_001185077
UQCC	20	33891737	33999766	NM_018244
BCL7B	7	72951627	72971908	NM_001707
IL21	4	123533864	123542166	NM_001207006
HSD11B1	1	209878287	209907866	NM_001206741
API5	11	43333677	43364060	NM_001142930
ZNF674	X	46359277	46401522	NM_001039891
RBMS3	3	29323172	30045353	NM_001003793
LTB4R2	14	24779870	24780947	NM_001164692
IL1RAP	3	190282078	190374396	NM_001167928
CXorf30	X	36303817	36403121	NM_001098843
MS4A15	11	60531206	60543188	NM_001098835
GAB4	22	17443622	17489004	NM_001037814
ZNF284	19	44580542	44591413	NM_001037813
CYLD	16	50783609	50830419	NM_015247
ANKZF1	2	220094979	220101167	NM_018089
OTUD1	10	23728386	23729832	NM_001145373
SIDT2	11	117049979	117066782	NM_001040455
CRISP2	6	49660485	49676909	NM_003296
MGEA5	10	103546207	103577779	NM_012215
MORF4L2	X	102931088	102931955	NM_001142418
SAMD4A	14	55034634	55255662	NM_015589
SLC22A8	11	62760708	62782430	NM_004254
SH3TC1	4	8206921	8242682	NM_018986
SSH1	12	109181763	109251272	NM_018984
C12orf44	12	52467434	52470974	NM_021934
MIIP	1	12081783	12091865	NM_021933
PCDH20	13	61985375	61989291	NM_022843
GH1	17	61994668	61996136	NM_000515
RFX7	15	56385542	56535483	NM_022841
OCIAD2	4	48887500	48906566	NM_001014446
GPX7	1	53068081	53074097	NM_015696
SGSM3	22	40796810	40805763	NM_015705
BRPF3	6	36168099	36198386	NM_015695
FCHSD2	11	72549835	72852922	NM_014824
WNK1	12	862731	1017958	NM_001184985
NMUR2	5	151771751	151784674	NM_020167
MCCC1	3	182733225	182817228	NM_020166
RASGRP4	19	38900679	38916731	NM_170604
ZNF799	19	12501279	12511884	NM_001080821
ITGA6	2	173292516	173368980	NM_000210
DENR	12	123238248	123253625	NM_003677
DEGS1	1	224371038	224380180	NM_003676
PRPF18	10	13629086	13672340	NM_003675
TCAP	17	37821612	37822362	NM_003673
CDC14A	1	100818510	100983836	NM_003672
CCNYL1	2	208576620	208618422	NM_001142300
SLC35E2	1	1656852	1670996	NM_182838
RABGGTA	14	24734820	24740321	NM_004581
CX3CR1	3	39306932	39323186	NM_001171171
SLC25A21	14	37147688	37641555	NM_030631
VEGFA	6	43738443	43752365	NM_001025366
PREPL	2	44548494	44586854	NM_006036
LDB3	10	88428448	88492733	NM_001171610
ITM2A	X	78616585	78622712	NM_004867
MCFD2	2	47132601	47168802	NM_001171508
AGER	6	32148919	32151999	NM_001206929
ELAVL2	9	23692554	23762232	NM_004432
ONECUT3	19	1753661	1775444	NM_001080488
SLC2A11	22	24199157	24227036	NM_030807
ASL	7	65541068	65557899	NM_001024943
CYB561D1	1	110036761	110038881	NM_001134404
ZDHHC4	7	6620192	6628541	NM_001134387
HMGCL	1	24128952	24151905	NM_000191
RPL37A	2	217363597	217366127	NM_000998
ACYP1	14	75520146	75530256	NM_203488
RPL37	5	40832605	40835287	NM_000997
ACLY	17	40024062	40070126	NM_001096
APOD	3	195295770	195306332	NM_001647
GAGE12I	X	49217770	49342266	NM_001477
LOXL2	8	23155555	23225864	NM_002318
SRSF2	17	74732242	74733242	NM_003016
RFC4	3	186507757	186522502	NM_181573
PLAU	10	75671313	75676323	NM_001145031
SFRP5	10	99527270	99531590	NM_003015
PLAG1	8	57078801	57080828	NM_002655
RFC2	7	73646435	73668713	NM_181471
ACIN1	14	23528356	23564495	NM_014977
C3orf17	3	112724382	112738494	NM_015412
SUMF2	7	56131947	56147564	NM_015411
MELK	9	36581678	36677334	NM_014791
EP400	12	132445164	132562218	NM_015409
ZNF559	19	9434854	9453744	NM_001202409
SUN2	22	39132271	39148633	NM_001199579
TYR	11	88911121	89028534	NM_000372
TTR	18	29171865	29178638	NM_000371
CTSL1	9	90342518	90346022	NM_001912
RHOA	3	49397641	49413022	NM_001664
ARF6	14	50360454	50360982	NM_001663
ARF1	1	228284815	228285714	NM_001024227
CTSD	11	1774732	1785089	NM_001909
CTSE	1	206317576	206331228	NM_001910
ZFAND2B	2	220071709	220074028	NM_138802
ERI1	8	8860573	8887544	NM_153332
KCTD6	3	58484482	58487359	NM_153331
ALDH16A1	19	49956588	49973724	NM_153329
DNAJB8	3	128181389	128182088	NM_153330
PNMA1	14	74179280	74180342	NM_006029
MINPP1	10	89264672	89312235	NM_004897
GRB2	17	73316448	73389709	NM_002086
IL9R	X	155227408	155240074	NM_176786
CAMK1G	1	209768328	209786220	NM_020439
LYZL6	17	34261799	34266360	NM_001199951
PHTF2	7	77469572	77584195	NM_001127358
SMURF1	7	98628206	98741403	NM_020429
SLC44A2	19	10713206	10754061	NM_020428
SLURP1	8	143822560	143823803	NM_020427
MRAS	3	138091725	138121111	NM_012219
TRPC7	5	135549122	135700942	NM_020389
CLDN14	21	37833273	37833993	NM_144492
RGS3	9	116222536	116359233	NM_144488
MATK	19	3778180	3789345	NM_139355
LRRC16A	6	25280023	25619811	NM_017640
ASPRV1	2	70187788	70188820	NM_152792
LHX3	9	139089170	139096858	NM_014564
TAAR2	6	132938288	132945414	NM_001033080
HOXC4	12	54447706	54448989	NM_014620
PLA2G2E	1	20246799	20250052	NM_014589
KIAA0556	16	27561491	27789950	NM_015202
HDAC7	12	48177623	48213568	NM_015401
PAIP2	5	138699473	138704487	NM_001033112
ZC3HC1	7	129658503	129691206	NM_016478
ANAPC11	17	79852353	79857976	NM_001002244
JKAMP	14	59951307	59970790	NM_016475
CCDC174	3	14693343	14712701	NM_016474
GSKIP	14	96848584	96852021	NM_001271904
C20orf111	20	42825691	42835597	NM_016470
COX16	14	70793049	70826304	NM_016468
ORMDL1	2	190636492	190647321	NM_016467
ANKRD39	2	97514037	97523724	NM_016466
TMEM138	11	61131862	61136181	NM_016464
IL23R	1	67633803	67724811	NM_144701
CLUAP1	16	3551067	3586271	NM_015041
MORC2	22	31322789	31346402	NM_014941
KIAA0907	1	155883911	155904164	NM_014949
ZBTB1	14	64988222	64998615	NM_014950
SETD1B	12	122242643	122268145	NM_015048
UBOX5	20	3090751	3104011	NM_014948
KCNK2	1	215179264	215408488	NM_001017424
DSPP	4	88532060	88537720	NM_014208
ADD1	4	2877642	2930250	NM_176801
FOXJ3	1	42645380	42776764	NM_001198851
SPAST	2	32288900	32379565	NM_014946
SETX	9	135139625	135224815	NM_015046
WAPAL	10	88197299	88277826	NM_015045
ABLIM3	5	148521658	148637967	NM_014945
GGA2	16	23478910	23521732	NM_015044
DNAJA3	16	4475882	4505569	NM_005147
FERMT2	14	53325094	53417286	NM_001134999
GLOD5	X	48620194	48631851	NM_001080489
PLAGL1	6	144262560	144269273	NM_001080952
DSE	6	116720413	116758508	NM_013352
REPS2	X	16964984	17165604	NM_004726
ZFYVE19	15	41099486	41106424	NM_001077268
CIZ1	9	130928475	130954218	NM_001257975
CUL2	10	35299238	35363154	NM_001198779
DTNA	18	32335940	32470404	NM_001198939
EWSR1	22	29664325	29696151	NM_013986
ZBTB14	18	5290856	5293245	NM_001143823
EXOC7	17	74079728	74099773	NM_001145297
OPRM1	6	154331647	154567919	NM_001145287
COL6A3	2	238233416	238305460	NM_004369
HS6ST2	X	131762250	132092630	NM_001077188
RAC2	22	37622712	37640188	NM_002872
RABIF	1	202850105	202858226	NM_002871
RAB6A	11	73388942	73471680	NM_002869
RAB13	1	153954574	153958712	NM_001272038
RAB5B	12	56380744	56385996	NM_002868
RAB3B	1	52385598	52442789	NM_002867
RAB3A	19	18308279	18313550	NM_002866
RAB2A	8	61429766	61533328	NM_002865
PZP	12	9301567	9360937	NM_002864
PYGL	14	51372109	51411121	NM_002863
PCYT2	17	79862708	79869231	NM_001256435
GOLPH3	5	32126317	32174140	NM_022130
PBLD	10	70043933	70066601	NM_022129
RBKS	2	28004481	28113212	NM_022128
SLC28A3	9	86893132	86955548	NM_001199633
LHPP	10	126150431	126301929	NM_022126
CDH23	10	73199588	73575035	NM_022124
ZNF81	X	47705666	47776031	NM_007137
CD302	2	160628361	160654709	NM_014880
P2RY14	3	150931087	150932104	NM_001081455
KIAA0020	9	2804330	2838507	NM_014878
HELZ	17	65074367	65214920	NM_014877
JOSD1	22	39083906	39095992	NM_014876
KIF14	1	200522515	200587851	NM_014875
ABCF2	7	150905156	150923544	NM_007189
MAPRE3	2	27245086	27249216	NM_012326
MAPK8IP2	22	51039247	51049207	NM_012324
KIF4A	X	69510308	69640115	NM_012310
TECPR2	14	102843058	102964594	NM_014844
ARHGAP6	X	11156982	11682948	NM_013427
IDS	X	148564276	148586667	NM_000202
MAN2A2	15	91447437	91463017	NM_006122
GPR132	14	105517330	105521757	NM_013345
TFPT	19	54610356	54618649	NM_013342
OLA1	2	174940153	175111543	NM_013341
ALG6	1	63836648	63902691	NM_013339
PCDHB1	5	140431055	140433512	NM_013340
ALG5	13	37524078	37573437	NM_013338
TIMM22	17	900382	904328	NM_013337
SEC61A1	3	127771395	127788505	NM_013336
DHX34	19	47856287	47885370	NM_014681
CCDC28A	6	139094811	139113940	NM_015439
DAW1	2	228736405	228788684	NM_178821
AGPAT6	8	41456658	41478520	NM_178819
CT47A12	X	120064142	120114523	NM_001242922
ZCRB1	12	42706868	42717904	NM_033114
PCDHB13	5	140593695	140596092	NM_018933
PCDHB12	5	140588479	140590867	NM_018932
ADAMTSL4	1	150524764	150532672	NM_019032
PCDHB11	5	140579347	140581741	NM_018931
PCDHB10	5	140572125	140574528	NM_018930
DHX29	5	54552315	54603401	NM_019030
PCDHGC5	5	140868807	140890740	NM_018929
L3HYPDH	14	59939682	59951034	NM_144581
SLC26A9	1	205884019	205904948	NM_052934
SFXN5	2	73172150	73298834	NM_144579
MAPK1IP1L	14	55528401	55531345	NM_144578
CCDC114	19	48800232	48822028	NM_144577
COQ10A	12	56660902	56664101	NM_144576
CAPN13	2	30953625	31010191	NM_144575
FOXO3	6	108882411	108986058	NM_001455
CCZ1B	7	6838854	6865828	NM_198097
OR14C36	1	248512076	248513015	NM_001001918
OR5T2	11	55999581	56000661	NM_001004746
HILPDA	7	128097322	128097514	NM_013332
FAM89B	11	65340140	65341112	NM_001098784
CACNA1C	12	2162728	2800365	NM_199460
SLC47A2	17	19581998	19619868	NM_152908
GOLGA6L1	15	22736336	22744278	NM_001001413
CYP3A7	7	99303122	99332716	NM_000765
CYP2B6	19	41497210	41522732	NM_000767
IFNG	12	68549132	68553395	NM_000619
IGF1	12	102796284	102874159	NM_001111283
CYP1A2	15	75042079	75047429	NM_000761
CD4	12	6909304	6928495	NM_001195014
CSF3R	1	36931696	36945097	NM_156039
BZW1	2	201677030	201686901	NM_001207067
DIO2	14	80669031	80677815	NM_000793
NUPL1	13	25875911	25914272	NM_014089
AP4B1	1	114437686	114447339	NM_006594
MAT1A	10	82033536	82049179	NM_000429
IGFBP2	2	217498246	217528827	NM_000597
IL2	4	123372906	123377595	NM_000586
FCGR1A	1	149754299	149763073	NM_000566
LOR	1	153233425	153234364	NM_000427
MNAT1	14	61201580	61435067	NM_002431
IFNA13	9	21367436	21368009	NM_006900
GPX1	3	49394820	49395711	NM_201397
ZMYM3	X	70460765	70473105	NM_001171162
SIGLEC10	19	51914352	51920835	NM_033130
LOC649330	1	12907260	12908142	NM_001146181
IP6K2	3	48725705	48752868	NM_001190316
ZNF414	19	8575574	8578930	NM_001146175
TNIK	3	170781669	171177852	NM_015028
HHAT	1	210502354	210847721	NM_018194
CXorf58	X	23928419	23957420	NM_152761
CXorf56	X	118673689	118699318	NM_001170569
GRAMD1C	3	113557756	113664325	NM_017577
HPD	12	122277633	122296729	NM_001171993
C6orf223	6	43968356	43970863	NM_001171992
HCCS	X	11130180	11139930	NM_005333
SETD9	5	56205472	56221163	NM_153706
AGA	4	178352861	178363529	NM_000027
PEX2	8	77895496	77896414	NM_001172086
TBP	6	170866117	170881353	NM_003194
PPARD	6	35314914	35393856	NM_001171818
CDHR1	10	85954516	85979032	NM_033100
CDHR5	11	617350	624902	NM_021924
RBFA	18	77794495	77806155	NM_024805
PRSS37	7	141536194	141540849	NM_001008270
KXD1	19	18672866	18679441	NM_001171948
RALYL	8	85097233	85833146	NM_173848
SOCS2	12	93966673	93968955	NM_001270470
PIGB	15	55611448	55647630	NM_004855
SPNS3	17	4337262	4391189	NM_182538
RTBDN	19	12936519	12945912	NM_001270440
SORBS1	10	97074815	97200892	NM_001034954
C17orf72	17	62075724	62079335	NM_001164257
MID1	X	10417407	10535587	NM_000381
CD53	1	111434030	111441817	NM_001040033
CAPG	2	85622015	85629268	NM_001747
CNPY4	7	99717367	99722511	NM_152755
SEMA3D	7	84628755	84751207	NM_152754
SCUBE3	6	35182195	35216482	NM_152753
ATXN7L1	7	105248298	105517004	NM_020725
CDHR3	7	105603764	105673143	NM_152750
KIAA1324L	7	86509786	86688829	NM_001142749
DDX10	11	108535880	108811150	NM_004398
DEFA1	8	6835291	6874372	NM_004084
DMBT1	10	124320286	124402914	NM_007329
DDX5	17	62496040	62502237	NM_004396
DBN1	5	176884433	176900522	NM_080881
DLX2	2	172965270	172967266	NM_004405
SEPT2	2	242263647	242289589	NM_001008491
DAP	5	10681167	10761180	NM_004394
DFNA5	7	24738644	24789393	NM_004403
DACH1	13	72014786	72440907	NM_080759
DFFB	1	3774167	3800305	NM_004402
DFFA	1	10521546	10532515	NM_213566
ERLEC1	2	54014347	54045106	NM_015701
WWC3	X	10031578	10109541	NM_015691
NFU1	2	69623377	69664554	NM_015700
DENND2A	7	140218506	140302197	NM_015689
STK36	2	219537552	219566732	NM_015690
ATP6V1E1	22	18075439	18111401	NM_001696
CCDC173	2	170502350	170550837	NM_001085447
C2orf54	2	241826486	241835414	NM_001085437
ESPNL	2	239009060	239040373	NM_194312
OR8K5	11	55926869	55927793	NM_001004058
MGAT1	5	180218633	180219971	NM_001114618
ME1	6	83921642	84140673	NM_002395
MFNG	22	37866000	37882215	NM_002405
MFAP4	17	19287774	19290468	NM_001198695
MDM4	1	204494646	204518810	NM_002393
ARID4A	14	58766572	58838707	NM_002892
RCN2	15	77224182	77241563	NM_001271837
REG3G	2	79253219	79255402	NM_001008387
HSD11B1L	19	5684043	5688206	NM_001267868
PCDHGA7	5	140762466	140890740	NM_018920
PCDHGA10	5	140792742	140890740	NM_018913
PCDHGA9	5	140782519	140890740	NM_018921
PCDHGA8	5	140772380	140890740	NM_032088
SLC22A18	11	2924575	2946427	NM_183233
AOC2	17	40996643	41002365	NM_009590
LTB	6	31548485	31550194	NM_002341
B3GALNT1	3	160803546	160804542	NM_001038628
NARF	17	80416679	80446033	NM_001038618
MARVELD2	5	68715212	68737481	NM_001038603
DLX1	2	172950405	172952985	NM_178120
SLC38A10	17	79219355	79268721	NM_001037984
LSM5	7	32526872	32529977	NM_001139499
ENG	9	130577960	130616634	NM_000118
ATG13	11	46665841	46693882	NM_001205119
VIPAS39	14	77893958	77920445	NM_001193314
SLC44A4	6	31831403	31846757	NM_001178045
CSMD3	8	113236999	114449083	NM_198123
RAB23	6	57055258	57075178	NM_016277
TRIM69	15	45028902	45059970	NM_182985
TRMT2A	22	20100085	20104429	NM_001257994
USP16	21	30400234	30426508	NM_001032410
GP2	16	20322544	20337753	NM_001007240
ZCCHC11	1	52889606	52991952	NM_001009881
CT45A4	X	134869963	134932983	NM_001017436
C6orf48	6	31805105	31807440	NM_001040437
YARS2	12	32900137	32908808	NM_001040436
SPINK9	5	147715176	147719275	NM_001040433
LOC391322	22	24373137	24373873	NM_001144931
NKIRAS2	17	40173595	40175911	NM_001144927
TOPAZ1	3	44283545	44373503	NM_001145030
LANCL1	2	211299210	211341120	NM_006055
ZAR1L	13	32878015	32886062	NM_001136571
DAXX	6	33286519	33290691	NM_001141969
RGS6	14	72431508	73029458	NM_001204424
BIN1	2	127806101	127864519	NM_139343
TRAF4	17	27071130	27076595	NM_004295
ANXA13	8	124693479	124749574	NM_001003954
ARHGEF18	19	7504826	7535184	NM_001130955
RBP1	3	139236468	139258560	NM_001130992
KIAA1841	2	61297485	61361367	NM_001129993
ZDHHC17	12	77158016	77244765	NM_015336
MED13L	12	116399070	116714936	NM_015335
ENGASE	17	77071026	77082431	NM_001042573
C6orf203	6	107351308	107372440	NM_001142470
NEB	2	152342273	152589670	NM_001271208
C1orf27	1	186348917	186388208	NM_017847
SEH1L	18	12948120	12987056	NM_031216
KIAA0895L	16	67210713	67214513	NM_001040715
SLC25A45	11	65143877	65149422	NM_182556
RNF214	11	117104988	117155867	NM_001077239
VWA7	6	31733370	31744556	NM_025258
PMEPA1	20	56227108	56285519	NM_020182
BATF3	1	212860132	212873104	NM_018664
PXMP2	12	133264256	133281273	NM_018663
ZKSCAN7	3	44598539	44624483	NM_018651
PTPRD	9	8317873	8733843	NM_002839
TTC23L	5	34840776	34896883	NM_144725
ZMAT2	5	140080045	140085341	NM_144723
SPEF2	5	35618099	35814655	NM_024867
THAP6	4	76440662	76452424	NM_144721
JAKMIP1	4	6027954	6114577	NM_001099433
CCDC13	3	42750471	42799837	NM_144719
SPICE1	3	113164153	113225452	NM_144718
IL20RB	3	136676955	136729065	NM_144717
CCDC12	3	46963546	47018261	NM_144716
EFHB	3	19921122	19975510	NM_144715
CCKBR	11	6281158	6292773	NM_176875
PDLIM2	8	22436292	22452162	NM_176871
PPA2	4	106290881	106395207	NM_176869
MT1M	16	56666643	56667754	NM_176870
PSME3	17	40985648	40993595	NM_001267045
SULT1C2	2	108910123	108924920	NM_176825
BBS7	4	122747014	122791468	NM_176824
S100A7A	1	153390558	153391785	NM_176823
NLRP14	11	7059817	7092539	NM_176822
NLRP10	11	7981190	7985042	NM_176821
NLRP9	19	56220277	56249740	NM_176820
CXorf36	X	45010896	45060071	NM_176819
NCOR1	17	15935609	16097883	NM_006311
ATG16L1	2	234160473	234202996	NM_030803
SIAH1	16	48395490	48399388	NM_001006610
RING1	6	33176599	33180176	NM_002931
NCKAP5L	12	50185621	50197827	NM_001037806
DGKH	13	42622909	42803324	NM_178009
SLC39A8	4	103174578	103265819	NM_001135147
ACSS1	20	24987495	25038738	NM_032501
VN1R2	19	53761628	53762816	NM_173856
MORN3	12	122090639	122107389	NM_173855
DEPDC5	22	32150907	32302483	NM_001242896
ALDH3A2	17	19552284	19578885	NM_001031806
ZFYVE27	10	99498234	99519057	NM_144588
PPIAL4B	1	144363676	149553572	NM_001143883
LRRC4B	19	51020827	51052095	NM_001080457
ZSCAN5B	19	56701195	56704421	NM_001080456
MAGEA9B	X	148663887	148868820	NM_001080790
DBI	2	120124627	120129894	NM_001178017
GPR64	X	19008981	19086952	NM_001079858
CTNND1	11	57558950	57583780	NM_001085458
SRP19	5	112197073	112227304	NM_001204199
NDOR1	9	140100229	140110868	NM_001144026
LTB4R	14	24784857	24785916	NM_181657
LYSMD2	15	52015803	52029819	NM_153374
FAM76A	1	28052591	28087092	NM_001143912
TBC1D7	6	13305332	13327130	NM_016495
BTNL8	5	180326310	180377544	NM_024850
SCEL	13	78130010	78218409	NM_144777
EMCN	4	101331477	101439071	NM_016242
STRA6	15	74472420	74501795	NM_001199042
BBX	3	107429307	107524374	NM_001142568
PRMT3	11	20409292	20529959	NM_005788
RAPGEF6	5	130762958	130970723	NM_001164386
ABLIM2	4	7968716	8160416	NM_001130083
SSC5D	19	55999956	56030365	NM_001144950
SIRT5	6	13584342	13612097	NM_012241
SH2D3C	9	130501024	130540906	NM_170600
MYL12B	18	3272896	3277935	NM_001144944
PSG8	19	43257511	43269733	NM_001130167
MUSK	9	113431184	113563268	NM_005592
DLG3	X	69665051	69722119	NM_021120
ARHGAP25	2	68962331	69053326	NM_001007231
SPATA13	13	24797067	24876911	NM_001166271
HAUS4	14	23415733	23424363	NM_001166269
LTBP1	2	33172391	33623612	NM_206943
NPFF	12	53900559	53901258	NM_003717
CADPS	3	62385080	62860704	NM_003716
USO1	4	76650003	76734448	NM_003715
CDK13	7	39990240	40134579	NM_003718
PRSS55	8	10383095	10411542	NM_198464
C3orf67	3	58728186	58923391	NM_198463
CD46	1	207925557	207966940	NM_002389
NUP62	19	50411495	50413064	NM_016553
