gene	canonical	chrom	start	end
NR1I2	NM_003889	3	119499330	119537332
TNFSF11	NM_033012	13	43136871	43182149
PLAT	NM_000930	8	42032235	42065194
PCBP4	NM_001174100	3	51991469	52001482
CRHR2	NM_001202481	7	30691558	30739719
MRVI1	NM_130385	11	10594637	10715535
FUCA1	NM_000147	1	24171571	24194859
FSHR	NM_000145	2	49189295	49381666
LOC81691	NM_001199053	16	20817766	20860990
USP46	NM_001134223	4	53457126	53525502
TMED5	NM_001167830	1	93615298	93646246
TFEB	NM_007162	6	41651715	41703997
BLCAP	NM_001167820	20	36145818	36156333
FHL1	NM_001159704	X	135229558	135293518
C20orf26	NM_015585	20	20033157	20341346
LPP	NM_005578	3	187871662	188608460
CTSF	NM_003793	11	66330934	66336047
EDF1	NM_003792	9	139756570	139760738
MYH13	NM_003802	17	10204182	10276322
CTDNEP1	NM_015343	17	7146905	7155259
NOX4	NM_001143837	11	89057521	89322779
NFRKB	NM_001143835	11	129733669	129765490
MUC22	NM_001198815	6	30973728	31003179
ATP1A2	NM_000702	1	160085519	160113374
SERTAD2	NM_014755	2	64858754	64881046
C22orf24	NM_015372	22	32329506	32341336
NOXO1	NM_172168	16	2028917	2031550
MSH5	NM_002441	6	31707724	31730455
STATH	NM_003154	4	70861647	70868173
SPECC1	NM_152904	17	19912648	20218072
ZNF407	NM_017757	18	72342918	72777628
TOX3	NM_001146188	16	52471917	52581714
TRIM24	NM_015905	7	138145078	138270332
C2CD4C	NM_001136263	19	405442	409170
ZNF268	NM_152943	12	133757994	133783697
LYRM4	NM_001164841	6	5108652	5261172
ABL2	NM_007314	1	179068461	179198819
ATP5G2	NM_001002031	12	54058943	54070512
ATP5G1	NM_005175	17	46970147	46973232
ATP5C1	NM_001001973	10	7830092	7849762
ATP2A3	NM_174953	17	3827162	3867758
ATOH1	NM_005172	4	94750077	94751142
SCNN1A	NM_001159576	12	6456008	6486523
TMUB1	NM_031434	7	150778171	150780620
MADD	NM_003682	11	47290926	47351582
MAPRE2	NM_001143827	18	32556891	32723432
RIIAD1	NM_001144956	1	151694012	151702082
IL18BP	NM_005699	11	71709957	71713965
FMR1	NM_002024	X	146993468	147032647
NDUFS5	NM_004552	1	39491966	39500308
CLDN15	NM_001185080	7	100875372	100882101
ARHGDIA	NM_001185077	17	79825596	79829282
UQCC	NM_018244	20	33890368	33999945
BCL7B	NM_001707	7	72950682	72972065
IL21	NM_001207006	4	123533782	123542212
HSD11B1	NM_001206741	1	209859524	209908295
API5	NM_001142930	11	43333504	43366080
ZNF674	NM_001039891	X	46357159	46404892
RBMS3	NM_001003793	3	29322802	30051886
LTB4R2	NM_001164692	14	24779356	24781259
IL1RAP	NM_001167928	3	190231839	190374986
CXorf30	NM_001098843	X	36246895	36403434
MS4A15	NM_001098835	11	60524339	60544204
GAB4	NM_001037814	22	17442826	17489112
ZNF284	NM_001037813	19	44576296	44591623
CYLD	NM_015247	16	50775960	50835846
ANKZF1	NM_018089	2	220094478	220101391
OTUD1	NM_001145373	10	23728197	23731310
SIDT2	NM_001040455	11	117049938	117068161
CRISP2	NM_003296	6	49660070	49681303
MGEA5	NM_012215	10	103544199	103578222
MORF4L2	NM_001142418	X	102930425	102943086
SAMD4A	NM_015589	14	55034329	55260033
SLC22A8	NM_004254	11	62760295	62783317
SH3TC1	NM_018986	4	8201059	8242830
SSH1	NM_018984	12	109176465	109251359
C12orf44	NM_021934	12	52463757	52471279
MIIP	NM_021933	1	12079298	12092106
PCDH20	NM_022843	13	61983818	61989655
GH1	NM_000515	17	61994562	61996198
RFX7	NM_022841	15	56382730	56535483
OCIAD2	NM_001014446	4	48887404	48908815
GPX7	NM_015696	1	53068042	53074723
SGSM3	NM_015705	22	40766594	40806293
BRPF3	NM_015695	6	36164549	36200567
FCHSD2	NM_014824	11	72547789	72853143
WNK1	NM_001184985	12	862088	1020618
NMUR2	NM_020167	5	151771101	151784840
MCCC1	NM_020166	3	182733005	182817365
RASGRP4	NM_170604	19	38899697	38916945
ZNF799	NM_001080821	19	12500827	12512088
ITGA6	NM_000210	2	173292313	173371181
DENR	NM_003677	12	123237370	123255953
DEGS1	NM_003676	1	224370909	224381142
PRPF18	NM_003675	10	13628938	13672868
TCAP	NM_003673	17	37821598	37822807
CDC14A	NM_003672	1	100818022	100985833
CCNYL1	NM_001142300	2	208576263	208620896
SLC35E2	NM_182838	1	1656276	1677438
RABGGTA	NM_004581	14	24734743	24740833
CX3CR1	NM_001171171	3	39304984	39323226
SLC25A21	NM_030631	14	37147125	37641865
VEGFA	NM_001025366	6	43737945	43754223
PREPL	NM_006036	2	44544747	44589001
LDB3	NM_001171610	10	88428205	88495824
ITM2A	NM_004867	X	78615880	78623049
MCFD2	NM_001171508	2	47129008	47168994
AGER	NM_001206929	6	32148744	32152099
ELAVL2	NM_004432	9	23690102	23826063
ONECUT3	NM_001080488	19	1753661	1775444
SLC2A11	NM_030807	22	24199058	24227725
ASL	NM_001024943	7	65540775	65558329
CYB561D1	NM_001134404	1	110036657	110043063
ZDHHC4	NM_001134387	7	6617064	6628610
HMGCL	NM_000191	1	24128366	24151949
RPL37A	NM_000998	2	217363519	217366188
ACYP1	NM_203488	14	75519927	75530736
RPL37	NM_000997	5	40831429	40835387
ACLY	NM_001096	17	40023178	40075272
APOD	NM_001647	3	195295572	195311076
GAGE12I	NM_001477	X	49216676	49342360
LOXL2	NM_002318	8	23154409	23261722
SRSF2	NM_003016	17	74730196	74733493
RFC4	NM_181573	3	186507681	186524484
PLAU	NM_001145031	10	75670861	75677258
SFRP5	NM_003015	10	99526507	99531756
PLAG1	NM_002655	8	57073467	57123859
RFC2	NM_181471	7	73645831	73668738
ACIN1	NM_014977	14	23527773	23564823
C3orf17	NM_015412	3	112721291	112738555
SUMF2	NM_015411	7	56131916	56148365
MELK	NM_014791	9	36572858	36677680
EP400	NM_015409	12	132434464	132565011
ZNF559	NM_001202409	19	9434447	9454521
SUN2	NM_001199579	22	39130718	39152024
TYR	NM_000372	11	88911039	89028927
TTR	NM_000371	18	29171729	29178986
CTSL1	NM_001912	9	90340973	90346384
RHOA	NM_001664	3	49396578	49449526
ARF6	NM_001663	14	50359735	50363772
ARF1	NM_001024227	1	228270360	228286913
CTSD	NM_001909	11	1773981	1785222
CTSE	NM_001910	1	206317458	206332104
ZFAND2B	NM_138802	2	220071505	220074373
ERI1	NM_153332	8	8860313	8890849
KCTD6	NM_153331	3	58477822	58488087
ALDH16A1	NM_153329	19	49956472	49974305
DNAJB8	NM_153330	3	128181274	128186091
PNMA1	NM_006029	14	74178485	74181128
MINPP1	NM_004897	10	89264222	89313218
GRB2	NM_002086	17	73314156	73401790
IL9R	NM_176786	X	59330251	155240482
CAMK1G	NM_020439	1	209757044	209787284
LYZL6	NM_001199951	17	34261522	34270703
PHTF2	NM_001127358	7	77428108	77586821
SMURF1	NM_020429	7	98625057	98741743
SLC44A2	NM_020428	19	10713120	10755235
SLURP1	NM_020427	8	143822361	143823829
MRAS	NM_012219	3	138066489	138124377
TRPC7	NM_020389	5	135548998	135701164
CLDN14	NM_144492	21	37832919	37948867
RGS3	NM_144488	9	116207008	116360023
MATK	NM_139355	19	3777966	3801810
LRRC16A	NM_017640	6	25279655	25620758
ASPRV1	NM_152792	2	70187223	70189397
LHX3	NM_014564	9	139088095	139096955
TAAR2	NM_001033080	6	132938288	132945414
HOXC4	NM_014620	12	54410641	54449814
PLA2G2E	NM_014589	1	20246799	20250110
KIAA0556	NM_015202	16	27561467	27791692
HDAC7	NM_015401	12	48176506	48213763
PAIP2	NM_001033112	5	138677518	138705409
ZC3HC1	NM_016478	7	129658125	129691233
ANAPC11	NM_001002244	17	79849598	79858363
JKAMP	NM_016475	14	59951160	59972081
CCDC174	NM_016474	3	14693252	14714166
GSKIP	NM_001271904	14	96829788	96853627
C20orf111	NM_016470	20	42824580	42839546
COX16	NM_016468	14	70791797	70826448
ORMDL1	NM_016467	2	190634992	190649097
ANKRD39	NM_016466	2	97513723	97523756
TMEM138	NM_016464	11	61129472	61136975
IL23R	NM_144701	1	67632168	67725650
CLUAP1	NM_015041	16	3550944	3589051
MORC2	NM_014941	22	31322599	31364187
KIAA0907	NM_014949	1	155882835	155904188
ZBTB1	NM_014950	14	64971291	65000408
SETD1B	NM_015048	12	122242637	122270562
UBOX5	NM_014948	20	3088218	3140556
KCNK2	NM_001017424	1	215178884	215410436
DSPP	NM_014208	4	88529680	88538025
ADD1	NM_176801	4	2845583	2931802
FOXJ3	NM_001198851	1	42642209	42801548
SPAST	NM_014946	2	32288679	32382706
SETX	NM_015046	9	135136826	135230372
WAPAL	NM_015045	10	88195012	88281541
ABLIM3	NM_014945	5	148521053	148639999
GGA2	NM_015044	16	23474862	23521815
DNAJA3	NM_005147	16	4475805	4506775
FERMT2	NM_001134999	14	53323988	53417815
GLOD5	NM_001080489	X	48620153	48632064
PLAGL1	NM_001080952	6	144261436	144385735
DSE	NM_013352	6	116601282	116759442
REPS2	NM_004726	X	16964813	17171403
ZFYVE19	NM_001077268	15	41099273	41106767
CIZ1	NM_001257975	9	130928343	130966662
CUL2	NM_001198779	10	35297478	35379570
DTNA	NM_001198939	18	32073253	32471808
EWSR1	NM_013986	22	29663997	29696515
ZBTB14	NM_001143823	18	5289017	5297052
EXOC7	NM_001145297	17	74077085	74099868
OPRM1	NM_001145287	6	154331630	154568001
COL6A3	NM_004369	2	238232654	238322850
HS6ST2	NM_001077188	X	131760037	132095423
RAC2	NM_002872	22	37621309	37640305
RABIF	NM_002871	1	202847409	202858385
RAB6A	NM_002869	11	73386682	73472201
RAB13	NM_001272038	1	153954092	153958853
RAB5B	NM_002868	12	56367696	56390467
RAB3B	NM_002867	1	52373627	52456436
RAB3A	NM_002866	19	18307610	18314874
RAB2A	NM_002865	8	61429468	61536203
PZP	NM_002864	12	9301435	9360966
PYGL	NM_002863	14	51371934	51411248
PCYT2	NM_001256435	17	79860776	79869340
GOLPH3	NM_022130	5	32124823	32174425
PBLD	NM_022129	10	70042416	70092684
RBKS	NM_022128	2	28004265	28113223
SLC28A3	NM_001199633	9	86890764	86983413
LHPP	NM_022126	10	126150340	126302710
CDH23	NM_022124	10	73156690	73575704
ZNF81	NM_007137	X	47696300	47781655
CD302	NM_014880	2	160625138	160654766
P2RY14	NM_001081455	3	150929904	150996230
KIAA0020	NM_014878	9	2804154	2844130
HELZ	NM_014877	17	65066553	65241319
JOSD1	NM_014876	22	39081547	39096459
KIF14	NM_014875	1	200520624	200589862
ABCF2	NM_007189	7	150904922	150924317
MAPRE3	NM_012326	2	27193524	27250087
MAPK8IP2	NM_012324	22	51039130	51049979
KIF4A	NM_012310	X	69509878	69640774
TECPR2	NM_014844	14	102829299	102968818
ARHGAP6	NM_013427	X	11155662	11683821
IDS	NM_000202	X	148560294	148586884
MAN2A2	NM_006122	15	91447419	91465815
GPR132	NM_013345	14	105515736	105531754
TFPT	NM_013342	19	54610319	54619055
OLA1	NM_013341	2	174937174	175113365
ALG6	NM_013339	1	63833260	63904233
PCDHB1	NM_013340	5	140430978	140433512
ALG5	NM_013338	13	37523907	37573504
TIMM22	NM_013337	17	900356	905390
SEC61A1	NM_013336	3	127771211	127790526
DHX34	NM_014681	19	47852537	47885961
CCDC28A	NM_015439	6	139094656	139114456
DAW1	NM_178821	2	228736326	228789026
AGPAT6	NM_178819	8	41435706	41482520
CT47A12	NM_001242922	X	120011344	120114778
ZCRB1	NM_033114	12	42705887	42719932
PCDHB13	NM_018933	5	140593508	140596993
PCDHB12	NM_018932	5	140588290	140591698
ADAMTSL4	NM_019032	1	150521897	150533412
PCDHB11	NM_018931	5	140579347	140582618
PCDHB10	NM_018930	5	140571951	140575213
DHX29	NM_019030	5	54552072	54603521
PCDHGC5	NM_018929	5	140868807	140892546
L3HYPDH	NM_144581	14	59939405	59951073
SLC26A9	NM_052934	1	205882176	205912588
SFXN5	NM_144579	2	73169164	73298965
MAPK1IP1L	NM_144578	14	55518361	55536912
CCDC114	NM_144577	19	48799708	48823332
COQ10A	NM_144576	12	56660641	56664750
CAPN13	NM_144575	2	30945637	31030311
FOXO3	NM_001455	6	108881025	109005971
CCZ1B	NM_198097	7	6838565	6865926
OR14C36	NM_001001918	1	248512076	248513015
OR5T2	NM_001004746	11	55999581	56000661
HILPDA	NM_013332	7	128095883	128098472
FAM89B	NM_001098784	11	65339819	65341669
CACNA1C	NM_199460	12	2162415	2807115
SLC47A2	NM_152908	17	19581627	19620043
GOLGA6L1	NM_001001413	15	22736245	22746002
CYP3A7	NM_000765	7	99302659	99332819
CYP2B6	NM_000767	19	41497203	41524301
IFNG	NM_000619	12	68548549	68553521
IGF1	NM_001111283	12	102789644	102874378
CYP1A2	NM_000761	15	75041183	75048941
CD4	NM_001195014	12	6898637	6929976
CSF3R	NM_156039	1	36931643	36948915
BZW1	NM_001207067	2	201676268	201688569
DIO2	NM_000793	14	80663867	80697397
NUPL1	NM_014089	13	25875665	25916561
AP4B1	NM_006594	1	114437370	114447741
MAT1A	NM_000429	10	82031575	82049434
IGFBP2	NM_000597	2	217498126	217529158
IL2	NM_000586	4	123372625	123377650
FCGR1A	NM_000566	1	149754249	149764074
LOR	NM_000427	1	153232178	153234600
MNAT1	NM_002431	14	61201458	61435398
IFNA13	NM_006900	9	21367370	21368075
GPX1	NM_201397	3	49394608	49395791
ZMYM3	NM_001171162	X	70459473	70475047
SIGLEC10	NM_033130	19	51913274	51921057
LOC649330	NM_001146181	1	12907235	12908237
IP6K2	NM_001190316	3	48725435	48754711
ZNF414	NM_001146175	19	8575461	8579048
TNIK	NM_015028	3	170780291	171178197
HHAT	NM_018194	1	210501595	210849638
CXorf58	NM_152761	X	23926122	23957624
CXorf56	NM_001170569	X	118672111	118699397
GRAMD1C	NM_017577	3	113557680	113666021
HPD	NM_001171993	12	122277432	122326517
C6orf223	NM_001171992	6	43968336	43973694
HCCS	NM_005333	X	11129405	11141204
SETD9	NM_153706	5	56205086	56221359
AGA	NM_000027	4	178351928	178363657
PEX2	NM_001172086	8	77892493	77913280
TBP	NM_003194	6	170863420	170881958
PPARD	NM_001171818	6	35310334	35395968
CDHR1	NM_033100	10	85954411	85979376
CDHR5	NM_021924	11	616564	625067
RBFA	NM_024805	18	77794345	77810652
PRSS37	NM_001008270	7	141536077	141541221
KXD1	NM_001171948	19	18668571	18680197
RALYL	NM_173848	8	85095452	85834078
SOCS2	NM_001270470	12	93963597	93970521
PIGB	NM_004855	15	55611132	55647846
SPNS3	NM_182538	17	4337218	4391499
RTBDN	NM_001270440	19	12936290	12946242
SORBS1	NM_001034954	10	97071529	97321171
C17orf72	NM_001164257	17	62075710	62081644
MID1	NM_000381	X	10413349	10851809
CD53	NM_001040033	1	111413820	111442558
CAPG	NM_001747	2	85621870	85641197
CNPY4	NM_152755	7	99717264	99723128
SEMA3D	NM_152754	7	84624871	84751247
SCUBE3	NM_152753	6	35182189	35218609
ATXN7L1	NM_020725	7	105245220	105517031
CDHR3	NM_152750	7	105603656	105676877
KIAA1324L	NM_001142749	7	86506222	86689014
DDX10	NM_004398	11	108535815	108811648
DEFA1	NM_004084	8	6835170	6875823
DMBT1	NM_007329	10	124320180	124403252
DDX5	NM_004396	17	62494373	62502484
DBN1	NM_080881	5	176883613	176900694
DLX2	NM_004405	2	172964165	172967478
SEPT2	NM_001008491	2	242254722	242293441
DAP	NM_004394	5	10679341	10761387
DFNA5	NM_004403	7	24737973	24797639
DACH1	NM_080759	13	72012097	72441330
DFFB	NM_004402	1	3773844	3801993
DFFA	NM_213566	1	10520602	10532613
ERLEC1	NM_015701	2	54014067	54045956
WWC3	NM_015691	X	9983794	10112518
NFU1	NM_015700	2	69623244	69664760
DENND2A	NM_015689	7	140218219	140302342
STK36	NM_015690	2	219536748	219567440
ATP6V1E1	NM_001696	22	18074902	18111588
CCDC173	NM_001085447	2	170501934	170550931
C2orf54	NM_001085437	2	241825464	241835573
ESPNL	NM_194312	2	239008950	239041928
OR8K5	NM_001004058	11	55926869	55927793
MGAT1	NM_001114618	5	180217540	180237137
ME1	NM_002395	6	83920109	84140938
MFNG	NM_002405	22	37865100	37882478
MFAP4	NM_001198695	17	19286754	19290532
MDM4	NM_002393	1	204485506	204527248
ARID4A	NM_002892	14	58765221	58840451
RCN2	NM_001271837	15	77223961	77242601
REG3G	NM_001008387	2	79252811	79255630
HSD11B1L	NM_001267868	19	5680775	5688534
PCDHGA7	NM_018920	5	140762466	140892546
PCDHGA10	NM_018913	5	140792742	140892546
PCDHGA9	NM_018921	5	140782519	140892546
PCDHGA8	NM_032088	5	140771482	140892546
SLC22A18	NM_183233	11	2920950	2946476
AOC2	NM_009590	17	40996608	41002724
LTB	NM_002341	6	31548335	31550202
B3GALNT1	NM_001038628	3	160801670	160823160
NARF	NM_001038618	17	80416059	80446143
MARVELD2	NM_001038603	5	68710938	68737890
DLX1	NM_178120	2	172950207	172954401
SLC38A10	NM_001037984	17	79218798	79269096
LSM5	NM_001139499	7	32524944	32534870
ENG	NM_000118	9	130577290	130617052
ATG13	NM_001205119	11	46638825	46697568
VIPAS39	NM_001193314	14	77893017	77923983
SLC44A4	NM_001178045	6	31830969	31846823
CSMD3	NM_198123	8	113235158	114449242
RAB23	NM_016277	6	57053581	57087078
TRIM69	NM_182985	15	45028559	45060025
TRMT2A	NM_001257994	22	20099388	20104818
USP16	NM_001032410	21	30396937	30426807
GP2	NM_001007240	16	20321810	20338835
ZCCHC11	NM_001009881	1	52888947	53018762
CT45A4	NM_001017436	X	134866213	134936735
C6orf48	NM_001040437	6	31802692	31807541
YARS2	NM_001040436	12	32899477	32908887
SPINK9	NM_001040433	5	147715121	147719412
LOC391322	NM_001144931	22	24373116	24374043
NKIRAS2	NM_001144927	17	40169593	40177656
TOPAZ1	NM_001145030	3	44283377	44373590
LANCL1	NM_006055	2	211295972	211341499
ZAR1L	NM_001136571	13	32877907	32886091
DAXX	NM_001141969	6	33286334	33290793
RGS6	NM_001204424	14	72398816	73033238
BIN1	NM_139343	2	127805598	127864903
TRAF4	NM_004295	17	27071022	27077976
ANXA13	NM_001003954	8	124693033	124749647
ARHGEF18	NM_001130955	19	7459998	7537371
RBP1	NM_001130992	3	139236275	139258671
KIAA1841	NM_001129993	2	61293005	61365169
ZDHHC17	NM_015336	12	77157853	77247474
MED13L	NM_015335	12	116396380	116714991
ENGASE	NM_001042573	17	77071018	77084685
C6orf203	NM_001142470	6	107349406	107372547
NEB	NM_001271208	2	152341852	152591001
C1orf27	NM_017847	1	186344889	186390503
SEH1L	NM_031216	18	12947982	12987536
KIAA0895L	NM_001040715	16	67209504	67217883
SLC25A45	NM_182556	11	65142662	65150142
RNF214	NM_001077239	11	117103403	117156404
VWA7	NM_025258	6	31733370	31745108
PMEPA1	NM_020182	20	56223447	56286592
BATF3	NM_018664	1	212859758	212873327
PXMP2	NM_018663	12	133264191	133281577
ZKSCAN7	NM_018651	3	44596712	44624973
PTPRD	NM_002839	9	8314245	10612723
TTC23L	NM_144725	5	34839268	34899564
ZMAT2	NM_144723	5	140080031	140086239
SPEF2	NM_024867	5	35617988	35814713
THAP6	NM_144721	4	76439653	76455236
JAKMIP1	NM_001099433	4	6027925	6202318
CCDC13	NM_144719	3	42749873	42814745
SPICE1	NM_144718	3	113161564	113234034
IL20RB	NM_144717	3	136676706	136729926
CCDC12	NM_144716	3	46963219	47023500
EFHB	NM_144715	3	19920965	19975706
CCKBR	NM_176875	11	6280903	6293357
PDLIM2	NM_176871	8	22436253	22455538
PPA2	NM_176869	4	106290233	106395227
MT1M	NM_176870	16	56666533	56667898
PSME3	NM_001267045	17	40985158	40995777
SULT1C2	NM_176825	2	108905094	108926371
BBS7	NM_176824	4	122745483	122791652
S100A7A	NM_176823	1	153388999	153395701
NLRP14	NM_176822	11	7041699	7092757
NLRP10	NM_176821	11	7981155	7985059
NLRP9	NM_176820	19	56219797	56249768
CXorf36	NM_176819	X	45007617	45060146
NCOR1	NM_006311	17	15933407	16118874
ATG16L1	NM_030803	2	234160216	234204320
SIAH1	NM_001006610	16	48394445	48419229
RING1	NM_002931	6	33176285	33180499
NCKAP5L	NM_001037806	12	50184928	50222208
DGKH	NM_178009	13	42614171	42803891
SLC39A8	NM_001135147	4	103172197	103266655
ACSS1	NM_032501	20	24986865	25038818
VN1R2	NM_173856	19	53761544	53762855
MORN3	NM_173855	12	122089292	122107560
DEPDC5	NM_001242896	22	32149936	32303020
ALDH3A2	NM_001031806	17	19552063	19580908
ZFYVE27	NM_144588	10	99496877	99520664
PPIAL4B	NM_001143883	1	144363461	149553787
LRRC4B	NM_001080457	19	51020149	51071302
ZSCAN5B	NM_001080456	19	56701057	56704421
MAGEA9B	NM_001080790	X	148663308	148869399
DBI	NM_001178017	2	120124503	120130122
GPR64	NM_001079858	X	19007424	19140755
CTNND1	NM_001085458	11	57529233	57586652
SRP19	NM_001204199	5	112196884	112228776
NDOR1	NM_001144026	9	140100118	140113813
LTB4R	NM_181657	14	24780704	24787242
LYSMD2	NM_153374	15	52015260	52043650
FAM76A	NM_001143912	1	28052489	28089423
TBC1D7	NM_016495	6	13305183	13328787
BTNL8	NM_024850	5	180326076	180377906
SCEL	NM_144777	13	78109808	78219398
EMCN	NM_016242	4	101316497	101439250
STRA6	NM_001199042	15	74471807	74502046
BBX	NM_001142568	3	107241782	107530176
PRMT3	NM_005788	11	20409075	20530879
RAPGEF6	NM_001164386	5	130759613	130970929
ABLIM2	NM_001130083	4	7967036	8160559
SSC5D	NM_001144950	19	55999869	56030466
SIRT5	NM_012241	6	13574760	13615390
SH2D3C	NM_170600	9	130500595	130541048
MYL12B	NM_001144944	18	3262110	3278282
PSG8	NM_001130167	19	43256838	43269831
MUSK	NM_005592	9	113431050	113563278
DLG3	NM_021120	X	69664704	69725339
ARHGAP25	NM_001007231	2	68961912	69053957
SPATA13	NM_001166271	13	24734860	24881212
HAUS4	NM_001166269	14	23415436	23426351
LTBP1	NM_206943	2	33172368	33624575
NPFF	NM_003717	12	53900473	53901422
CADPS	NM_003716	3	62384020	62861064
USO1	NM_003715	4	76649828	76735366
CDK13	NM_003718	7	39989958	40136733
PRSS55	NM_198464	8	10383055	10411676
C3orf67	NM_198463	3	58727736	59035715
CD46	NM_002389	1	207925382	207968861
NUP62	NM_016553	19	50410083	50432988
ERBB2IP	NM_001253699	5	65222381	65376851
