Chromosome	Start	End	Gene	Canonical
1	220148292	220272453	RAB3GAP2	NM_012414
1	231626789	232041272	DISC1	NM_001164537
1	229626215	229660200	URB2	NM_001314021
1	230642480	230693982	COG2	NM_007357
1	240774741	241357205	RGS7	NM_001374808
1	240091882	240475185	FMN2	NM_001305424
1	242082985	242524697	PLD5	NM_001372062
1	245749346	246507279	SMYD3	NM_001167740
1	245154984	245709432	KIF26B	NM_018012
1	1308579	1311677	PUSL1	NM_001346116
1	1702378	1724357	CDK11A	NM_001313896
1	1541672	1574863	SSU72	NM_014188
1	1785285	1891087	GNB1	NM_002074
1	1435689	1442882	VWA1	NM_022834
1	1921956	2003786	CFAP74	NM_001304360
1	1173879	1197935	TTLL10	NM_001371649
1	2321252	2391554	MORN1	NM_024848
1	2476314	2505530	PLCH2	NM_001303013
1	2590639	2633016	MMEL1	NM_033467
1	2641268	2800868	TTC34	NM_001242672
1	3652515	3736201	TP73	NM_005427
1	3487950	3611508	MEGF6	NM_001409
1	4654608	4792522	AJAP1	NM_018836
1	6045887	6101180	KCNAB2	NM_001199862
1	5862810	5992425	NPHP4	NM_015102
1	6101786	6180321	CHD5	NM_015557
1	6634169	6701816	DNAJC11	NM_018198
1	6521346	6554513	NOL9	NM_024654
1	9035105	9072259	SLC2A5	NM_001328619
1	9292893	9369531	SPSB1	NM_025106
1	10032957	10181238	UBE4B	NM_001105562
1	10210569	10381603	KIF1B	NM_001365951
1	9942922	9985498	NMNAT1	NM_001297778
1	9689543	9729114	PIK3CD	NM_001350234
1	9539464	9585173	SLC25A33	NM_032315
1	10636605	10796646	CASZ1	NM_001079843
1	11106534	11262551	MTOR	NM_004958
1	12230029	12512046	VPS13D	NM_015378
1	12166990	12209220	TNFRSF1B	NM_001066
1	11785729	11803677	MTHFR	NM_001330358
1	11664199	11674352	FBXO6	NM_018438
1	13368441	13371999	PRAMEF19	NM_001099790
1	13474972	13514003	LRRC38	NM_001010847
1	13704854	13825079	PRDM2	NM_012231
1	15247224	15398127	FHAD1	NM_052929
1	15152565	15220478	TMEM51	NM_001136216
1	15456731	15472091	CELA2A	NM_033440
1	16246839	16352480	FBXO42	NM_018994
1	16367241	16398145	SZRD1	NM_001114600
1	15847706	15940456	SPEN	NM_015001
1	17539697	17697869	ARHGEF10L	NM_018125
1	17406759	17439677	RCC2	NM_018715
1	17018725	17054032	SDHB	NM_003000
1	18480929	18485986	KLHDC7A	NM_152375
1	18107797	18378483	IGSF21	NM_032880
1	18630845	18748866	PAX7	NM_001135254
1	19743318	19799349	TMCO4	NM_001349115
1	19338774	19485539	CAPZB	NM_001206541
1	19074510	19210266	UBR4	NM_020765
1	19265981	19274122	AKR7L	NM_001348421
1	20290874	20359518	VWA5B1	NM_001039500
1	20163054	20186518	PLA2G2C	NM_001367969
1	20664013	20718007	KIF17	NM_001287212
1	21596220	21669357	RAP1GAP	NM_001350526
1	21678298	21783149	USP48	NM_032236
1	21822243	21937310	HSPG2	NM_001291860
1	21217249	21279615	ECE1	NM_001113347
1	22710837	22921500	EPHB2	NM_004442
1	23428562	23484179	ASAP3	NM_017707
1	23304689	23344284	HNRNPR	NM_001102398
1	23845080	23868290	FUCA1	NM_000147
1	23191894	23217502	HTR1D	NM_000864
1	24356998	24413772	STPG1	NM_001199014
1	24899510	24965010	RUNX3	NM_001031680
1	24502835	24541040	RCAN3	NM_013441
1	24745446	24844319	CLIC4	NM_013943
1	25272485	25330445	RHD	NM_001282872
1	25820192	25832942	MTFR1L	NM_019557
1	25242236	25338254	RSRP1	NM_001321772
1	25543605	25568886	LDLRAP1	NM_015627
1	25616790	25784449	MAN1C1	NM_001385182
1	26993691	27000886	TRNP1	NM_001013642
1	26696014	26782104	ARID1A	NM_006015
1	26472439	26476642	HMGN2	NM_005517
1	27098808	27155125	SLC9A1	NM_003047
1	26321858	26354130	CRYBG2	NM_001039775
1	27970343	28088610	EYA3	NM_001990
1	28147165	28193936	PTAFR	NM_001164721
1	27392621	27395813	GPR3	NM_005281
1	27773218	27824443	STX12	NM_177424
1	28438149	28500364	PHACTR4	NM_023923
1	28668783	28719352	GMEB1	NM_006582
1	28914568	29120041	EPB41	NM_001376013
1	29192656	29230934	MECR	NM_001349712
1	28812169	28871267	OPRD1	NM_000911
1	28553084	28578545	TRNAU1AP	NM_017846
1	31296981	31364953	ZCCHC17	NM_001282568
1	30931505	31065717	PUM1	NM_001020658
1	31179744	31239887	NKAIN1	NM_024522
1	32364632	32394441	BSDC1	NM_001300958
1	32108055	32176563	KPNA6	NM_012316
1	32620822	32650932	ZBTB8OS	NM_001366258
1	32894594	32901389	TMEM54	NM_001329722
1	33007985	33036883	AK2	NM_001625
1	33145398	33182043	TRIM62	NM_018207
1	32741829	32774970	KIAA1522	NM_020888
1	33269692	33300719	ZNF362	NM_001370212
1	33323625	33431095	PHC2	NM_001385112
1	34176906	34219130	C1orf94	NM_001134734
1	35268708	35422058	ZMYM4	NM_001350139
1	34986165	35031945	ZMYM6	NM_007167
1	35433491	35557403	KIAA0319L	NM_024874
1	35931104	36072499	AGO3	NM_024852
1	35883208	35930531	AGO1	NM_012199
1	36156159	36180849	MAP7D1	NM_018067
1	36417905	36450485	OSCP1	NM_001330493
1	36306367	36321347	SH3D21	NM_001162530
1	37611349	37634892	RSPO1	NM_001038633
1	36795526	37034515	GRIK3	NM_000831
1	37860696	37947057	INPP5B	NM_001365824
1	39084166	39487138	MACF1	NM_012090
1	38885806	38941830	RHBDL2	NM_017821
1	40161386	40240921	RLF	NM_012421
1	40620679	40665682	RIMS3	NM_014747
1	40692007	40771603	NFYC	NM_001142590
1	41027201	41242306	SCMH1	NM_001350667
1	41506364	41918922	HIVEP3	NM_024503
1	42463285	42657190	CCDC30	NM_001355224
1	42176547	42334955	FOXJ3	NM_001198851
1	42456493	42461230	PPCS	NM_001287510
1	43707535	43931159	ST3GAL3	NM_001350621
1	43383916	43389800	MED8	NM_001001653
1	43172329	43254358	CFAP57	NM_001195831
1	44821937	44843253	PTCH2	NM_003738
1	44221069	44355257	ERI3	NM_024066
1	44405159	44651724	RNF220	NM_001319956
1	44674713	44725591	ARMH1	NM_001145636
1	44850521	44986722	EIF2B3	NM_001261418
1	45343882	45491163	TESK2	NM_007170
1	45584040	45618893	NASP	NM_002482
1	45698734	45750653	IPP	NM_005897
1	45864347	46036124	MAST2	NM_001324321
1	46247762	46278473	RAD54L	NM_003579
1	46394316	46413845	FAAH	NM_001441
1	46632738	46668443	ATPAF1	NM_022745
1	47760527	47997385	TRABD2B	NM_001194986
1	48727522	48776969	BEND5	NM_001349794
1	48295372	48472204	SPATA6	NM_019073
1	50108919	50203772	ELAVL4	NM_001324212
1	50437027	50960267	FAF1	NM_007051
1	51102227	51148085	C1orf185	NM_001136508
1	51236272	51273447	RNF11	NM_014372
1	51617091	51789219	OSBPL9	NM_001350208
1	52142093	52346686	ZFYVE9	NM_004799
1	52020131	52055191	TXNDC12	NM_015913
1	53214099	53220634	CZIB	NM_017887
1	53062212	53085493	PODN	NM_001199080
1	52927275	53051698	SCP2	NM_002979
1	52726452	52827336	ZYG11B	NM_024646
1	52684448	52698347	COA7	NM_023077
1	54138994	54153181	CDCP2	NM_201546
1	53506238	53739164	GLIS1	NM_001367484
1	54225431	54406394	SSBP3	NM_145716
1	53851732	53889797	YIPF1	NM_018982
1	54641785	54710266	MROH7	NM_001039464
1	55066358	55215364	USP24	NM_015306
1	54779712	54801323	TTC22	NM_001114108
1	55039547	55064852	PCSK9	NM_174936
1	56854796	56918223	C8A	NM_000562
1	56718790	56819404	FYB2	NM_001004303
1	59310031	59762727	FGGY	NM_001350792
1	59893307	59926773	CYP2J2	NM_000775
1	59990393	60073770	C1orf87	NM_152377
1	61077226	61462788	NFIA	NM_001145511
1	62236164	62319434	KANK4	NM_181712
1	62454725	62688386	DOCK7	NM_001367561
1	63523524	63572693	EFCAB7	NM_032437
1	64744972	64833231	RAVER2	NM_001366165
1	64470128	64693053	CACHD1	NM_020925
1	64203622	64246274	UBE2U	NM_152489
1	65420667	65641559	LEPR	NM_002303
1	65309542	65415871	DNAJC6	NM_001256864
1	66533592	66751139	SGIP1	NM_001376542
1	66924989	66988619	MIER1	NM_001350530
1	66812885	66924856	DNAI4	NM_024763
1	67166453	67259967	IL23R	NM_144701
1	67307872	67398722	IL12RB2	NM_001374259
1	67701474	67833467	GNG12	NM_018841
1	69567921	70144363	LRRC7	NM_001370785
1	71005859	71047816	PTGER3	NM_198715
1	71395942	72282539	NEGR1	NM_173808
1	74026017	74198176	LRRIQ3	NM_001105659
1	74705487	74733408	CRYZ	NM_001130042
1	74568122	74673792	ERICH3	NM_001002912
1	75724346	75763678	ACADM	NM_001286043
1	75796881	75913241	MSH4	NM_002440
1	77088989	77219430	PIGK	NM_005482
1	76867479	77067546	ST6GALNAC5	NM_030965
1	77283086	77559966	AK5	NM_012093
1	77695988	77759852	USP33	NM_001377439
1	77779804	77879540	MIGA1	NM_001363584
1	77979157	78017964	DNAJB4	NM_001317100
1	78045965	78138442	GIPC2	NM_017655
1	78490973	78540701	PTGFR	NM_001039585
1	78889763	79006730	ADGRL4	NM_022159
1	84643705	84690461	SSX2IP	NM_001166417
1	84164639	84238498	PRKACB	NM_001242860
1	84506385	84556495	SPATA1	NM_001310156
1	84398483	84415018	DNASE2B	NM_021233
1	85318484	85465159	DDAH1	NM_012137
1	85062326	85133138	DNAI3	NM_145172
1	85156891	85201016	SYDE2	NM_032184
1	86346836	86396323	ODF2L	NM_001007022
1	86862444	86914365	SELENOF	NM_203341
1	88684272	88836255	PKN2	NM_006256
1	88852632	88891567	GTF2B	NM_001514
1	89821031	89936611	LRRC8D	NM_001134479
1	89258950	89272860	GBP5	NM_052942
1	89633119	89719531	LRRC8C	NM_032270
1	90915305	91022035	ZNF644	NM_201269
1	92080344	92184723	BTBD8	NM_001376131
1	91949370	92014428	BRDT	NM_001242810
1	91680342	91886151	TGFBR3	NM_003243
1	91260765	91404837	HFM1	NM_001017975
1	92508695	92785108	EVI5	NM_001377210
1	93180715	93278730	CCDC18	NM_001306076
1	92842159	92877150	DIPK1A	NM_001252271
1	93448130	93554661	FNBP1L	NM_001024948
1	93992833	94121148	ABCA4	NM_000350
1	94168904	94247746	ARHGAP29	NM_001328664
1	93561740	93847219	BCAR3	NM_001261408
1	94418388	94518663	ABCD3	NM_002858
1	95092516	95197605	TLCD4	NM_001199679
1	95117922	95244953	TLCD4-RWDD3	NM_001199691
1	94974404	95072951	ALG14	NM_001305242
1	96721783	96823739	PTBP2	NM_001300987
1	98890244	99004861	PLPPR5	NM_001037317
1	98661720	98760500	SNX7	NM_001364903
1	100266157	100292769	RTCA	NM_001130841
1	99969995	100035634	SLC35A3	NM_012243
1	99703966	99765793	FRRS1	NM_001013660
1	99850488	99924023	AGL	NM_000028
1	100133149	100150498	TRMT13	NM_019083
1	100352505	100520277	CDC14A	NM_001319210
1	100896089	100981757	SLC30A7	NM_133496
1	101802566	101997234	OLFM3	NM_001288823
1	102876466	103108496	COL11A1	NM_080629
1	103525698	103555237	RNPC3	NM_017619
1	107141334	107484923	NTNG1	NM_001372170
1	107571160	107965180	VAV3	NM_006113
1	108134042	108200343	SLC25A24	NM_013386
1	108876984	108934544	GPSM2	NM_013296
1	108746673	108809519	STXBP3	NM_007269
1	108648287	108661526	HENMT1	NM_144584
1	109186548	109206781	ELAPOR1	NM_001284353
1	109309565	109393357	SORT1	NM_001205228
1	109548614	109600193	GNAI3	NM_006496
1	110210313	110234044	KCNC4	NM_004978
1	110593579	110606358	KCNA2	NM_004974
1	110871198	110899936	CD53	NM_001040033
1	111542008	111716695	RAP1A	NM_001370216
1	111483347	111503633	TMIGD3	NM_020683
1	111770663	111989174	KCND3	NM_004980
1	112396213	112461164	CTTNBP2NL	NM_018704
1	113073197	113132260	LRIG2	NM_001312686
1	112523514	112619141	ST7L	NM_001308264
1	112718904	112727234	TAFA3	NM_001004440
1	113894194	113905028	AP4B1	NM_006594
1	113390514	113685923	MAGI3	NM_152900
1	113761831	113812476	RSBN1	NM_018364
1	115048010	115089503	TSPAN2	NM_005725
1	114854802	114995369	SYCP1	NM_001282541
1	114673098	114695618	AMPD1	NM_001172626
1	114392792	114511203	TRIM33	NM_015906
1	116111754	116135240	MAB21L3	NM_152367
1	115976512	116070054	SLC22A15	NM_018420
1	115700020	115768714	CASQ2	NM_001232
1	116909915	116990352	PTGFRN	NM_020440
1	117143586	117203836	VTCN1	NM_001253849
1	116518699	116571093	CD58	NM_001144822
1	116574397	116667755	IGSF3	NM_001542
1	117929738	117966543	WDR3	NM_006784
1	117953590	118185228	SPAG17	NM_206996
1	119911552	120069662	NOTCH2	NM_024408
1	119801169	119811460	REG4	NM_001159353
1	120415026	120469670	NBPF8	NM_001037501
1	121184974	121392874	SRGAP2C	NM_001329984
1	144421389	144461669	NBPF15	NM_001170755
1	145607987	145670650	GPR89A	NM_001097612
1	143955363	143972006	FAM72C	NM_001287385
1	145289899	145405778	NBPF20	NM_001278267
1	145095973	145112696	FAM72D	NM_207418
1	144887287	145095380	SRGAP2B	NM_001385226
1	145866563	145885866	ANKRD35	NM_144698
1	147541500	147626214	BCL9	NM_004326
1	147172746	147295762	CHD1L	NM_001348451
1	147186260	147225638	FMO5	NM_001144830
1	148599806	148679764	NOTCH2NLB	NM_001364008
1	147928373	147993592	GPR89B	NM_001350184
1	148102150	148152281	NBPF11	NM_001385473
1	149390620	149471833	NOTCH2NLC	NM_001364012
1	149475897	149556361	NBPF19	NM_001351365
1	150067775	150145329	VPS45	NM_001279354
1	150809713	150876599	ARNT	NM_001286035
1	150364110	150476565	RPRD2	NM_015203
1	150321467	150353228	PRPF3	NM_001350529
1	150730187	150765778	CTSS	NM_004079
1	151254733	151267478	PSMD4	NM_002810
1	151612049	151699080	SNX27	NM_030918
1	151773479	151790534	TDRKH	NM_001083963
1	151511386	151538691	CGN	NM_020770
1	152302164	152325239	FLG	NM_002016
1	152698344	152699442	LCE2A	NM_178428
1	153728049	153774808	INTS3	NM_023015
1	153804726	153922972	GATAD2B	NM_020699
1	155051315	155062775	ADAM15	NM_207197
1	154697465	154870278	KCNN3	NM_001204087
1	154924739	154936719	PMVK	NM_001323011
1	154502218	154548147	TDRD10	NM_001098475
1	155308865	155320665	FDPS	NM_001135821
1	155946838	155979290	ARHGEF2	NM_001350110
1	155749657	155859400	GON4L	NM_001282856
1	155689090	155739009	DAP3	NM_001199849
1	155335267	155562803	ASH1L	NM_001366177
1	156114710	156140081	LMNA	NM_170707
1	156463726	156500775	MEF2D	NM_005920
1	156934839	157045742	ARHGEF11	NM_198236
1	157676480	157700769	FCRL3	NM_052939
1	157794403	157820120	FCRL1	NM_052938
1	157513376	157552515	FCRL5	NM_031281
1	157993272	158100262	KIRREL1	NM_001286349
1	158465561	158466503	OR10K1	NM_001004473
1	160151602	160186980	ATP1A4	NM_144699
1	160288593	160343250	COPA	NM_001098398
1	160037466	160070160	KCNJ10	NM_002241
1	161215294	161219245	FCER1G	NM_004106
1	161314380	161375340	SDHC	NM_001035512
1	160541097	160579496	CD84	NM_001184879
1	160680421	160711851	CD48	NM_001256030
1	161070997	161089558	NECTIN4	NM_030916
1	160796173	160828255	LY9	NM_002348
1	161983191	162024465	OLFML2B	NM_001347700
1	161766319	161964070	ATF6	NM_007348
1	162362982	162370023	NOS1AP	NM_001126060
1	162395267	162412136	SH2D1B	NM_053282
1	162630862	162787405	DDR2	NM_001354983
1	163142298	163321791	RGS5	NM_001254748
1	162790701	162812818	HSD17B7	NM_016371
1	165400921	165445355	RXRG	NM_001256570
1	165201866	165356715	LMX1A	NM_177398
1	166055917	166166755	FAM78B	NM_001320302
1	167430639	167518529	CD247	NM_001378515
1	167630231	167708696	RCSD1	NM_052862
1	167094074	167129165	STYXL2	NM_001080426
1	166839474	166856346	POGK	NM_017542
1	167220884	167427345	POU2F1	NM_001365848
1	166989088	167022212	MAEL	NM_001286377
1	167936558	168075843	DCAF6	NM_001198956
1	167809385	167914134	ADCY10	NM_001297772
1	168280876	168314426	TBX19	NM_005149
1	169588849	169630124	SELP	NM_003005
1	169463910	169485944	SLC19A2	NM_006996
1	169132529	169367963	NME7	NM_197972
1	169921328	170068915	KIFAP3	NM_001204517
1	171700162	171742065	VAMP4	NM_003762
1	171485529	171593511	PRRC2C	NM_015172
1	170935470	171064765	MROH9	NM_001163629
1	173799549	173824639	CENPL	NM_001127181
1	173931083	174022357	RC3H1	NM_172071
1	173500459	173603072	SLC9C2	NM_178527
1	174159519	174995308	RABGAP1L	NM_001366446
1	175315194	175743595	TNR	NM_003285
1	176463174	176845601	PAPPA2	NM_020318
1	176861063	177164712	ASTN1	NM_001364856
1	177928787	178038007	CRYZL2P-SEC16B	NM_001356505
1	178725146	178921842	RALGPS2	NM_001286247
1	178513108	178522650	TEX35	NM_032126
1	179025893	179076567	FAM20B	NM_014864
1	179099330	179229677	ABL2	NM_007314
1	179550538	179575948	NPHS2	NM_014625
1	179954809	180114875	CEP350	NM_014810
1	179365970	179554735	AXDND1	NM_144696
1	180632021	180890279	XPR1	NM_004736
1	180972724	181022870	STX6	NM_005819
1	181483516	181808084	CACNA1E	NM_001205293
1	182054569	182061712	ZNF648	NM_001009992
1	183023419	183145592	LAMC1	NM_002293
1	182839346	182887982	DHX9	NM_001357
1	183186263	183245127	LAMC2	NM_005562
1	182573633	182589256	RNASEL	NM_021133
1	183248236	183304874	NMNAT2	NM_170706
1	183636108	183928543	RGL1	NM_015149
1	183935834	184037728	COLGALT2	NM_015101
1	183620845	183635783	ARPC5	NM_001270439
1	185157166	185291781	SWT1	NM_017673
1	185045557	185102603	RNF2	NM_007212
1	184791031	184974508	NIBAN1	NM_052966
1	186375757	186421371	ODR4	NM_001164245
1	185734390	186190949	HMCN1	NM_031935
1	186828948	186988981	PLA2G4A	NM_024420
1	190097658	190477864	BRINP3	NM_199051
1	193059611	193091219	RO60	NM_001173524
1	193122030	193254812	CDC73	NM_024529
1	196652042	196747504	CFH	NM_000186
1	196225780	196608440	KCNT2	NM_198503
1	196977555	197009678	CFHR5	NM_030787
1	197504748	197775480	DENND1B	NM_001195215
1	197201503	197478455	CRB1	NM_001257965
1	197917371	197935478	LHX9	NM_020204
1	198639039	198757476	PTPRC	NM_002838
1	200027709	200177415	NR5A2	NM_205860
1	200404950	200410036	ZNF281	NM_001281293
1	201190823	201228952	IGFN1	NM_001164586
1	200739571	200860703	CAMSAP2	NM_001297707
1	201039511	201112426	CACNA1S	NM_000069
1	201648321	201826974	NAV1	NM_020443
1	202193989	202319761	LGR6	NM_001017403
1	201829156	201884290	IPO9	NM_018085
1	203127725	203167405	ADORA1	NM_001365065
1	202725184	202809470	KDM5B	NM_001314042
1	203026490	203078736	PPFIA4	NM_001304331
1	202891120	202927234	KLHL12	NM_021633
1	202590596	202710454	SYT2	NM_177402
1	204218852	204359929	PLEKHA6	NM_014935
1	203795622	203854124	ZC3H11A	NM_001376346
1	203626786	203744081	ATP2B4	NM_001001396
1	204073114	204127743	SOX13	NM_005686
1	204198162	204213988	GOLT1A	NM_198447
1	204828651	205022822	NFASC	NM_001378329
1	205227945	205273343	TMCC2	NM_014858
1	205381378	205422056	LEMD1	NM_001199050
1	206203540	206464436	SRGAP2	NM_001377444
1	205913051	205943456	SLC26A9	NM_052934
1	207454327	207489892	CR2	NM_001006658
1	207321677	207360966	CD55	NM_001114752
1	206957966	206970460	FCAMR	NM_001170631
1	207089238	207099992	C4BPB	NM_000716
1	206828876	206842981	IL19	NM_013371
1	206684904	206734281	MAPKAPK2	NM_004759
1	208022242	208244384	PLXNA2	NM_025179
1	209583713	209613939	CAMK1G	NM_020439
1	210232795	210246255	SERTAD4	NM_019605
1	209938216	210171389	SYT14	NM_001146264
1	210328901	210676290	HHAT	NM_018194
1	209827971	209857565	UTP25	NM_014388
1	211259276	211316383	RCOR3	NM_001350070
1	212608760	212620774	ATF3	NM_001040619
1	211940398	212035660	INTS7	NM_001199811
1	212285409	212361853	PPP2R5A	NM_006243
1	212726152	212791777	NSL1	NM_001042549
1	212035552	212105006	DTL	NM_001286230
1	213051232	213274774	RPS6KC1	NM_001349660
1	214281158	214337131	SMYD2	NM_020197
1	214348701	214551602	PTPN14	NM_005401
1	213987972	214041504	PROX1	NM_001270616
1	215567303	215621807	KCTD3	NM_001319295
1	215082736	215237090	KCNK2	NM_001017425
1	217631343	217871696	SPATA17	NM_001375655
1	217426992	217631090	GPATCH2	NM_018040
1	218345283	218444619	TGFB2	NM_001135599
1	220057481	220089788	BPNT1	NM_006085
1	219910444	219928557	SLC30A10	NM_018713
1	220528135	220664460	MARK1	NM_018650
1	222557901	222589933	TAF1A	NM_001201536
1	222815038	223005995	DISP1	NM_001350630
1	222668012	222712491	AIDA	NM_022831
1	224227344	224330172	NVL	NM_002533
1	223712538	223776018	CAPN2	NM_001748
1	224114110	224162047	FBXO28	NM_015176
1	223541615	223665701	CAPN8	NM_001143962
1	224616316	224740554	CNIH3	NM_152495
1	224929674	225399286	DNAH14	NM_001367479
1	225486829	225653123	ENAH	NM_001377481
1	225810123	225845561	EPHX1	NM_001291163
1	226360690	226408093	PARP1	NM_001618
1	226989864	227318492	CDC42BPA	NM_001366019
1	226870571	226896103	PSEN2	NM_012486
1	228208129	228378874	OBSCN	NM_001271223
1	227918655	227947932	WNT9A	NM_003395
1	228458102	228458558	H2BU1	NM_175055
1	229440258	229508341	NUP133	NM_018230
1	230314489	230426332	PGBD5	NM_001258311
1	230057788	230282122	GALNT2	NM_001291866
1	231162927	231221564	TRIM67	NM_001004342
1	230906242	230978861	TTC13	NM_024525
1	231338292	231355023	SPRTN	NM_001010984
1	232397965	232630133	SIPA1L2	NM_020808
1	232983434	233295725	PCNX2	NM_014801
1	233904675	234324511	SLC35F3	NM_173508
1	235166901	235328179	ARID4B	NM_016374
1	235367426	235452443	TBCE	NM_001287801
1	235131182	235161250	RBM34	NM_015014
1	235661030	235883708	LYST	NM_001301365
1	235975831	236065090	NID1	NM_002508
1	236795291	236903981	MTR	NM_000254
1	236395412	236484905	EDARADD	NM_080738
1	236686453	236764627	ACTN2	NM_001278344
1	236549004	236604516	HEATR1	NM_018072
1	236142538	236208907	GPR137B	NM_003272
1	237042183	237833988	RYR2	NM_001035
1	239386567	239915449	CHRM3	NM_001347716
1	240489572	240612155	GREM2	NM_022469
1	241652280	241802777	WDR64	NM_001367482
1	241532377	241595642	KMO	NM_003679
1	241957766	241959062	BECN2	NM_001290693
1	243124427	243255281	CEP170	NM_014812
1	243499723	243850243	AKT3	NM_005465
1	244053204	244057478	ZBTB18	NM_006352
1	244408491	244452060	ADSS2	NM_001365073
1	244461272	244640504	CATSPERE	NM_001130957
1	244835475	244845063	COX20	NM_001312872
1	244970328	245125228	EFCAB2	NM_001143943
1	247034636	247078811	ZNF670	NM_033213
1	246540560	246566261	TFB2M	NM_022366
1	247722956	247748158	OR14A2	NM_001355292
1	247937028	248100922	OR2L13	NM_175911
1	69090	70008	OR4F5	NM_001005484
1	450739	451678	OR4F29	NM_001005221
1	450739	451678	OR4F16	NM_001005277
1	450739	451678	OR4F3	NM_001005224
1	944202	959256	NOC2L	NM_015658
1	966481	975865	PLEKHN1	NM_001367552
1	998963	1000097	HES4	NM_001142467
1	975197	982093	PERM1	NM_001369897
1	923922	944574	SAMD11	NM_001385640
1	1013496	1014539	ISG15	NM_005101
1	960583	965719	KLHL17	NM_198317
1	1081822	1116089	C1orf159	NM_001330306
1	1070966	1074306	RNF223	NM_001205252
1	1211339	1214153	TNFRSF4	NM_003327
1	1203507	1206592	TNFRSF18	NM_004195
