Gene	Chromosome	Start	End	Canonical
TMEM31	X	103712258	103713998	NM_182541
KLHL9	9	21333005	21334859	NM_018847
NDUFA12	12	94971439	95003680	NM_018838
BCL9L	11	118898414	118909939	NM_182557
EIPR1	2	3189333	3377689	NM_001330530
CPEB1	15_KI270850v1_alt	333696	82647870	NM_001288819
AGTRAP	1	11736208	11750192	NM_001040197
C1orf167	1	11764400	11789446	NM_001010881
C2	6	3148840	31945357	NM_001282458
KRT8	12	52897427	52926449	NM_001256293
MEN1	11	64804333	64810109	NM_130803
ZNF718	4	124670	162122	NM_001289930
SLC24A1	15	65624080	65660321	NM_004727
CADM1	11	115176473	115504394	NM_001301043
AKT3	1	511850	243843170	NM_005465
MIIP	1	12021726	12031808	NM_021933
FHL2	2	105361282	105386516	NM_201555
GDE1	16	19503469	19521964	NM_001324066
PRAMEF12	1	12774867	12777599	NM_001080830
PRAMEF11	1	12824941	12828789	NM_001146344
HNRNPCL1	1	12847407	12848289	NM_001013631
PPP1R11	6_GL000254v2_alt	1322570	30069306	NM_021959
PRAMEF4	1	12879543	12883394	NM_001009611
PRAMEF7	1	12917692	12920413	NM_001012277
SORBS1	10	95315058	95441135	NM_001290294
PRAMEF27	1	118730	13179132	NM_001300891
PRAMEF26	1	94829	13153095	NM_001306072
OTUD1	10	23439457	23440903	NM_001145373
PRAMEF9	1	118730	13179132	NM_001010890
PRAMEF13	1	140281	13199589	NM_001291380
PRAMEF18	1	166799	13226106	NM_001099850
LILRB2	19_GL949746v1_alt	249421	54280496	NM_005874
PRAMEF8	1	224838	13284091	NM_001012276
UCMA	10	13222102	13234258	NM_145314
PRAMEF15	1	13318407	13322264	NM_001098376
PRAMEF14	1	13342527	13345314	NM_001024661
PRAMEF19	1	13369066	13371900	NM_001099790
HUS1B	6	656107	656944	NM_148959
GPRASP2	X	102714869	102717386	NM_001184874
FBXL20	17	39261459	39401402	NM_032875
PURA	5	140114181	140115150	NM_005859
TOMM70	3	100365563	100400949	NM_014820
RBM24	6	17281581	17292119	NM_001143942
NADK2	5	36195143	36241798	NM_001085411
SAPCD1	6_GL000251v2_alt	3010828	31764531	NM_001039651
PGP	16	2213727	2214777	NM_001042371
WDR47	1	108971429	109023512	NM_001142550
TMEM51	1	15215087	15219743	NM_001136216
CNEP1R1	16	50025315	50035458	NM_153261
FHAD1	1	15251784	15397413	NM_052929
CELA2A	1	15456753	15472007	NM_033440
CELA2B	1	15476125	15491312	NM_015849
ZNF33A	10	38010753	38056560	NM_001278171
WDR59	16	74874208	74985017	NM_030581
YLPM1	14	74763489	74835411	NM_019589
CHCHD3	7	132785636	133081937	NM_001317177
SESN2	1	28259847	28280802	NM_031459
RAB11FIP4	17	31391852	31531732	NM_032932
TSPAN4	11	850304	866630	NM_001025237
FBXL19	16	30924732	30947230	NM_001099784
SH3GL2	9	17579242	17795743	NM_003026
CDH13	16	82627057	83795030	NM_001220488
TRIP12	2	229767553	229880079	NM_001348322
ZNF133	20	18288441	18316816	NM_003434
SCAP	3	47413853	47442993	NM_012235
EIF2A	3	150546802	150583911	NM_032025
ACOX3	4	8366960	8416521	NM_003501
ZNF630	X	48058467	48066886	NM_001282201
FCER2	19	7689192	7699760	NM_001220500
EIF2S3	X	24054968	24076785	NM_001415
CLPTM1	19	44955055	44992897	NM_001294
STAM	10	17644339	17714780	NM_001324288
CLIC1	6_GL000254v2_alt	2978602	31736300	NM_001287593
MFSD4A	1	205569069	205600461	NM_181644
WDR78	1	66814129	66924831	NM_024763
CARHSP1	16	8855163	8859328	NM_001042476
ELF5	11	34480217	34511569	NM_198381
FAN1	15_KI270905v1_alt	3190395	30937256	NM_014967
RTN4RL2	11	57460865	57476911	NM_178570
EGFL7	9	136668282	136672286	NM_016215
RASGEF1B	4	81427767	81459508	NM_152545
MST1L	1	16757231	16764480	NM_001271733
TAZ	X	154411843	154421004	NM_001303465
CROCC	1	16922018	16972446	NM_014675
LGALS12	11	63506392	63516393	NM_001142537
KLHL32	6	96967060	97139282	NM_001323252
HAGH	16	1809282	1826787	NM_001040427
NIPSNAP1	22	29555934	29581082	NM_003634
ENC1	5	74634715	74636485	NM_001256574
LAIR1	19	259917	54370277	NM_002287
COMMD4	15	75336089	75340005	NM_017828
NDUFB8	10	100523836	100529851	NM_001284367
FAM184B	4	17632531	17781299	NM_015688
NARF	17	82458803	82488157	NM_001038618
SCARA3	8	27634200	27676600	NM_016240
ACSL5	10	112376309	112427358	NM_203380
GMEB1	1	28683612	28714773	NM_006582
MAP4K5	14	50420018	50532049	NM_198794
MPP7	10	28054064	28238604	NM_173496
FKBP5	6	35575834	35642824	NM_001145777
RCN3	19	49528472	49543213	NM_020650
C11orf16	11	8921315	8932308	NM_020643
UHRF1BP1	6	34792250	34872438	NM_017754
PLPPR1	9	236697	101324057	NM_207299
DCAF16	4	17803490	17804141	NM_001345880
EPS8L1	19	55076444	55087614	NM_133180
PGF	14	74942705	74955242	NM_002632
ATP6V0B	1	43975040	43978007	NM_001294333
RILPL1	12	123472537	123533482	NM_001319302
RPL34	4	108621959	108625212	NM_033625
DEFB103B	8	112054	7882568	NM_018661
BCAS4	20	50794993	50876608	NM_017843
DUSP22	6	292539	350868	NM_001286555
KLHDC7A	1	18480981	18483315	NM_152375
SP2	17	47896286	47927824	NM_003110
ALDOC	17	28573525	28575532	NM_005165
NSMCE1	16	27225156	27257570	NM_145080
TMEM263	12	106967116	106971391	NM_001319666
CTNNA1	5	138781924	138934089	NM_001323982
ECM1	1	150508209	150513467	NM_001202858
DUSP6	12	89349253	89352039	NM_001946
IL36G	2	112978638	112985049	NM_019618
MRPS11	15	88467717	88477979	NM_001321972
NRBP1	2	27433273	27441812	NM_001321357
SMARCAD1	4	94208394	94289534	NM_001128429
MELK	9	36581681	36677337	NM_014791
ZNF623	8	125341	143651483	NM_001082480
TM9SF3	10	96522262	96586835	NM_020123
KCMF1	2	84971451	85053409	NM_020122
CCDC103	17	44900998	44902817	NM_001258397
GABRG3	15	26971535	27532881	NM_033223
CLRN1	3	150926851	150972708	NM_001256819
ARHGAP20	11	110579369	110712231	NM_001258415
SMG6	17	2061491	2303720	NM_017575
ZNF195	11	3359117	3379040	NM_001242841
PRICKLE3	X	49175672	49186297	NM_006150
ATP9A	20	51601210	51768369	NM_006045
RBM10	X	47145446	47186599	NM_001204468
CHL1	3	319776	405711	NM_006614
KIAA0753	17	6579746	6635103	NM_001351225
MARK2	11	63839506	63909237	NM_001039469
PXMP4	20	33707705	33720207	NM_007238
PQLC2	1	19317677	19328643	NM_001040125
MTHFS	15	79845209	79896988	NM_006441
CPT1C	19	49692252	49713605	NM_001199752
EMC2	8	108443658	108486598	NM_001329495
RHOXF2B	X	120072515	120163787	NM_001099685
CACNA1E	1	181483744	181798834	NM_001205293
NBL1	1	19643311	19657129	NM_005380
CACNG6	19	53992877	54012189	NM_145814
CACNG5	17	66877332	66885240	NM_145811
SPACA7	13_KI270838v1_alt	177355	112434549	NM_145248
GPR1	2	206176179	206177247	NM_001261453
ZRANB1	10	124942493	124984992	NM_017580
SCD	10	100347504	100360933	NM_005063
FUS	16	31180214	31191438	NM_004960
MTOR	1	11107484	11259409	NM_004958
SLC39A1	1	153960097	153962715	NM_014437
CD300A	17	74466703	74484126	NM_007261
VWA5B1	1	20310601	20354263	NM_001039500
ARHGEF10L	1	17580595	17697380	NM_018125
CNPY2	12	56310551	56315217	NM_014255
TEX28	X	154271414	154292117	NM_001205201
REXO5	16	20806953	20849480	NM_001199053
KIF17	1	20664583	20717706	NM_001287212
SH2D5	1	20721791	20728044	NM_001103161
ICAM2	17	64002746	64006691	NM_001099786
EIF4G3	1	20807318	21002742	NM_001198801
SLC38A11	2	164898436	164955247	NM_001351538
TNPO2	19	12701345	12720977	NM_001136195
FZR1	19	3522989	3534836	NM_016263
BOLL	2	197728466	197786003	NM_001284361
GNRH1	8	25419418	25423342	NM_000825
CACNA1D	3	53495166	53811406	NM_000720
DUSP4	8	29337025	29350278	NM_057158
P3H1	1	42746696	42766971	NM_001243246
RAI14	5	34686919	34830765	NM_001145525
COA1	7	43639581	43648614	NM_001321205
MSI2	17	57256742	57677028	NM_138962
LDLRAD2	1	21812451	21822215	NM_001013693
HMOX2	16_KI270855v1_alt	198468	4509756	NM_001286270
ZNF512	2	27583112	27621461	NM_001271318
IL12RB1	19	18059600	18098765	NM_005535
FOXN2	2	48346214	48375443	NM_002158
TNRC6A	16	24729841	24823807	NM_014494
GCLC	6	53498755	53544645	NM_001498
C5AR1	19	47309895	47320830	NM_001736
C5	9	120952738	121074836	NM_001317163
TMCC3	12	94571434	94650430	NM_001301036
AMIGO1	1	109507430	109508912	NM_020703
PPM1H	12	62648488	62934736	NM_020700
DYNC2LI1	2	43774138	43810509	NM_001348913
RSPO1	1	37612754	37629901	NM_001038633
SLC39A8	4	102253421	102344662	NM_001135147
FURIN	15	90875740	90881878	NM_001289824
ALKBH1	14	77673811	77708004	NM_006020
PPP1R18	6_GL000253v2_alt	1932382	30686018	NM_133471
MRPL48	11	73787971	73864370	NM_001318499
MUC4	3	117672	195811817	NM_001322468
KIR2DS3	19_KI270916v1_alt	475	54847943	NM_012313
GP6	19	659283	55038236	NM_001083899
MNX1	7	157005519	157010350	NM_005515
HLA-B	6	2610169	31357158	NM_005514
NCR3	6_GL000256v2_alt	2836803	31592721	NM_001145466
MTUS1	8	17645925	17755807	NM_001001924
DNMT1	19	10133666	10194899	NM_001130823
STXBP6	14	24812708	24974818	NM_014178
PAPOLA	14	96502592	96565050	NM_001252007
C12orf43	12	121004152	121016474	NM_001286198
SCAF8	6	154733422	154833395	NM_014892
CALD1	7	134867733	134968345	NM_033138
RGS7	1	240776162	241355776	NM_001350113
ASAP3	1	23429855	23484133	NM_017707
TRPC4	13	37636902	37783333	NM_003306
GPX1	3	49357387	49358278	NM_201397
CHKA	11	68053987	68121177	NM_001277
SLC39A7	6_GL000254v2_alt	4395649	33203813	NM_006979
MORF4L2	X	103676160	103677027	NM_001142418
HSPA14	10	14838402	14871606	NM_001278205
KCNN2	5	114362775	114496182	NM_021614
GANAB	11	62625814	62646599	NM_001329224
TNFSF12	17	7549153	7557350	NM_003809
TFPI	2	187466935	187503768	NM_001329239
GPN3	12	110453033	110468636	NM_001164372
CAST	5	96662422	96771679	NM_001750
RAD9B	12	110502337	110531681	NM_001286533
MFAP3L	4	169991377	170005877	NM_021647
ZSCAN20	1	33479288	33495476	NM_145238
TRIM11	1	228394704	228406561	NM_145214
LIPT1	2	99161957	99163079	NM_001204830
ALDH4A1	1	18872844	18902523	NM_003748
IFNLR1	1	24157129	24187248	NM_170743
GRHL3	1	24319551	24364371	NM_198173
OXR1	8	106359613	106750941	NM_001198533
C14orf178	14	77761042	77769678	NM_174943
CNTN1	12	40908432	41070035	NM_001843
STPG1	1	24358542	24401388	NM_001199014
DCT	13	94439897	94505016	NM_001129889
HNRNPH3	10	68337221	68342054	NM_001322437
MYO10	5	16666691	16935808	NM_012334
RELL2	5	141638225	141640444	NM_173828
CLK3	15	74615454	74629883	NM_001130028
CCDC51	3	48432407	48435128	NM_001256964
RCAN3	1	24514372	24535277	NM_013441
ZNF385A	12	54370255	54391244	NM_001290002
DNAL4	22	38779448	38782731	NM_005740
ACTR1A	10	102480862	102502647	NM_005736
BIN2	12	51281498	51324515	NM_001290009
MCRIP1	17	81823246	81826394	NM_207368
HSF4	16	67164811	67169785	NM_001040667
PARG	10	49819339	49941725	NM_003631
MGA	15	41668894	41767280	NM_001164273
HMGA1	6	34240780	34244884	NM_145901
NQO2	6	3006552	3019655	NM_001290221
BEST3	12	69643690	69697798	NM_032735
ZSCAN5A	19	56221574	56313315	NM_001322072
DCTN6	8	30156383	30183173	NM_006571
FBXL4	6	98874277	98926988	NM_001278716
FBXL6	8	144355530	144358447	NM_012162
GNPTAB	12	101747163	101830675	NM_024312
TMEM57	1	25431098	25498466	NM_018202
TMEM33	4	41935484	41954199	NM_018126
LDLRAP1	1	25543698	25566992	NM_015627
GRIA1	5	153490888	153811225	NM_001258020
KIR2DS4	19_GL949748v2_alt	11027	54847943	NM_012314
ADAM32	8_KI270822v1_alt	13357	39284799	NM_145004
CXorf40A	X	149545630	149549424	NM_001324276
HLA-F	6_GL000253v2_alt	986125	29727175	NM_001098479
PAQR7	1	25862798	25863839	NM_178422
WWC1	5	168292152	168469017	NM_001161661
FGL1	8	17864591	17885554	NM_201553
CACNB2	10	18140736	18539724	NM_000724
DAXX	6_GL000254v2_alt	4513172	33322914	NM_001141969
FBLN2	3	13570355	13637919	NM_001165035
LILRB4	19_GL949746v1_alt	389401	54668019	NM_001278426
DARS2	1	173825229	173857705	NM_018122
KIF2C	1	44739932	44767179	NM_001297656
TTC39A	1	51288156	51345043	NM_001297665
SYT12	11	67030144	67048757	NM_001318773
CEP85	1	26239783	26277293	NM_022778
HKDC1	10	69220435	69266757	NM_025130
MAP4K4	2	101698080	101891249	NM_145686
BMP8A	1	39491991	39525798	NM_181809
FOXK1	7	4682308	4762464	NM_001037165
PSG8	19	42753359	42765581	NM_001130167
LOC102724652	21	6560782	43172280	NM_001314050
RTL9	X	110450617	110455321	NM_020769
ARHGAP31	3	119294904	119416264	NM_020754
RNF146	6	127280338	127287693	NM_001242844
OTOF	2	26458039	26558571	NM_194248
PBX2	6_GL000256v2_alt	3409579	32189915	NM_002586
HKR1	19	37324921	37363775	NM_001329765
ZNF415	19	53108376	53122676	NM_001330766
CRIM1	2	36356292	36548701	NM_016441
ZDHHC18	1	26826804	26853843	NM_032283
GIN1	5	103087897	103108707	NM_017676
SWT1	1	185160841	185290803	NM_017673
DTNA	18	34755976	34890440	NM_001198939
LRRC31	3	169839981	169869807	NM_001277127
NLRP12	19	53794048	53824174	NM_001277126
TRAPPC3	1	36137202	36149378	NM_001270896
YIPF4	2	32278155	32305626	NM_032312
SYT3	19	50622689	50637411	NM_032298
NMRK2	19	3933671	3942273	NM_001289117
SHBG	17	7630172	7633352	NM_001040
RYR3	15	33311045	33865226	NM_001036
BUD23	7	73683625	73697886	NM_001202560
CNTNAP3B	9	41893988	42129094	NM_001201380
C20orf196	20	5772865	5863463	NM_001303477
KDM4A	1	43653175	43704370	NM_014663
FAM76A	1	27726080	27760581	NM_001143912
PM20D1	1	205828619	205850072	NM_152491
MPV17L	16	1053860	15408112	NM_001128423
PPP1R8	1	27830835	27850446	NM_138558
RAD51B	14	67823543	68682944	NM_001321814
HHAT	1	210329010	210674379	NM_018194
THEMIS2	1	27872571	27885922	NM_001105556
ATP6V1G1	9	114587838	114597743	NM_004888
BAG4	8	38176869	38210493	NM_004874
HLA-DQB2	6_GL000251v2_alt	3950753	32763470	NM_001300790
LYRM1	16	20915555	20924116	NM_001302836
SASS6	1	100085327	100132814	NM_194292
TTI1	20	37983455	38013816	NM_014657
PRAC2	17	48723704	48724683	NM_001282275
PSMA6	14	35278699	35317306	NM_001282232
STK25	2	241495661	241508035	NM_001271977
RPL39	X	119786683	119791576	NM_001000
ITGB7	12	53191555	53200443	NM_000889
GOLGA8R	15_KI270905v1_alt	2688630	30414162	NM_001282484
MRPL22	5	154941110	154966897	NM_014180
CTC1	17	8228179	8248036	NM_025099
ZNF41	X	47447429	47467481	NM_007130
CTAG2	X	154652128	154653515	NM_020994
C11orf42	11	6205615	6211042	NM_173525
CDH18	5	19473225	19838986	NM_001349558
PCF11	11	83157439	83184894	NM_001346413
ALDOA	16	30066897	30070212	NM_000034
CCDC154	16	1434407	1444322	NM_001143980
CDC42BPG	11	64824472	64844569	NM_017525
CEP44	4	174299121	174331595	NM_001040157
AIMP1	4	106316547	106347692	NM_004757
GTF2IRD1	7	74508080	74602433	NM_001199207
HHIP	4	144646675	144737957	NM_022475
VAMP5	2	85584490	85593157	NM_006634
GRAP	17	19021825	19046926	NM_006613
PHTF1	1	113697704	113758703	NM_001323044
SLC12A7	5	70868	1111991	NM_006598
GPR18	13	99254876	99255872	NM_005292
NR2C2	3	15003914	15043008	NM_003298
C1D	2	68042888	68047310	NM_001190265
WASF1	6	110100521	110127601	NM_003931
CLECL1	12	9716758	9733264	NM_001253750
CBWD2	2	113437868	113495743	NM_001330340
C21orf91	21	17793414	17818318	NM_001100420
AP5S1	20	3822117	3824297	NM_001204446
TINAGL1	1	31577148	31586979	NM_022164
ALOX5AP	13	30713725	30764106	NM_001204406
GSTO1	10	104254928	104267405	NM_001191003
HAND1	5	154475805	154478008	NM_004821
PEX16	11	45910088	45917811	NM_004813
ZNF354B	5	178861047	178884291	NM_058230
PPP4R4	14	1289027	94278643	NM_001348143
NCAM1	11	112961612	113275387	NM_001242607
KIR2DS5	19_KI270921v1_alt	475	54847943	NM_014513
UBE2V1	20	50082767	50115575	NM_001282575
CTNNA2	2	79523212	80647872	NM_001282597
PTGES3	12	56664478	56687999	NM_001282604
HMP19	5	174046755	174107505	NM_015980
VPS36	13	52415829	52450594	NM_001282169
NR3C1	5	143279363	143400839	NM_001018077
ANKRD22	10	88822940	88851607	NM_144590
MUC15	11	26561064	26567094	NM_001135091
TRIM5	11	5664087	5680177	NM_033092
NRCAM	7	108149909	108240064	NM_001193582
POLR2L	11	840371	842508	NM_021128
ZNF488	10	47367806	47368829	NM_001346932
SH3YL1	2	218810	263984	NM_001282687
TOP3B	22	21957113	21975709	NM_001349852
C6orf48	6_GL000250v2_alt	3085106	31839663	NM_001287482
UBR5	8	102254301	102412234	NM_015902
RARB	3	25174397	25596616	NM_001290216
RIPOR3	20	50587231	50691128	NM_001290268
ST3GAL4	11	126358345	126414192	NM_001348397
GPR161	1	168085530	168137421	NM_001349632
MLPH	2	237493426	237553592	NM_024101
WIPI2	7	5190419	5230947	NM_001278299
TOGARAM1	14	44962421	45073561	NM_001308120
FOXJ2	12	8039832	8052850	NM_018416
CYP1A1	15	74720488	74723097	NM_001319217
PRCP	11	82824905	82900402	NM_199418
UBA5	3	132660537	132676526	NM_024818
USP9Y	Y	12709447	12859416	NM_004654
AGTR1	3	148730179	148742115	NM_031850
PATZ1	22	31326890	31345602	NM_014323
TESK2	1	45344839	45457785	NM_007170
KCTD1	18	26455742	26657368	NM_001142730
NELFCD	20	58981255	58994676	NM_198976
IL1RN	2	113118018	113132871	NM_001318914
OPN1MW	X	154182677	154270984	NM_000513
DDB1	11	61300135	61332968	NM_001923
TSSK3	1	32362701	32364256	NM_052841
WDR81	17_KI270861v1_alt	146603	1737685	NM_001163809
MIER1	1	66925028	66986473	NM_001350530
EXD3	9	137306949	137395357	NM_017820
KIR2DS2	19	12720	54848111	NM_012312
ORC3	6	87590168	87667123	NM_181837
SYNPO2	4	118850928	119057934	NM_001128933
