name	name2	chrom	cdsStart	cdsEnd
NM_025179	PLXNA2	chr1	208027242	208217922
NM_033554	HLA-DPA1	chr6	33068649	33073570
NM_001265593	PLEKHG5	chr1	6467562	6485443
NM_001042665	PLEKHG5	chr1	6467562	6477571
NM_001042664	PLEKHG5	chr1	6467562	6477571
NM_001265594	PLEKHG5	chr1	6467842	6477571
NM_020631	PLEKHG5	chr1	6467562	6477571
NM_001265592	PLEKHG5	chr1	6467562	6497031
NM_001042663	PLEKHG5	chr1	6467562	6497323
NM_198681	PLEKHG5	chr1	6467562	6519511
NM_016257	HPCAL4	chr1	39682535	39684603
NM_016248	AKAP11	chr13	42286348	42319228
NM_138697	TAS1R1	chr1	6555373	6579584
NM_001242867	KIR3DL2	chr19	54850475	54866731
NM_005304	FFAR3	chr19	35358890	35359931
NM_001319153	FNDC11	chr20	63555663	63556620
NM_005445	SMC3	chr10	110567816	110604302
NM_153812	PHF13	chr1	6614066	6621637
NM_001195753	THAP3	chr1	6625218	6633077
NM_001199042	STRA6	chr15	74180079	74202519
NM_138350	THAP3	chr1	6625218	6634088
NM_018131	CEP55	chr10	93500051	93528153
NM_001289861	PER3	chr1	7784877	7842755
NM_001289862	PER3	chr1	7784877	7842755
NM_001289863	PER3	chr1	7784877	7842755
NM_001322253	RAD54L2	chr3	51590420	51663420
NM_016831	PER3	chr1	7784877	7842755
NM_001080397	SLC45A1	chr1	8318108	8344013
NM_001080998	FRG2B	chr10	133625098	133626742
NM_001080975	REPS2	chrX	16946861	17147481
NM_001079910	LRRIQ1	chr12	85038176	85244941
NM_007260	LYPLA2	chr1	23792682	23794732
NM_001172638	ZFP62	chr5	180848791	180861219
NM_001172630	ARHGAP33	chr19	35779031	35788429
NM_001285878	CEBPB	chr20	50191102	50192071
NM_001207049	BACE1	chr11	117289565	117295547
NM_001276713	ANKDD1B	chr5	75611634	75671040
NM_001276699	TP53	chr17	7673218	7675134
NM_138970	NRXN3	chr14	79280291	79861964
NM_001322340	DDX31	chr9	132594865	132670249
NM_000539	RHO	chr3	129528733	129533718
NM_001324134	XPNPEP1	chr10	109865183	109888178
NM_001173498	MAN2B1	chr19	12646619	12666701
NM_001496	GFRA3	chr5	138252967	138274424
NM_032143	ZRANB3	chr2	135200341	135504489
NM_001010866	TMEM201	chr1	9588930	9602291
NM_001130924	TMEM201	chr1	9588930	9613083
NM_001330190	HMGA2	chr12	65825270	65842614
NM_001330189	ENTPD5	chr14	73959529	73988102
NM_002254	KIF3C	chr2	25928977	25981917
NM_001308094	GATA4	chr8	11748920	11758475
NM_001308025	TICRR	chr15	89575586	89627086
NM_001301167	CLEC5A	chr7	141930103	141946292
NM_001301163	TMEM209	chr7	130166450	130205375
NM_002615	SERPINF1	chr17	1766910	1777446
NM_002534	OAS1	chr12	112907039	112917757
NM_018836	AJAP1	chr1	4655425	4774499
NM_001316975	LZIC	chr1	9922254	9936619
NM_001318199	SNX10	chr7	26346442	26372572
NM_001317099	DNAJB4	chr1	78005110	78016247
NM_001317112	MOB1A	chr2	74156637	74178674
NM_032504	UNC80	chr2	209772072	209995595
NM_001297778	NMNAT1	chr1	9972073	9982701
NM_000558	HBA1	chr16	176716	177411
NM_001135701	YWHAZ	chr8	100920692	100948889
NM_001135700	YWHAZ	chr8	100920692	100948889
NM_001135676	SMIM19	chr8	42546472	42552608
NM_153453	VGLL2	chr6	117265763	117272494
NM_153451	ORAOV1	chr11	69667518	69675239
NM_153447	NLRP5	chr19	55999725	56061528
NM_153444	OR5P2	chr11	7795973	7796942
NM_133263	PPARGC1B	chr5	149730342	149847558
NM_001304512	HSD17B7	chr1	162790800	162797937
NM_003134	SRP14	chr15	40036332	40039116
NM_002996	CX3CL1	chr16	57372568	57383032
NM_001304452	PGD	chr1	10399659	10419749
NM_213590	TRIM13	chr13	50011940	50013164
NM_001330125	VAMP2	chr17	8160854	8162451
NM_015358	MORC3	chr21	36320264	36375296
NM_001170754	C1orf127	chr1	10947662	10982037
NM_001781	CD69	chr12	9753480	9760820
NM_000646	AGL	chr1	99852669	99921651
NM_001048195	RCC1	chr1	28529866	28538007
NM_001331010	ITSN1	chr21	33718828	33888300
NM_002151	HPN	chr19	35042506	35066287
NM_002147	HOXB5	chr17	48592208	48593682
NM_001329394	VMP1	chr17	59731446	59839911
NM_020780	DISP3	chr1	11500992	11536686
NM_004088	DNTT	chr10	96304497	96338224
NM_182548	LHFPL5	chr6	35805670	35819447
NM_182541	TMEM31	chrX	103712258	103713998
NM_018847	KLHL9	chr9	21333005	21334859
NM_018838	NDUFA12	chr12	94971439	95003680
NM_182557	BCL9L	chr11	118898414	118909939
NM_001330530	EIPR1	chr2	3189333	3377689
NM_001040196	AGTRAP	chr1	11736208	11750104
NM_001040197	AGTRAP	chr1	11736208	11748593
NM_001010881	C1orf167	chr1	11764400	11789446
NM_000063	C2	chr6	31927752	31945357
NM_002273	KRT8	chr12	52897427	52904981
NM_130799	MEN1	chr11	64804333	64810109
NM_001289931	ZNF718	chr4	130880	162122
NM_001301031	SLC24A1	chr15	65624080	65654079
NM_001289930	ZNF718	chr4	130880	162122
NM_001301043	CADM1	chr11	115176473	115504394
NM_005465	AKT3	chr1	243505248	243843170
NM_021933	MIIP	chr1	12021726	12031808
NM_001318894	FHL2	chr2	105361282	105386516
NM_001324066	GDE1	chr16	19503469	19517120
NM_001080830	PRAMEF12	chr1	12774867	12777599
NM_001146344	PRAMEF11	chr1	12824941	12828789
NM_001013631	HNRNPCL1	chr1	12847407	12848289
NM_001009611	PRAMEF4	chr1	12879543	12883394
NM_001012277	PRAMEF7	chr1	12917692	12920413
NM_001034954	SORBS1	chr10	95315058	95441135
NM_001300891	PRAMEF27	chr1	13049807	13053659
NM_001306072	PRAMEF26	chr1	13073693	13077552
NM_001145373	OTUD1	chr10	23439457	23440903
NM_001306072	PRAMEF26	chr1	13149236	13153095
NM_001010890	PRAMEF9	chr1	13175280	13179132
NM_001300891	PRAMEF27	chr1	13175280	13179132
NM_001291380	PRAMEF13	chr1	13196822	13199589
NM_001099850	PRAMEF18	chr1	13223331	13226106
NM_001100631	PRAMEF22	chr1	13223331	13226109
NM_001012276	PRAMEF8	chr1	13281370	13284091
NM_001303119	UCMA	chr10	13222102	13234258
NM_001098376	PRAMEF15	chr1	13318407	13322264
NM_001024661	PRAMEF14	chr1	13342527	13345314
NM_001099790	PRAMEF19	chr1	13369066	13371900
NM_148959	HUS1B	chr6	656107	656944
NM_001184876	GPRASP2	chrX	102714869	102717386
NM_001184906	FBXL20	chr17	39261459	39401402
NM_005859	PURA	chr5	140114181	140115150
NM_014820	TOMM70	chr3	100365563	100400949
NM_153020	RBM24	chr6	17282771	17292119
NM_153013	NADK2	chr5	36195143	36225612
NM_001042371	PGP	chr16	2213727	2214777
NM_001142550	WDR47	chr1	108971429	109023512
NM_018022	TMEM51	chr1	15215087	15219743
NM_001281789	CNEP1R1	chr16	50025315	50035458
NM_052929	FHAD1	chr1	15251784	15397413
NM_022369	STRA6	chr15	74180079	74202267
NM_033440	CELA2A	chr1	15456753	15472007
NM_015849	CELA2B	chr1	15476125	15491312
NM_001324175	ZNF33A	chr10	38054460	38056560
NM_001324172	WDR59	chr16	74912146	74985017
NM_019589	YLPM1	chr14	74763489	74835411
NM_017812	CHCHD3	chr7	132785636	133081937
NM_031459	SESN2	chr1	28259847	28280802
NM_001346748	RAB11FIP4	chr17	31517737	31531732
NM_001025238	TSPAN4	chr11	850304	866630
NM_001099784	FBXL19	chr16	30924732	30947230
NM_003026	SH3GL2	chr9	17579242	17795743
NM_001220490	CDH13	chr16	83344987	83795030
NM_001284214	TRIP12	chr2	229767553	229880079
NM_001283001	ZNF133	chr20	18305686	18316816
NM_001283000	ZNF133	chr20	18305686	18316816
NM_001320044	SCAP	chr3	47413853	47426141
NM_001319044	EIF2A	chr3	150546802	150583911
NM_003501	ACOX3	chr4	8366960	8416521
NM_001190255	ZNF630	chrX	48058467	48066886
NM_001207019	FCER2	chr19	7689192	7699395
NM_001415	EIF2S3	chrX	24054968	24076785
NM_001294	CLPTM1	chr19	44955395	44992897
NM_001324288	STAM	chr10	17690174	17714780
NM_181644	MFSD4A	chr1	205569069	205600461
NM_024763	WDR78	chr1	66814129	66924831
NM_001278265	CARHSP1	chr16	8855163	8859328
NM_198381	ELF5	chr11	34480217	34511569
NM_001146095	FAN1	chr15	30904663	30910840
NM_178570	RTN4RL2	chr11	57460865	57476911
NM_201446	EGFL7	chr9	136668282	136672286
NM_152545	RASGEF1B	chr4	81427767	81459508
NM_001271733	MST1L	chr1	16757231	16764480
NM_181312	TAZ	chrX	154411843	154421004
NM_014675	CROCC	chr1	16922018	16972446
NM_001142538	LGALS12	chr11	63508600	63516393
NM_001286251	KLHL32	chr6	96967060	97139282
NM_001286249	HAGH	chr16	1809760	1826787
NM_003634	NIPSNAP1	chr22	29555934	29581082
NM_003633	ENC1	chr5	74634715	74636485
NM_001289027	LAIR1	chr19	54355267	54370277
NM_001284377	COMMD4	chr15	75336089	75340005
NM_001284368	NDUFB8	chr10	100523836	100529498
NM_015688	FAM184B	chr4	17632531	17781299
NM_014967	FAN1	chr15	30904663	30937256
NM_012336	NARF	chr17	82458803	82488157
NM_016240	SCARA3	chr8	27634200	27671351
NM_016234	ACSL5	chr10	112376309	112427358
NM_006582	GMEB1	chr1	28683612	28714773
NM_006575	MAP4K5	chr14	50420018	50532049
NM_173496	MPP7	chr10	28054064	28238604
NM_001145775	FKBP5	chr6	35575834	35642824
NM_020650	RCN3	chr19	49528472	49543213
NM_020643	C11orf16	chr11	8921315	8932308
NM_017754	UHRF1BP1	chr6	34792250	34872438
NM_017753	PLPPR1	chr9	101185494	101324057
NM_017741	DCAF16	chr4	17803490	17804141
NM_017729	EPS8L1	chr19	55080493	55087614
NM_001293643	PGF	chr14	74942705	74955242
NM_001294333	ATP6V0B	chr1	43975040	43977411
NM_001319244	RILPL1	chr12	123472537	123518388
NM_001319243	RILPL1	chr12	123472676	123533482
NM_001319236	RPL34	chr4	108621959	108625212
NM_001319235	RPL34	chr4	108621959	108625212
NM_018661	DEFB103B	chr8	7881421	7882568
NM_017843	BCAS4	chr20	50794993	50876535
NM_020185	DUSP22	chr6	292539	350868
NM_152375	KLHDC7A	chr1	18480981	18483315
NM_003110	SP2	chr17	47896286	47927824
NM_005165	ALDOC	chr17	28573525	28575532
NM_145080	NSMCE1	chr16	27225156	27257570
NM_001319664	TMEM263	chr12	106967116	106971391
NM_001319663	TMEM263	chr12	106967116	106971391
NM_001324000	CTNNA1	chr5	138886259	138934089
NM_022664	ECM1	chr1	150508209	150513467
NM_022652	DUSP6	chr12	89349253	89352039
NM_019618	IL36G	chr2	112978638	112985049
NM_022839	MRPS11	chr15	88467717	88477979
NM_013392	NRBP1	chr2	27433273	27441812
NM_020159	SMARCAD1	chr4	94208394	94289534
NM_014791	MELK	chr9	36581681	36677337
NM_014789	ZNF623	chr8	143649872	143651483
NM_020123	TM9SF3	chr10	96522262	96586835
NM_020122	KCMF1	chr2	84971451	85053409
NM_001258399	CCDC103	chr17	44900998	44902399
NM_001270873	GABRG3	chr15	26971535	27480837
NM_001256819	CLRN1	chr3	150941628	150972708
NM_001258415	ARHGAP20	chr11	110579369	110711693
NM_001256827	SMG6	chr17	2061491	2236636
NM_001256825	ZNF195	chr11	3359117	3373591
NM_001256824	ZNF195	chr11	3359117	3373591
NM_006150	PRICKLE3	chrX	49175672	49186297
NM_006045	ATP9A	chr20	51601210	51768369
NM_005676	RBM10	chrX	47147481	47186599
NM_006614	CHL1	chr3	319776	405711
NM_014804	KIAA0753	chr17	6579746	6635103
NM_001163297	MARK2	chr11	63839506	63909237
NM_007238	PXMP4	chr20	33707705	33720207
NM_001040126	PQLC2	chr1	19324663	19328643
NM_001287531	PQLC2	chr1	19325533	19328643
NM_017765	PQLC2	chr1	19317677	19328643
NM_001199758	MTHFS	chr15	79845209	79889300
NM_001199753	CPT1C	chr19	49692252	49713605
NM_001329495	EMC2	chr8	108446258	108486598
NM_001099685	RHOXF2B	chrX	120158750	120163787
NM_001205294	CACNA1E	chr1	181483744	181798834
NM_001278164	NBL1	chr1	19655030	19657129
NM_145815	CACNG6	chr19	53992877	54012189
NM_145814	CACNG6	chr19	53992877	54012189
NM_145811	CACNG5	chr17	66877332	66885240
NM_001261454	GPR1	chr2	206176179	206177247
NM_001261453	GPR1	chr2	206176179	206177247
NM_001261452	GPR1	chr2	206176179	206177247
NM_017580	ZRANB1	chr10	124942493	124984992
NM_005063	SCD	chr10	100347504	100360933
NM_004960	FUS	chr16	31180214	31191438
NM_004958	MTOR	chr1	11107484	11259409
NM_001271959	SLC39A1	chr1	153960097	153962715
NM_007261	CD300A	chr17	74466703	74484126
NM_001039500	VWA5B1	chr1	20310601	20354263
NM_018125	ARHGEF10L	chr1	17580595	17697380
NM_014255	CNPY2	chr12	56310551	56315217
NM_001586	TEX28	chrX	154271414	154292117
NM_001144924	REXO5	chr16	20806953	20849480
NM_001287212	KIF17	chr1	20664583	20715570
NM_020816	KIF17	chr1	20664583	20717706
NM_001103160	SH2D5	chr1	20721791	20726057
NM_001099789	ICAM2	chr17	64002746	64006691
NM_003760	EIF4G3	chr1	20807318	21002742
NM_001198801	EIF4G3	chr1	20807318	21002742
NM_001198802	EIF4G3	chr1	20807318	21002742
NM_001198803	EIF4G3	chr1	20941375	21002742
NM_001199148	SLC38A11	chr2	164898436	164952767
NM_001136195	TNPO2	chr19	12701345	12720977
NM_001136197	FZR1	chr19	3522989	3534836
NM_001284362	BOLL	chr2	197728554	197784631
NM_001284361	BOLL	chr2	197728466	197784631
NM_001284358	BOLL	chr2	197728554	197778999
NM_000825	GNRH1	chr8	25419418	25423342
NM_000720	CACNA1D	chr3	53495166	53811406
NM_001394	DUSP4	chr8	29337025	29350278
NM_001146289	P3H1	chr1	42746832	42766971
NM_001145521	RAI14	chr5	34686919	34830765
NM_001145520	RAI14	chr5	34686919	34830765
NM_001321200	COA1	chr7	43639581	43648614
NM_001322251	MSI2	chr17	57256742	57631831
NM_001322250	MSI2	chr17	57257101	57677028
NM_001013693	LDLRAD2	chr1	21812451	21822215
NM_001286269	HMOX2	chr16	4505524	4509756
NM_001286268	HMOX2	chr16	4505524	4509756
NM_001271288	ZNF512	chr2	27598208	27621461
NM_001271287	ZNF512	chr2	27598208	27621461
NM_005535	IL12RB1	chr19	18059607	18086823
NM_002158	FOXN2	chr2	48346214	48375443
NM_001330520	TNRC6A	chr16	24729841	24823807
NM_001498	GCLC	chr6	53498755	53544645
NM_001736	C5AR1	chr19	47309895	47320830
NM_001735	C5	chr9	120952738	121050246
NM_020698	TMCC3	chr12	94571434	94650430
NM_020703	AMIGO1	chr1	109507430	109508912
NM_020700	PPM1H	chr12	62648488	62934736
NM_016008	DYNC2LI1	chr2	43774138	43809767
NM_001038633	RSPO1	chr1	37612754	37629661
NM_001135146	SLC39A8	chr4	102263043	102344662
NM_002569	FURIN	chr15	90875740	90881878
NM_006020	ALKBH1	chr14	77673811	77708004
NM_001289974	LACTBL1	chr1	22953042	22965430
NM_001318499	MRPL48	chr11	73787971	73864370
NM_004532	MUC4	chr3	195747175	195811817
NM_001083899	GP6	chr19	55014081	55038236
NM_005515	MNX1	chr7	157005519	157010350
NM_005514	HLA-B	chr6	31354482	31357158
NM_020749	MTUS1	chr8	17645925	17697377
NM_001130823	DNMT1	chr19	10133666	10194899
NM_001304477	STXBP6	chr14	24812708	24974818
NM_001293628	PAPOLA	chr14	96532563	96565050
NM_001286191	C12orf43	chr12	121004152	121016474
NM_001286189	SCAF8	chr6	154733422	154833395
NM_004342	CALD1	chr7	134867733	134968345
NM_001350114	RGS7	chr1	240800646	241098762
NM_001143778	ASAP3	chr1	23429855	23484133
NM_016179	TRPC4	chr13	37636902	37783333
NM_000581	GPX1	chr3	49357387	49358278
NM_212469	CHKA	chr11	68053987	68121177
NM_001142418	MORF4L2	chrX	103676160	103677027
NM_001278205	HSPA14	chr10	14838402	14843581
NM_001278204	KCNN2	chr5	114463091	114496182
NM_001278194	GANAB	chr11	62625814	62639071
NM_003809	TNFSF12	chr17	7549153	7557350
NM_001329241	TFPI	chr2	187466935	187503768
NM_016301	GPN3	chr12	110453033	110468203
NM_001190442	CAST	chr5	96722677	96771679
NM_001286531	RAD9B	chr12	110505715	110530653
NM_021647	MFAP3L	chr4	169991377	170005877
NM_145238	ZSCAN20	chr1	33479288	33495476
NM_145214	TRIM11	chr1	228394704	228406561
NM_145199	LIPT1	chr2	99161957	99163079
NM_145198	LIPT1	chr2	99161957	99163079
NM_170726	ALDH4A1	chr1	18872844	18902523
NM_170743	IFNLR1	chr1	24157129	24187248
NM_198173	GRHL3	chr1	24319551	24354488
NM_198174	GRHL3	chr1	24319551	24364371
NM_001195010	GRHL3	chr1	24331546	24354488
NM_021180	GRHL3	chr1	24323085	24354488
NM_001198532	OXR1	chr8	106448022	106750941
NM_174943	C14orf178	chr14	77761042	77769678
NM_175038	CNTN1	chr12	40908432	41070035
NM_001199012	STPG1	chr1	24358542	24401388
NM_001322185	DCT	chr13	94439897	94462119
NM_001322446	HNRNPH3	chr10	68338644	68342054
NM_001322445	HNRNPH3	chr10	68338644	68342054
NM_001322444	HNRNPH3	chr10	68337221	68342054
NM_001322443	HNRNPH3	chr10	68337221	68342054
NM_001322442	HNRNPH3	chr10	68337221	68342054
NM_001322441	HNRNPH3	chr10	68337221	68342054
NM_001322439	HNRNPH3	chr10	68337221	68342054
NM_001322440	HNRNPH3	chr10	68337221	68342054
NM_001322438	HNRNPH3	chr10	68337221	68342054
NM_001322451	HNRNPH3	chr10	68339210	68342054
NM_001322450	HNRNPH3	chr10	68338644	68342054
NM_001322449	HNRNPH3	chr10	68338644	68342054
NM_001322448	HNRNPH3	chr10	68338644	68342054
NM_001322447	HNRNPH3	chr10	68338644	68342054
NM_012334	MYO10	chr5	16666691	16935808
NM_001322186	DCT	chr13	94439897	94505016
NM_001130029	RELL2	chr5	141638225	141640444
NM_001130028	CLK3	chr15	74615454	74629883
NM_001256966	CCDC51	chr3	48432407	48433856
NM_001251984	RCAN3	chr1	24533088	24535277
NM_001251981	RCAN3	chr1	24514372	24535277
NM_001251983	RCAN3	chr1	24533088	24535277
NM_001251978	RCAN3	chr1	24514372	24535277
NM_001251980	RCAN3	chr1	24514372	24535277
NM_001251982	RCAN3	chr1	24514372	24535245
NM_001251985	RCAN3	chr1	24514372	24535245
NM_001290004	ZNF385A	chr12	54370255	54384514
NM_005740	DNAL4	chr22	38779448	38782731
NM_005736	ACTR1A	chr10	102480862	102502647
NM_001290009	BIN2	chr12	51281498	51302055
NM_001288798	MCRIP1	chr17	81823246	81826394
NM_001538	HSF4	chr16	67164811	67169785
NM_001303486	PARG	chr10	49819339	49935113
NM_001164273	MGA	chr15	41668894	41767280
NM_001319079	HMGA1	chr6	34240780	34244884
NM_001319081	HMGA1	chr6	34240780	34244884
NM_001319080	HMGA1	chr6	34240780	34244884
NM_000904	NQO2	chr6	3006552	3019655
NM_001282615	BEST3	chr12	69684552	69693836
NM_001322067	ZSCAN5A	chr19	56221574	56225046
NM_006571	DCTN6	chr8	30156383	30183173
NM_012160	FBXL4	chr6	98874277	98926988
NM_012162	FBXL6	chr8	144355530	144358447
NM_024312	GNPTAB	chr12	101747163	101830675
NM_001282564	TMEM57	chr1	25431098	25498466
NM_018126	TMEM33	chr4	41935484	41954199
NM_015627	LDLRAP1	chr1	25543698	25566992
NM_001258021	GRIA1	chr5	153492198	153811225
NM_001171908	CXorf40A	chrX	149545630	149546962
NM_178422	PAQR7	chr1	25862798	25863839
NM_001161661	WWC1	chr5	168292152	168469017
NM_201553	FGL1	chr8	17864591	17885554
NM_201570	CACNB2	chr10	18401031	18539724
NM_001998	FBLN2	chr3	13570355	13637919
NM_018122	DARS2	chr1	173825229	173857705
NM_001297655	KIF2C	chr1	44739932	44767179
NM_001297662	TTC39A	chr1	51296047	51330477
NM_001331011	ITSN1	chr21	33718828	33836988
NM_177963	SYT12	chr11	67030144	67048757
NM_001281517	CEP85	chr1	26239783	26277293
NM_022778	CEP85	chr1	26239783	26277293
NM_001281518	CEP85	chr1	26271068	26277293
NM_025130	HKDC1	chr10	69220435	69266757
NM_145686	MAP4K4	chr2	101698080	101891249
NM_181809	BMP8A	chr1	39491991	39525798
NM_001037165	FOXK1	chr7	4682308	4762464
NM_001130167	PSG8	chr19	42753359	42765581
NM_001314050	LOC102724652	chr21	6560782	6563964
NM_020769	RTL9	chrX	110450617	110455321
NM_020754	ARHGAP31	chr3	119294904	119416264
NM_001242844	RNF146	chr6	127286616	127287693
NM_001242845	RNF146	chr6	127286616	127287693
NM_194322	OTOF	chr2	26460024	26477893
NM_001329762	HKR1	chr19	37335224	37363775
NM_001329761	HKR1	chr19	37335224	37363775
NM_001330759	ZNF415	chr19	53108376	53109354
NM_001329774	HKR1	chr19	37347282	37363775
NM_001329773	HKR1	chr19	37347282	37363775
NM_016441	CRIM1	chr2	36356292	36548701
NM_032283	ZDHHC18	chr1	26826804	26853843
NM_017676	GIN1	chr5	103087897	103108707
NM_017673	SWT1	chr1	185160841	185290803
NM_032981	DTNA	chr18	34820868	34866161
NM_032979	DTNA	chr18	34755976	34866161
NM_001277127	LRRC31	chr3	169840326	169869807
NM_001277126	NLRP12	chr19	53794048	53824174
NM_014408	TRAPPC3	chr1	36137202	36149378
NM_032312	YIPF4	chr2	32278155	32305626
