name	name2	chrom	cdsStart	cdsEnd
NM_001160008	NRG1	chr8	32406244	32617928
NM_001160007	NRG1	chr8	32406244	32585600
NM_001160005	NRG1	chr8	32406244	32600286
NM_001160004	NRG1	chr8	32406244	32620856
NM_001162501	TNRC6B	chr22	40574139	40719245
NM_001164617	GPC3	chrX	132670151	133119476
NM_001167902	PGPEP1L	chr15	99511706	99512862
NM_018949	UTS2R	chr17	80332200	80333370
NM_003214	TEAD3	chr6	35442820	35454439
NM_003215	TEC	chr4	48139432	48230631
NM_003216	TEF	chr22	41778048	41791964
NM_018938	PCDHB4	chr5	140501580	140503968
NM_018937	PCDHB3	chr5	140480233	140482624
NM_019037	EXOSC4	chr8	145133631	145135504
NM_019036	HMGCLL1	chr6	55300459	55443853
NM_018936	PCDHB2	chr5	140474374	140476771
NM_172390	NFATC1	chr18	77156224	77227641
NM_024545	SAP130	chr2	128699579	128784737
NM_002551	OR3A2	chr17	3181263	3182229
NM_002550	OR3A1	chr17	3194928	3195876
NM_002548	OR1D2	chr17	2995351	2996290
NM_002547	OPHN1	chrX	67268265	67652862
NM_002713	PPP1R8	chr1	28173573	28176957
NM_001178111	SCAMP5	chr15	75304180	75311324
NM_001177996	FAM109A	chr12	111800481	111803370
NM_001178100	CD8B	chr2	87042737	87088988
NM_001178086	ZFX	chrX	24225483	24229493
NM_001178065	CASR	chr3	121973036	122004038
NM_001178063	C2	chr6	31868843	31913134
NM_002736	PRKAR2B	chr7	106685352	106800027
NM_002735	PRKAR1B	chr7	590066	751142
NM_001185108	CD1E	chr1	158323778	158326686
NM_000344	SMN1	chr5	70220930	70247818
NM_014469	RBMXL2	chr11	7110351	7111530
NM_001037288	CMTM5	chr14	23846460	23848696
NM_001042517	DIAPH3	chr13	60240717	60737900
NM_001079864	TAX1BP1	chr7	27788143	27868448
NM_001142443	EDC3	chr15	74924952	74967465
NM_005312	RAPGEF1	chr9	134454883	134612801
NM_006743	RBM3	chrX	48433568	48435474
NM_012381	ORC3	chr6	88299886	88376841
NM_014725	STARD8	chrX	67936216	67944264
NM_014723	SNPH	chr20	1277015	1286698
NM_001256678	KIAA0391	chr14	35592451	35742772
NM_001256534	SLC25A1	chr22	19163642	19165868
NM_001256533	MSTO1	chr1	155580039	155584064
NM_001256532	MSTO1	chr1	155580039	155584064
NM_001256325	CACNA1G	chr17	48638820	48704112
NM_001256483	EPHX2	chr8	27361132	27402039
NM_001277339	LOC100996634	chr6	109557863	109591574
NM_178844	NLRC3	chr16	3591824	3615037
NM_032579	RETNLB	chr3	108474624	108476032
NM_032580	HES7	chr17	8024888	8027402
NM_178469	LCN8	chr9	139648949	139652382
NM_024540	MRPL24	chr1	156707189	156708496
NM_130900	RAET1L	chr6	150341265	150346607
NM_181335	ARHGAP8	chr22	45182407	45258475
NM_181340	DCAF4	chr14	73407034	73425513
NM_181337	KAAG1	chr6	24357867	24358122
NM_181336	LEMD2	chr6	33740404	33756893
NM_133340	RAD17	chr5	68677871	68710119
NM_182536	GKN2	chr2	69172499	69179993
NM_182533	C1orf86	chr1	2121147	2126188
NM_001276254	IFNL4	chr19	39737772	39739219
NM_173571	CT47A11	chrX	120112769	120114523
NM_173564	NYAP1	chr7	100082934	100091526
NM_180699	SNRNP35	chr12	123944435	123950828
NM_212479	ZMYND11	chr10	225952	295049
NM_178826	ANO4	chr12	101295563	101520848
NM_173571	CT47A11	chrX	120107909	120109663
NM_173571	CT47A11	chrX	120103049	120104803
NM_005054	RGPD5	chr2	113127754	113191030
NM_001142288	EMC8	chr16	85813470	85832901
NM_001099777	C3orf55	chr3	157271046	157296122
NM_001032363	MINOS1	chr1	19923539	19952895
NM_001032296	STK24	chr13	99105426	99229040
NM_001033564	FAM229B	chr6	112420486	112421990
NM_001184801	UBR2	chr6	42532057	42587244
NM_001184789	PARD3	chr10	34400096	35103923
NM_020365	EIF2B3	chr1	45316622	45446840
NM_033023	PDGFA	chr7	538200	558638
NM_033022	RPS24	chr10	79793659	79799964
NM_033020	TRIM33	chr1	114940269	115053697
NM_033018	CDK16	chrX	47078051	47088167
NM_032918	RERG	chr12	15262043	15370423
NM_033017	TRIM4	chr7	99489785	99517024
NM_033016	PDGFB	chr22	39621727	39636877
NM_033015	FASTK	chr7	150773811	150777853
NM_033014	OGN	chr9	95147901	95165689
NM_033013	NR1I2	chr3	119526097	119536059
NM_033012	TNFSF11	chr13	43155261	43181054
NM_033011	PLAT	chr8	42033510	42050703
NM_033010	PCBP4	chr3	51992076	51995256
NM_001202482	CRHR2	chr7	30693075	30721896
NM_001206881	MRVI1	chr11	10597878	10647935
NM_000147	FUCA1	chr1	24172204	24194776
NM_000145	FSHR	chr2	49189871	49381556
NM_001199053	LOC81691	chr16	20818275	20860802
NM_001134223	USP46	chr4	53463805	53522477
NM_001167830	TMED5	chr1	93620383	93645799
NM_001167827	TFEB	chr6	41652336	41703903
NM_001167823	BLCAP	chr20	36147312	36147576
NM_001167822	BLCAP	chr20	36147312	36147576
NM_001167820	BLCAP	chr20	36147312	36147576
NM_001167819	FHL1	chrX	135288591	135292184
NM_001167816	C20orf26	chr20	20037297	20152452
NM_001167671	LPP	chr3	188123908	188592267
NM_003793	CTSF	chr11	66331403	66335957
NM_003792	EDF1	chr9	139756735	139760710
NM_003802	MYH13	chr17	10204267	10267847
NM_001143775	CTDNEP1	chr17	7147503	7154615
NM_001143836	NOX4	chr11	89059923	89224414
NM_001143835	NFRKB	chr11	129734619	129762744
NM_001198815	MUC22	chr6	30978483	31002715
NM_000702	ATP1A2	chr1	160085651	160111112
NM_014755	SERTAD2	chr2	64863060	64864005
NM_015372	C22orf24	chr22	32330103	32334052
NM_172167	NOXO1	chr16	2029052	2031180
NM_172166	MSH5	chr6	31708243	31730308
NM_001009181	STATH	chr4	70864154	70866666
NM_001024843	TNRC6B	chr22	40521821	40719245
NM_001033553	SPECC1	chr17	19999964	20217378
NM_001146190	ZNF407	chr18	72342975	72516025
NM_001146188	TOX3	chr16	52473136	52553392
NM_015905	TRIM24	chr7	138145293	138269696
NM_001136263	C2CD4C	chr19	407095	408361
NM_001165884	ZNF268	chr12	133758583	133778903
NM_001164840	LYRM4	chr6	5187028	5260966
NM_001168238	ABL2	chr1	179076852	179198532
NM_001168237	ABL2	chr1	179076852	179198532
NM_001168236	ABL2	chr1	179076852	179198532
NM_005176	ATP5G2	chr12	54059097	54069976
NM_005175	ATP5G1	chr17	46970779	46973131
NM_005174	ATP5C1	chr10	7830170	7849625
NM_005173	ATP2A3	chr17	3828715	3867585
NM_005172	ATOH1	chr4	94750077	94751142
NM_001159575	SCNN1A	chr12	6457038	6486432
NM_001136044	TMUB1	chr7	150778635	150779650
NM_001135943	MADD	chr11	47295465	47350701
NM_001143827	MAPRE2	chr18	32558481	32720333
NM_001143826	MAPRE2	chr18	32650165	32720333
NM_001144956	RIIAD1	chr1	151694012	151701312
NM_001145055	IL18BP	chr11	71711030	71712942
NM_001160002	NRG1	chr8	32406244	32585600
NM_001185081	FMR1	chrX	146993697	147030350
NM_001184979	NDUFS5	chr1	39494396	39500168
NM_001185080	CLDN15	chr7	100875690	100880862
NM_001185078	ARHGDIA	chr17	79826751	79827806
NM_001184977	UQCC	chr20	33891737	33999766
NM_001185077	ARHGDIA	chr17	79826751	79827806
NM_001707	BCL7B	chr7	72951627	72971908
NM_001207006	IL21	chr4	123533981	123542166
NM_001206741	HSD11B1	chr1	209878287	209907866
NM_001142931	API5	chr11	43333677	43364005
NM_001146310	C1orf86	chr1	2116716	2132537
NM_001146291	ZNF674	chrX	46359277	46401522
NM_001177712	RBMS3	chr3	29323172	30032704
NM_001164692	LTB4R2	chr14	24779870	24780947
NM_001164762	PRKAR1B	chr7	590066	751142
NM_001164761	PRKAR1B	chr7	590066	751142
NM_001164759	PRKAR1B	chr7	590066	751142
NM_001164760	PRKAR1B	chr7	590066	751142
NM_001164758	PRKAR1B	chr7	590066	751142
NM_001167928	IL1RAP	chr3	190282078	190366494
NM_001098843	CXorf30	chrX	36303817	36403121
NM_001098835	MS4A15	chr11	60531206	60543188
NM_001037814	GAB4	chr22	17443622	17489004
NM_001037813	ZNF284	chr19	44580542	44591413
NM_001042412	CYLD	chr16	50783609	50830419
NM_001042410	ANKZF1	chr2	220094979	220101167
NM_001145373	OTUD1	chr10	23728386	23729832
NM_001040455	SIDT2	chr11	117049979	117066782
NM_001142435	CRISP2	chr6	49660485	49676909
NM_001142434	MGEA5	chr10	103546207	103577779
NM_001142432	MORF4L2	chrX	102931088	102931955
NM_001161576	SAMD4A	chr14	55034634	55255662
NM_001184736	SLC22A8	chr11	62760708	62768259
NM_001184734	ASTN2	chr9	119187894	119414034
NM_001184733	SLC22A8	chr11	62760708	62782157
NM_001184732	SLC22A8	chr11	62760708	62782430
NM_018986	SH3TC1	chr4	8206921	8242682
NM_018984	SSH1	chr12	109181763	109251272
NM_021934	C12orf44	chr12	52467434	52470974
NM_021933	MIIP	chr1	12081783	12091865
NM_022843	PCDH20	chr13	61985375	61989291
NM_022560	GH1	chr17	61994668	61996136
NM_022841	RFX7	chr15	56385542	56535483
NM_001014446	OCIAD2	chr4	48887500	48906566
NM_015696	GPX7	chr1	53068081	53074097
NM_015705	SGSM3	chr22	40796810	40805763
NM_015695	BRPF3	chr6	36168099	36198386
NM_014824	FCHSD2	chr11	72549835	72852922
NM_014823	WNK1	chr12	862731	1017958
NM_020167	NMUR2	chr5	151771751	151784674
NM_020166	MCCC1	chr3	182733225	182817228
NM_001146202	RASGRP4	chr19	38900679	38916731
NM_001080821	ZNF799	chr19	12501279	12511884
NM_001079818	ITGA6	chr2	173292516	173368980
NM_003677	DENR	chr12	123238248	123253625
NM_003676	DEGS1	chr1	224371038	224380180
NM_003675	PRPF18	chr10	13629086	13672340
NM_003673	TCAP	chr17	37821612	37822362
NM_003672	CDC14A	chr1	100818510	100983836
NM_001142300	CCNYL1	chr2	208576620	208618422
NM_182838	SLC35E2	chr1	1663893	1670996
NM_182836	RABGGTA	chr14	24734820	24740321
NM_001171174	CX3CR1	chr3	39306932	39323186
NM_001171172	CX3CR1	chr3	39306932	39308000
NM_001171171	CX3CR1	chr3	39306932	39308000
NM_001171170	SLC25A21	chr14	37147688	37641555
NM_001171622	VEGFA	chr6	43738443	43752299
NM_001171617	PREPL	chr2	44548494	44573481
NM_001171613	PREPL	chr2	44548494	44573481
NM_001171611	LDB3	chr10	88428448	88459131
NM_001171610	LDB3	chr10	88428448	88492733
NM_001171606	PREPL	chr2	44548494	44586854
NM_001171603	PREPL	chr2	44548494	44586854
NM_001171581	ITM2A	chrX	78616585	78622712
NM_001171511	MCFD2	chr2	47132601	47168802
NM_001171510	MCFD2	chr2	47132601	47135101
NM_001171509	MCFD2	chr2	47132601	47135101
NM_001171508	MCFD2	chr2	47132601	47136310
NM_001171507	MCFD2	chr2	47132601	47136310
NM_001171506	MCFD2	chr2	47132601	47136310
NM_001206940	AGER	chr6	32149329	32151999
NM_001171197	ELAVL2	chr9	23692554	23762232
NM_001171195	ELAVL2	chr9	23692554	23762232
NM_001080488	ONECUT3	chr19	1753661	1775444
NM_001024939	SLC2A11	chr22	24200186	24227036
NM_001024938	SLC2A11	chr22	24199157	24227036
NM_001024943	ASL	chr7	65541068	65557899
NM_001134403	CYB561D1	chr1	110036761	110038489
NM_001134402	CYB561D1	chr1	110036761	110038881
NM_001134400	CYB561D1	chr1	110036761	110038881
NM_001134389	ZDHHC4	chr7	6620192	6628541
NM_000191	HMGCL	chr1	24128952	24151905
NM_000998	RPL37A	chr2	217363597	217366127
NM_001107	ACYP1	chr14	75520146	75530256
NM_000997	RPL37	chr5	40832605	40835287
NM_001096	ACLY	chr17	40024062	40070126
NM_001647	APOD	chr3	195295770	195306332
NM_001477	GAGE12I	chrX	49217770	49223849
NM_002318	LOXL2	chr8	23155555	23225864
NM_003016	SRSF2	chr17	74732242	74733242
NM_002916	RFC4	chr3	186507757	186522502
NM_002658	PLAU	chr10	75671313	75676323
NM_003015	SFRP5	chr10	99527270	99531590
NM_002655	PLAG1	chr8	57078801	57080828
NM_002914	RFC2	chr7	73646435	73668713
NM_014977	ACIN1	chr14	23528356	23564495
NM_015412	C3orf17	chr3	112724382	112738494
NM_015411	SUMF2	chr7	56131947	56147305
NM_014791	MELK	chr9	36581678	36677334
NM_015409	EP400	chr12	132445164	132562218
NM_001202410	ZNF559	chr19	9449225	9452304
NM_001199580	SUN2	chr22	39132271	39148633
NM_000372	TYR	chr11	88911121	89028534
NM_000371	TTR	chr18	29171865	29178638
NM_001912	CTSL1	chr9	90342518	90346022
NM_001664	RHOA	chr3	49397641	49413022
NM_001663	ARF6	chr14	50360454	50360982
NM_001658	ARF1	chr1	228284815	228285714
NM_001909	CTSD	chr11	1774732	1785089
NM_001910	CTSE	chr1	206317576	206331185
NM_138802	ZFAND2B	chr2	220071709	220074028
NM_153332	ERI1	chr8	8860573	8887544
NM_153331	KCTD6	chr3	58484482	58487359
NM_153329	ALDH16A1	chr19	49956588	49973724
NM_153330	DNAJB8	chr3	128181389	128182088
NM_006029	PNMA1	chr14	74179280	74180342
NM_001178117	MINPP1	chr10	89264672	89311942
NM_002086	GRB2	chr17	73316448	73389709
NM_002186	IL9R	chrX	155227424	155240074
NM_020439	CAMK1G	chr1	209768328	209786220
NM_020426	LYZL6	chr17	34261799	34266360
NM_020432	PHTF2	chr7	77469572	77584195
NM_020429	SMURF1	chr7	98628206	98741403
NM_020428	SLC44A2	chr19	10736309	10754061
NM_020427	SLURP1	chr8	143822560	143823803
NM_001252090	MRAS	chr3	138091725	138121111
NM_001167577	TRPC7	chr5	135549122	135700942
NM_144492	CLDN14	chr21	37833273	37833993
NM_144489	RGS3	chr9	116356199	116359233
NM_144488	RGS3	chr9	116222536	116359233
NM_139355	MATK	chr19	3778180	3785133
NM_017640	LRRC16A	chr6	25280023	25619811
NM_152792	ASPRV1	chr2	70187788	70188820
NM_178138	LHX3	chr9	139089170	139096858
NM_014626	TAAR2	chr6	132938288	132939209
NM_014620	HOXC4	chr12	54447706	54448989
NM_014589	PLA2G2E	chr1	20246799	20250052
NM_015202	KIAA0556	chr16	27561491	27789950
NM_015401	HDAC7	chr12	48177623	48213568
NM_016480	PAIP2	chr5	138699473	138704487
NM_016478	ZC3HC1	chr7	129658503	129691206
NM_016476	ANAPC11	chr17	79852353	79857941
NM_016475	JKAMP	chr14	59951307	59970790
NM_016474	CCDC174	chr3	14693343	14712701
NM_016472	GSKIP	chr14	96848584	96852021
NM_016470	C20orf111	chr20	42825691	42835597
NM_016468	COX16	chr14	70793049	70826304
NM_016467	ORMDL1	chr2	190636492	190647321
NM_016466	ANKRD39	chr2	97514037	97523724
NM_016464	TMEM138	chr11	61131862	61136181
NM_144701	IL23R	chr1	67633803	67724811
NM_015041	CLUAP1	chr16	3551067	3586271
NM_014941	MORC2	chr22	31322789	31346402
NM_014949	KIAA0907	chr1	155883911	155904164
NM_014950	ZBTB1	chr14	64988222	64998615
NM_015048	SETD1B	chr12	122242643	122268145
NM_014948	UBOX5	chr20	3090751	3104011
NM_014217	KCNK2	chr1	215256649	215408488
NM_014208	DSPP	chr4	88532060	88537720
NM_014190	ADD1	chr4	2877642	2929898
NM_014947	FOXJ3	chr1	42645380	42776764
NM_014946	SPAST	chr2	32288900	32379565
NM_015046	SETX	chr9	135139625	135224815
NM_015045	WAPAL	chr10	88197299	88277826
NM_014945	ABLIM3	chr5	148521658	148637967
NM_015044	GGA2	chr16	23478910	23521732
NM_001135110	DNAJA3	chr16	4475882	4505569
NM_001134999	FERMT2	chr14	53325094	53417286
NM_001080489	GLOD5	chrX	48620194	48631851
NM_001080953	PLAGL1	chr6	144262560	144269273
NM_001080952	PLAGL1	chr6	144262560	144269273
NM_001080976	DSE	chr6	116720413	116758508
NM_001080975	REPS2	chrX	16964984	17165604
NM_001080956	PLAGL1	chr6	144262560	144263796
NM_001258421	ZFYVE19	chr15	41102122	41106424
NM_001258420	ZFYVE19	chr15	41099787	41106424
NM_001257975	CIZ1	chr9	130928475	130954218
NM_001198778	CUL2	chr10	35299238	35363154
NM_001198944	DTNA	chr18	32400832	32464709
NM_001198943	DTNA	chr18	32398168	32464709
NM_001163287	EWSR1	chr22	29664325	29686492
NM_001163286	EWSR1	chr22	29664325	29696151
NM_001163285	EWSR1	chr22	29664325	29696151
NM_001143823	ZBTB14	chr18	5290856	5293245
NM_001145299	EXOC7	chr17	74079728	74099773
NM_001145287	OPRM1	chr6	154410970	154439856
NM_057165	COL6A3	chr2	238280327	238305460
NM_057164	COL6A3	chr2	238280327	238305460
NM_001077188	HS6ST2	chrX	131762250	132092630
NM_002872	RAC2	chr22	37622712	37640188
NM_002871	RABIF	chr1	202850105	202858226
NM_002869	RAB6A	chr11	73388942	73471680
NM_002870	RAB13	chr1	153954574	153958712
NM_002868	RAB5B	chr12	56380744	56385996
NM_002867	RAB3B	chr1	52385598	52442789
NM_002866	RAB3A	chr19	18308279	18313550
NM_002865	RAB2A	chr8	61429766	61533328
NM_002864	PZP	chr12	9301567	9360937
NM_002863	PYGL	chr14	51372109	51411121
NM_002608	PDGFB	chr22	39621727	39639968
NM_002861	PCYT2	chr17	79862708	79869231
NM_022130	GOLPH3	chr5	32126317	32174140
NM_022129	PBLD	chr10	70043933	70066601
NM_022128	RBKS	chr2	28004481	28113212
NM_022127	SLC28A3	chr9	86893132	86955548
NM_022126	LHPP	chr10	126150431	126301929
NM_022124	CDH23	chr10	73199588	73575035
NM_007137	ZNF81	chrX	47705666	47776031
NM_014880	CD302	chr2	160628361	160654709
NM_014879	P2RY14	chr3	150931087	150932104
NM_014878	KIAA0020	chr9	2804330	2838507
NM_014877	HELZ	chr17	65074367	65214920
NM_014876	JOSD1	chr22	39083906	39095992
NM_014875	KIF14	chr1	200522515	200587851
NM_005692	ABCF2	chr7	150905156	150923544
NM_012326	MAPRE3	chr2	27245086	27249216
NM_012324	MAPK8IP2	chr22	51039247	51049207
NM_012310	KIF4A	chrX	69510308	69640115
NM_014844	TECPR2	chr14	102843058	102964594
NM_006125	ARHGAP6	chrX	11161977	11682948
NM_006123	IDS	chrX	148568818	148586667
NM_006122	MAN2A2	chr15	91447437	91463017
NM_013345	GPR132	chr14	105517330	105521757
NM_013342	TFPT	chr19	54610356	54618649
NM_013341	OLA1	chr2	174940153	175111543
NM_013339	ALG6	chr1	63836648	63902691
NM_013340	PCDHB1	chr5	140431055	140433512
NM_013338	ALG5	chr13	37524078	37573437
NM_013337	TIMM22	chr17	900382	904328
NM_013336	SEC61A1	chr3	127771395	127788505
NM_014681	DHX34	chr19	47856287	47885370
NM_015439	CCDC28A	chr6	139094811	139113940
NM_178821	DAW1	chr2	228736405	228788684
NM_178819	AGPAT6	chr8	41456658	41478520
NM_001242922	CT47A12	chrX	120103049	120104803
NM_033114	ZCRB1	chr12	42706868	42717904
NM_018933	PCDHB13	chr5	140593695	140596092
NM_018932	PCDHB12	chr5	140588479	140590867
NM_019032	ADAMTSL4	chr1	150524764	150532672
NM_018931	PCDHB11	chr5	140579347	140581741
NM_018930	PCDHB10	chr5	140572125	140574528
NM_019030	DHX29	chr5	54552315	54603401
NM_018929	PCDHGC5	chr5	140868807	140890740
NM_144581	L3HYPDH	chr14	59939682	59951034
NM_134325	SLC26A9	chr1	205884019	205904948
NM_144579	SFXN5	chr2	73172150	73298834
NM_144578	MAPK1IP1L	chr14	55528401	55531345
NM_144577	CCDC114	chr19	48800232	48822028
NM_144576	COQ10A	chr12	56660902	56664101
NM_144575	CAPN13	chr2	30953625	31010191
NM_201559	FOXO3	chr6	108882411	108986058
NM_198097	CCZ1B	chr7	6838854	6865828
NM_001001918	OR14C36	chr1	248512076	248513015
NM_001004746	OR5T2	chr11	55999581	56000661
NM_001098786	HILPDA	chr7	128097322	128097514
NM_001098785	FAM89B	chr11	65340140	65341112
NM_001129841	CACNA1C	chr12	2162728	2800365
NM_001099646	SLC47A2	chr17	19581998	19619868
NM_001001413	GOLGA6L1	chr15	22736336	22744278
NM_000765	CYP3A7	chr7	99303122	99332716
NM_000767	CYP2B6	chr19	41497210	41522732
NM_000619	IFNG	chr12	68549132	68553395
NM_000618	IGF1	chr12	102796284	102874159
NM_000761	CYP1A2	chr15	75042079	75047429
NM_000616	CD4	chr12	6909304	6928495
NM_000760	CSF3R	chr1	36931957	36945097
NM_001207069	BZW1	chr2	201677030	201686901
NM_013989	DIO2	chr14	80669031	80677815
NM_014089	NUPL1	chr13	25875911	25914272
NM_001253853	AP4B1	chr1	114437686	114445300
NM_000429	MAT1A	chr10	82033536	82049179
NM_000597	IGFBP2	chr2	217498246	217528827
NM_000586	IL2	chr4	123372906	123377595
NM_000566	FCGR1A	chr1	149754299	149763073
NM_000515	GH1	chr17	61994668	61996136
NM_000427	LOR	chr1	153233425	153234364
NM_002431	MNAT1	chr14	61201580	61435067
NM_006900	IFNA13	chr9	21367436	21368009
NM_000581	GPX1	chr3	49394820	49395711
NM_001171163	ZMYM3	chrX	70469292	70473105
NM_001171162	ZMYM3	chrX	70460765	70473105
NM_001171161	SIGLEC10	chr19	51914352	51920835
NM_001146181	LOC649330	chr1	12907260	12908142
NM_001146179	IP6K2	chr3	48731896	48732724
NM_001146178	IP6K2	chr3	48731896	48732724
NM_001146175	ZNF414	chr19	8575574	8578930
NM_001161562	TNIK	chr3	170781669	171177852
NM_001170588	HHAT	chr1	210522319	210847721
NM_001170587	HHAT	chr1	210502354	210847721
NM_001169574	CXorf58	chrX	23928419	23957420
NM_001170570	CXorf56	chrX	118673689	118699318
NM_001172105	GRAMD1C	chr3	113619952	113664325
NM_001171993	HPD	chr12	122277633	122295314
NM_001171992	C6orf223	chr6	43968356	43969856
NM_001171991	HCCS	chrX	11130180	11139930
NM_001171990	SETD9	chr5	56205472	56221163
NM_001171988	AGA	chr4	178352861	178363529
NM_001172087	PEX2	chr8	77895496	77896414
NM_001172086	PEX2	chr8	77895496	77896414
NM_001172085	TBP	chr6	170870884	170881353
NM_001171818	PPARD	chr6	35378864	35393856
NM_001171971	CDHR1	chr10	85954516	85979032
NM_001171968	CDHR5	chr11	617350	624902
NM_001171967	RBFA	chr18	77794495	77805937
NM_001171951	PRSS37	chr7	141536194	141540849
NM_001171949	KXD1	chr19	18672866	18679441
NM_001171948	KXD1	chr19	18672866	18679441
NM_001100393	RALYL	chr8	85441556	85833146
NM_003877	SOCS2	chr12	93966673	93968955
NM_004855	PIGB	chr15	55611448	55647630
NM_182538	SPNS3	chr17	4337262	4391189
NM_001270444	RTBDN	chr19	12936519	12940793
NM_001034956	SORBS1	chr10	97074815	97200892
NM_001191031	C17orf72	chr17	62075724	62078880
NM_000381	MID1	chrX	10417407	10535587
NM_000560	CD53	chr1	111434030	111441817
NM_001747	CAPG	chr2	85622015	85629268
NM_152755	CNPY4	chr7	99717367	99722511
NM_152754	SEMA3D	chr7	84628755	84751207
NM_152753	SCUBE3	chr6	35182195	35216482
NM_152749	ATXN7L1	chr7	105401823	105517004
NM_152750	CDHR3	chr7	105603764	105673143
NM_152748	KIAA1324L	chr7	86509786	86594224
NM_004398	DDX10	chr11	108535880	108811150
NM_004084	DEFA1	chr8	6835291	6836156
NM_004084	DEFA1	chr8	6854408	6855273
NM_004406	DMBT1	chr10	124320286	124402914
NM_004396	DDX5	chr17	62496040	62502237
NM_004395	DBN1	chr5	176884433	176900522
NM_004405	DLX2	chr2	172965270	172967266
NM_004404	SEPT2	chr2	242263647	242289589
NM_004394	DAP	chr5	10681167	10761180
NM_004084	DEFA1	chr8	6873511	6874372
NM_004403	DFNA5	chr7	24738644	24789393
NM_004392	DACH1	chr13	72014786	72440907
NM_004402	DFFB	chr1	3774167	3800305
NM_004401	DFFA	chr1	10521546	10532515
NM_015701	ERLEC1	chr2	54014347	54045106
NM_015691	WWC3	chrX	10031578	10109541
NM_015700	NFU1	chr2	69623377	69659127
NM_015689	DENND2A	chr7	140218506	140302197
NM_015690	STK36	chr2	219537552	219566732
NM_001039367	ATP6V1E1	chr22	18075439	18111401
NM_001085447	CCDC173	chr2	170502350	170550837
NM_001085437	C2orf54	chr2	241826486	241835414
NM_194312	ESPNL	chr2	239009060	239040373
NM_001004058	OR8K5	chr11	55926869	55927793
NM_002406	MGAT1	chr5	180218633	180219971
NM_002395	ME1	chr6	83921642	84140673
NM_002405	MFNG	chr22	37866000	37882215
NM_002404	MFAP4	chr17	19287774	19290468
NM_002393	MDM4	chr1	204494646	204518810
NM_002892	ARID4A	chr14	58766572	58838707
NM_002902	RCN2	chr15	77224182	77241563
NM_198448	REG3G	chr2	79253219	79255402
NM_198533	HSD11B1L	chr19	5684843	5688206
NM_032087	PCDHGA7	chr5	140762466	140764920
NM_032090	PCDHGA10	chr5	140792742	140795295
NM_032089	PCDHGA9	chr5	140782519	140785006
NM_032088	PCDHGA8	chr5	140772380	140890740
NM_183233	SLC22A18	chr11	2924575	2946427
NM_009590	AOC2	chr17	40996643	41002365
NM_009588	LTB	chr6	31549335	31550194
NM_001038628	B3GALNT1	chr3	160803546	160804542
NM_001038618	NARF	chr17	80422231	80446033
NM_001038603	MARVELD2	chr5	68715212	68737481
NM_001038493	DLX1	chr2	172950405	172952807
NM_001037984	SLC38A10	chr17	79219355	79268721
NM_001139499	LSM5	chr7	32526872	32528915
NM_000118	ENG	chr9	130578195	130616634
NM_001142673	ATG13	chr11	46665841	46693882
NM_001193316	VIPAS39	chr14	77893958	77920445
NM_025257	SLC44A4	chr6	31831403	31846757
NM_198123	CSMD3	chr8	113236999	114449083
NM_183227	RAB23	chr6	57055258	57075178
NM_182985	TRIM69	chr15	45028902	45059970
