gene	canonical	chrom	start	end
RBM14-RBM4	NM_001198845	11	66616581	66646473
ACTRT2	NM_080431	1	3021481	3022903
PRDM2	NM_012231	1	13700239	13825079
YWHAB	NM_003404	20	44885598	44908532
PSME1	NM_176783	14	24136157	24138967
CCT6B	NM_006584	17	34927858	34961509
T	NM_003181	6	166157655	166168669
TLR3	NM_003265	4	186069154	186085098
AGFG2	NM_006076	7	100539210	100568220
TRIM22	NM_006074	11	5689586	5710863
RASA4	NM_006989	7	102579645	102616758
SPAM1	NM_003117	7	123925231	123971407
INPP4A	NM_001134224	2	98444586	98591033
DRG2	NM_001388	17	18087866	18107985
OSBPL10	NM_017784	3	31660824	31981850
PLA2G6	NM_001349867	22	38111494	38181909
CCDC27	NM_152492	1	3752400	3771645
CBLL1	NM_024814	7	107743696	107761667
GUSB	NM_000181	7	65960685	65982314
EWSR1	NM_013986	22	29268008	29300525
MUTYH	NM_001128425	1	45329241	45340470
FCGR3A	NM_000569	1	161541760	161550737
ACP6	NM_001323625	1	147647365	147670543
ZMYM2	NM_003453	13	19958669	20091845
EFCAB14	NM_014774	1	46675158	46719064
GSTM4	NM_000850	1	109656075	109665501
C9orf72	NM_001256054	9	27546545	27573866
MBNL2	NM_144778	13	97222288	97394120
APOL3	NM_145641	22	36140322	36166177
ANTXR1	NM_032208	2	69013143	69249327
PLXNA2	NM_025179	1	208022242	208244320
HLA-DPA1	NM_001242524	6	33064568	33080778
PLEKHG5	NM_198681	1	6466091	6520061
HPCAL4	NM_016257	1	39678647	39691710
AKAP11	NM_016248	13	42272152	42323267
TAS1R1	NM_138697	1	6555277	6579757
KIR3DL2	NM_006737	19	54850442	54867215
FFAR3	NM_005304	19	35358459	35360487
FNDC11	NM_024059	20	63553019	63556707
SMC3	NM_005445	10	110567690	110604634
PHF13	NM_153812	1	6613695	6624033
THAP3	NM_138350	1	6624864	6635586
STRA6	NM_001199042	15	74179465	74209705
CEP55	NM_018131	10	93496611	93529092
PER3	NM_001289864	1	7784428	7845180
RAD54L2	NM_001322253	3	51538682	51668660
SLC45A1	NM_001080397	1	8318084	8344167
FRG2B	NM_001080998	10	133625098	133626795
REPS2	NM_004726	X	16946690	17153280
LRRIQ1	NM_001079910	12	85036320	85245105
LYPLA2	NM_007260	1	23791155	23795539
ZFP62	NM_152283	5	180847610	180861286
ARHGAP33	NM_001172630	19	35775514	35788822
CEBPB	NM_005194	20	50190582	50192691
BACE1	NM_012104	11	117285685	117316256
ANKDD1B	NM_001276713	5	75611475	75671846
TP53	NM_001126114	17	7668401	7687550
NRXN3	NM_001330195	14	78170372	79868290
DDX31	NM_001322341	9	132592996	132670401
RHO	NM_000539	3	129528638	129535344
XPNPEP1	NM_001324136	10	109864765	109923553
MAN2B1	NM_000528	19	12646507	12666777
GFRA3	NM_001496	5	138252379	138274564
ZRANB3	NM_001286569	2	135196968	135531236
TMEM201	NM_001010866	1	9588873	9614877
HMGA2	NM_003483	12	65824459	65966291
ENTPD5	NM_001321988	14	73957915	74019332
KIF3C	NM_002254	2	25926585	25982574
GATA4	NM_002052	8	11676918	11760002
TICRR	NM_152259	15	89575586	89628022
CLEC5A	NM_013252	7	141927356	141947007
TMEM209	NM_032842	7	130164712	130205498
SERPINF1	NM_002615	17	1761924	1777574
OAS1	NM_016816	12	112906776	112932190
AJAP1	NM_018836	1	4655044	4783791
LZIC	NM_032368	1	9922112	9943427
SNX10	NM_001318198	7	26291894	26374330
DNAJB4	NM_001317100	1	77979157	78017964
MOB1A	NM_018221	2	74152597	74178967
UNC80	NM_032504	2	209771992	209999300
NMNAT1	NM_001297778	1	9942922	9985498
HBA1	NM_000558	16	176650	177522
YWHAZ	NM_145690	8	100918575	100953395
SMIM19	NM_001135674	8	42541154	42552997
VGLL2	NM_182645	6	117265557	117273565
ORAOV1	NM_153451	11	69665563	69675397
NLRP5	NM_153447	19	55999725	56061808
OR5P2	NM_153444	11	7795973	7796942
PPARGC1B	NM_133263	5	149730251	149855022
HSD17B7	NM_016371	1	162790701	162812818
SRP14	NM_001309434	15	40035689	40039202
CX3CL1	NM_002996	16	57372460	57385048
PGD	NM_001304452	1	10398991	10420511
TRIM13	NM_213590	13	49997006	50018467
VAMP2	NM_001330125	17	8159146	8162975
MORC3	NM_001320446	21	36320188	36376646
C1orf127	NM_001170754	1	10946472	10982037
CD69	NM_001781	12	9752485	9760901
AGL	NM_000028	1	99850083	99924023
RCC1	NM_001048199	1	28505942	28539196
ITSN1	NM_001331010	21	33642399	33889684
HPN	NM_182983	19	35040505	35066573
HOXB5	NM_002147	17	48591256	48593741
VMP1	NM_001329394	17	59707464	59842255
DISP3	NM_020780	1	11479237	11537583
DNTT	NM_004088	10	96304327	96338564
LHFPL5	NM_182548	6	35805293	35824075
TMEM31	NM_182541	X	103710908	103714032
KLHL9	NM_018847	9	21329670	21335432
NDUFA12	NM_018838	12	94971327	95003713
BCL9L	NM_182557	11	118896140	118910904
EIPR1	NM_001330530	2	3188923	3377932
AGTRAP	NM_001040197	1	11736084	11750771
C1orf167	NM_001010881	1	11762192	11789585
C2	NM_001282458	6	31897784	31945674
KRT8	NM_001256293	12	52897186	52949866
MEN1	NM_130803	11	64803513	64811294
ZNF718	NM_001289930	4	124475	164159
SLC24A1	NM_004727	15	65611404	65660918
CADM1	NM_001301043	11	115173624	115504523
AKT3	NM_005465	1	243488232	243843584
MIIP	NM_021933	1	12019241	12032049
FHL2	NM_201555	2	105360825	105438773
GDE1	NM_001324066	16	19501692	19522145
PRAMEF12	NM_001080830	1	12774847	12777905
PRAMEF11	NM_001146344	1	12824759	12831410
HNRNPCL1	NM_001013631	1	12847376	12848756
PRAMEF4	NM_001009611	1	12879211	12886201
PRAMEF7	NM_001012277	1	12916646	12920480
SORBS1	NM_001290294	10	95311772	95561420
PRAMEF27	NM_001300891	1	13049807	13179132
PRAMEF26	NM_001306072	1	13073677	13153111
OTUD1	NM_001145373	10	23439268	23442381
PRAMEF9	NM_001010890	1	13175280	13179132
PRAMEF13	NM_001291380	1	13196187	13201409
PRAMEF18	NM_001099850	1	13222694	13226154
PRAMEF8	NM_001012276	1	13281303	13285137
UCMA	NM_145314	10	13221765	13234328
PRAMEF15	NM_001098376	1	13315580	13322595
PRAMEF14	NM_001024661	1	13341891	13347134
PRAMEF19	NM_001099790	1	13368430	13371947
HUS1B	NM_148959	6	655938	656964
GPRASP2	NM_001184874	X	102712175	102717733
FBXL20	NM_032875	17	39252643	39401656
PURA	NM_005859	5	140114122	140119416
TOMM70	NM_014820	3	100363458	100401398
RBM24	NM_001143942	6	17281577	17293868
NADK2	NM_001085411	5	36192588	36242279
PGP	NM_001042371	16	2211601	2214821
WDR47	NM_001142550	1	108970215	109042228
TMEM51	NM_001136216	1	15152531	15220480
CNEP1R1	NM_153261	16	50025205	50037088
FHAD1	NM_052929	1	15247271	15398126
CELA2A	NM_033440	1	15456727	15472091
CELA2B	NM_015849	1	15476100	15491400
ZNF33A	NM_001278171	10	38010649	38060089
WDR59	NM_030581	16	74873572	74985146
YLPM1	NM_019589	14	74763365	74837310
CHCHD3	NM_001317177	7	132784861	133082158
SESN2	NM_031459	1	28259451	28282491
RAB11FIP4	NM_032932	17	31391623	31538217
TSPAN4	NM_001025237	11	842823	867116
FBXL19	NM_001099784	16	30923054	30948783
SH3GL2	NM_003026	9	17578953	17797128
CDH13	NM_001220488	16	82626793	83796610
TRIP12	NM_001348322	2	229763836	229923180
ZNF133	NM_003434	20	18288282	18316996
SCAP	NM_012235	3	47413684	47475959
EIF2A	NM_032025	3	150546677	150586016
ACOX3	NM_003501	4	8366281	8440725
ZNF630	NM_001282201	X	48058177	48071658
FCER2	NM_001220500	19	7688756	7702146
EIF2S3	NM_001415	X	24054947	24078811
CLPTM1	NM_001294	19	44954584	44993346
STAM	NM_001324288	10	17644124	17716822
MFSD4A	NM_181644	1	205568983	205602918
WDR78	NM_024763	1	66812885	66924887
CARHSP1	NM_001042476	16	8852941	8869012
ELF5	NM_198381	11	34478794	34513800
FAN1	NM_014967	15	30903851	30943107
RTN4RL2	NM_178570	11	57460536	57477539
EGFL7	NM_016215	9	136662926	136672678
RASGEF1B	NM_152545	4	81426392	81471928
MST1L	NM_001271733	1	16754633	16764480
TAZ	NM_001303465	X	154411517	154421724
CROCC	NM_014675	1	16921949	16972979
LGALS12	NM_001142537	11	63506051	63516774
KLHL32	NM_001323252	6	96898082	97140754
HAGH	NM_001040427	16	1809102	1827194
NIPSNAP1	NM_003634	22	29554808	29581337
ENC1	NM_001256574	5	74627405	74641424
LAIR1	NM_002287	19	54353623	54370556
COMMD4	NM_017828	15	75335995	75340277
NDUFB8	NM_001284367	10	100523728	100529923
FAM184B	NM_015688	4	17632085	17781512
NARF	NM_001038618	17	82458183	82488267
SCARA3	NM_016240	8	27634059	27676769
ACSL5	NM_203380	10	112374157	112428380
GMEB1	NM_006582	1	28668727	28715603
MAP4K5	NM_198794	14	50418492	50532658
MPP7	NM_173496	10	28050993	28303066
FKBP5	NM_001145777	6	35573584	35728583
RCN3	NM_020650	19	49527617	49543633
C11orf16	NM_020643	11	8920075	8933006
UHRF1BP1	NM_017754	6	34792016	34877514
PLPPR1	NM_207299	9	101028748	101325135
DCAF16	NM_001345880	4	17800654	17810758
EPS8L1	NM_133180	19	55075852	55087923
PGF	NM_002632	14	74941829	74955764
ATP6V0B	NM_001294333	1	43974647	43978300
RILPL1	NM_001319302	12	123471085	123533718
RPL34	NM_033625	4	108620557	108630483
DEFB103B	NM_018661	8	7428893	7882658
BCAS4	NM_017843	20	50794893	50877177
DUSP22	NM_001286555	6	292056	351355
KLHDC7A	NM_152375	1	18480929	18485986
SP2	NM_003110	17	47896149	47928957
ALDOC	NM_005165	17	28573114	28576933
NSMCE1	NM_145080	16	27224993	27268792
TMEM263	NM_001319666	12	106955721	106974037
CTNNA1	NM_001323982	5	138753385	138935034
ECM1	NM_001202858	1	150508010	150513789
DUSP6	NM_001946	12	89347824	89352859
IL36G	NM_019618	2	112978018	112985672
MRPS11	NM_001321972	15	88467452	88480767
NRBP1	NM_001321357	2	27427789	27442257
SMARCAD1	NM_001128429	4	94207607	94291292
MELK	NM_014791	9	36572861	36677683
ZNF623	NM_001082480	8	143636012	143653730
TM9SF3	NM_020123	10	96518109	96587052
KCMF1	NM_020122	2	84971107	85059472
CCDC103	NM_001258397	17	44899711	44903679
GABRG3	NM_033223	15	26971281	27533227
CLRN1	NM_001256819	3	150926162	150972999
ARHGAP20	NM_001258415	11	110577034	110713189
SMG6	NM_017575	17	2059838	2303775
ZNF195	NM_001242841	11	3357926	3379222
PRICKLE3	NM_006150	X	49174802	49186400
ATP9A	NM_006045	20	51596774	51768411
RBM10	NM_001204468	X	47145217	47186815
CHL1	NM_006614	3	196595	409414
KIAA0753	NM_001351225	17	6578324	6640927
MARK2	NM_001039469	11	63838927	63911020
PXMP4	NM_007238	20	33702743	33720330
PQLC2	NM_001040125	1	19312245	19329300
MTHFS	NM_006441	15	79843546	79897285
CPT1C	NM_001199752	19	49691107	49713731
EMC2	NM_001329495	8	108443582	108489188
RHOXF2B	NM_001099685	X	120072263	120164039
CACNA1E	NM_001205293	1	181483549	181806784
NBL1	NM_005380	1	19643228	19658456
CACNG6	NM_145814	19	53992287	54012666
CACNG5	NM_145811	17	66877272	66885278
GPR1	NM_001261453	2	206175315	206218047
ZRANB1	NM_017580	10	124942122	124987436
SCD	NM_005063	10	100347014	100364831
FUS	NM_004960	16	31180109	31194871
MTOR	NM_004958	1	11106530	11262551
SLC39A1	NM_014437	1	153959098	153968184
CD300A	NM_007261	17	74466372	74484798
VWA5B1	NM_001039500	1	20290918	20354894
ARHGEF10L	NM_018125	1	17539834	17697875
CNPY2	NM_014255	12	56309841	56316348
TEX28	NM_001205201	X	154271264	154295211
REXO5	NM_001199053	16	20806444	20849668
KIF17	NM_001287212	1	20664013	20718017
SH2D5	NM_001103161	1	20719731	20732640
ICAM2	NM_001099786	17	64002594	64020634
EIF4G3	NM_001198801	1	20806291	21176888
SLC38A11	NM_001351538	2	164898198	164955525
TNPO2	NM_001136195	19	12699193	12723996
FZR1	NM_016263	19	3506296	3536757
BOLL	NM_001284361	2	197726878	197786312
GNRH1	NM_000825	8	25419257	25425040
CACNA1D	NM_000720	3	53495048	53812465
DUSP4	NM_057158	8	29333061	29350750
P3H1	NM_001243246	1	42746334	42767084
RAI14	NM_001145525	5	34656327	34832612
COA1	NM_001321205	7	43639246	43729541
MSI2	NM_138962	17	57255850	57684689
LDLRAD2	NM_001013693	1	21812264	21825221
HMOX2	NM_001286270	16	4474702	4510347
ZNF512	NM_001271318	2	27582968	27623215
IL12RB1	NM_005535	19	18058994	18098816
FOXN2	NM_002158	2	48314655	48379295
TNRC6A	NM_014494	16	24729727	24826226
GCLC	NM_001498	6	53497340	53545129
C5AR1	NM_001736	19	47309846	47322070
C5	NM_001317163	9	120952335	121075174
TMCC3	NM_001301036	12	94567123	94650562
AMIGO1	NM_020703	1	109506823	109509714
PPM1H	NM_020700	12	62643983	62934885
DYNC2LI1	NM_001348913	2	43774038	43828319
RSPO1	NM_001038633	1	37611349	37634923
SLC39A8	NM_001135147	4	102251040	102345498
FURIN	NM_001289824	15	90868591	90883458
ALKBH1	NM_006020	14	77672405	77708013
MRPL48	NM_001318499	11	73787871	73864611
MUC4	NM_018406	3	195746765	195811973
GP6	NM_001083899	19	55013706	55038264
MNX1	NM_005515	7	157004852	157010653
HLA-B	NM_005514	6	31353865	31357245
MTUS1	NM_001001924	8	17643793	17800917
DNMT1	NM_001130823	19	10133343	10195135
STXBP6	NM_014178	14	24809654	25050297
PAPOLA	NM_001252007	14	96502375	96567116
C12orf43	NM_001286198	12	121002421	121016502
SCAF8	NM_014892	6	154733377	154834244
CALD1	NM_033138	7	134779412	134970729
RGS7	NM_001350113	1	240775513	241357230
ASAP3	NM_017707	1	23428562	23484257
TRPC4	NM_003306	13	37636635	37869802
GPX1	NM_201397	3	49357170	49358600
CHKA	NM_001277	11	68052858	68121391
MORF4L2	NM_001142418	X	103675497	103688158
HSPA14	NM_001278205	10	14838159	14871741
KCNN2	NM_021614	5	114362318	114496500
GANAB	NM_001329224	11	62624825	62646726
TNFSF12	NM_003809	17	7549057	7557890
TFPI	NM_001329239	2	187464230	187554505
GPN3	NM_001164372	12	110452485	110468721
CAST	NM_001750	5	96662036	96774681
RAD9B	NM_001286533	12	110502199	110532086
MFAP3L	NM_021647	4	169986596	170026430
ZSCAN20	NM_145238	1	33472630	33496395
TRIM11	NM_145214	1	228393675	228406816
LIPT1	NM_001204830	2	99154954	99163150
ALDH4A1	NM_003748	1	18871429	18902799
IFNLR1	NM_170743	1	24154156	24187275
GRHL3	NM_198173	1	24319321	24364480
OXR1	NM_001198533	8	106270177	106752693
C14orf178	NM_174943	14	77760829	77769742
CNTN1	NM_001843	12	40692441	41072411
STPG1	NM_001199014	1	24356998	24415097
DCT	NM_001129889	13	94437303	94549413
HNRNPH3	NM_001322437	10	68331692	68343196
MYO10	NM_012334	5	16661906	16936276
RELL2	NM_173828	5	141636949	141641064
CLK3	NM_001130028	15	74608371	74630201
CCDC51	NM_001256964	3	48432169	48440119
RCAN3	NM_013441	1	24502350	24537020
ZNF385A	NM_001290002	12	54369128	54391305
DNAL4	NM_005740	22	38778507	38794156
ACTR1A	NM_005736	10	102479228	102502755
BIN2	NM_001290009	12	51281037	51324680
MCRIP1	NM_207368	17	81822360	81833294
HSF4	NM_001040667	16	67163384	67169945
PARG	NM_003631	10	49818274	49942027
MGA	NM_001164273	15	41660411	41769943
HMGA1	NM_145901	6	34236799	34246231
NQO2	NM_001290221	6	2999815	3019876
BEST3	NM_032735	12	69643507	69699416
ZSCAN5A	NM_001322072	19	56221302	56368383
DCTN6	NM_006571	8	30156296	30183639
FBXL4	NM_001278716	6	98873724	98948006
FBXL6	NM_012162	8	144355427	144358523
GNPTAB	NM_024312	12	101745496	101830867
TMEM57	NM_018202	1	25430857	25500207
TMEM33	NM_018126	4	41935119	41960807
LDLRAP1	NM_015627	1	25543584	25568886
GRIA1	NM_001258020	5	153490523	153813869
CXorf40A	NM_001324276	X	149540629	149555338
PAQR7	NM_178422	1	25861483	25871253
WWC1	NM_001161661	5	168292059	168472303
FGL1	NM_201553	8	17864390	17895538
CACNB2	NM_000724	10	18140676	18541759
FBLN2	NM_001165035	3	13549124	13638422
DARS2	NM_018122	1	173824658	173858544
KIF2C	NM_001297656	1	44739817	44767766
TTC39A	NM_001297665	1	51287257	51345116
SYT12	NM_001318773	11	67022718	67050863
CEP85	NM_022778	1	26234152	26278810
HKDC1	NM_025130	10	69220302	69267559
MAP4K4	NM_145686	2	101697702	101894690
BMP8A	NM_181809	1	39491645	39529869
FOXK1	NM_001037165	7	4682298	4771443
PSG8	NM_001130167	19	42752686	42765679
LOC102724652	NM_001314050	21	6560723	43172805
RTL9	NM_020769	X	110419056	110456334
ARHGAP31	NM_020754	3	119294372	119419476
RNF146	NM_001242844	6	127266681	127288560
OTOF	NM_194248	2	26457202	26558698
HKR1	NM_001329765	19	37317881	37364456
ZNF415	NM_001330766	19	53107878	53132920
CRIM1	NM_016441	2	36356226	36551135
ZDHHC18	NM_032283	1	26826709	26855720
GIN1	NM_017676	5	103085999	103120138
SWT1	NM_017673	1	185157059	185291781
DTNA	NM_001198939	18	34493289	34891844
LRRC31	NM_001277127	3	169839240	169869935
NLRP12	NM_001277126	19	53793600	53824403
TRAPPC3	NM_001270896	1	36136568	36156053
YIPF4	NM_032312	2	32277888	32306589
SYT3	NM_032298	19	50621976	50639835
NMRK2	NM_001289117	19	3933102	3942416
SHBG	NM_001040	17	7614063	7633383
RYR3	NM_001036	15	33310961	33866103
BUD23	NM_001202560	7	73683567	73698221
CNTNAP3B	NM_001201380	9	41891889	42129504
C20orf196	NM_001303477	20	5750386	5864407
KDM4A	NM_014663	1	43650125	43705518
FAM76A	NM_001143912	1	27725978	27762912
PM20D1	NM_152491	1	205828021	205850148
MPV17L	NM_001128423	16	15395753	15409686
PPP1R8	NM_138558	1	27830740	27851672
RAD51B	NM_001321814	14	67819778	68683106
HHAT	NM_018194	1	210328251	210676296
THEMIS2	NM_001105556	1	27872542	27886685
ATP6V1G1	NM_004888	9	114587713	114598872
BAG4	NM_004874	8	38176587	38213301
LYRM1	NM_001302836	16	20899867	20925011
SASS6	NM_194292	1	100083545	100133095
TTI1	NM_014657	20	37983006	38033468
PRAC2	NM_001282275	17	48723167	48724758
PSMA6	NM_001282232	14	35278557	35317479
STK25	NM_001271977	2	241494706	241509572
RPL39	NM_001000	X	119786503	119791659
ITGB7	NM_000889	12	53191317	53207307
MRPL22	NM_014180	5	154941072	154969411
CTC1	NM_025099	17	8224820	8248095
ZNF41	NM_007130	X	47445177	47483269
CTAG2	NM_020994	X	154651971	154653579
C11orf42	NM_173525	11	6205567	6211135
CDH18	NM_001349558	5	19471295	20575873
PCF11	NM_001346413	11	83157094	83185793
ALDOA	NM_000034	16	30053089	30070420
CCDC154	NM_001143980	16	1434387	1444489
CDC42BPG	NM_017525	11	64824189	64844569
CEP44	NM_001040157	4	174283676	174333380
AIMP1	NM_004757	4	106315609	106349224
GTF2IRD1	NM_001199207	7	74453789	74602593
HHIP	NM_022475	4	144645995	144738729
VAMP5	NM_006634	2	85584407	85593388
GRAP	NM_006613	17	19020655	19047052
PHTF1	NM_001323044	1	113697201	113759888
SLC12A7	NM_006598	5	1050373	1112057
GPR18	NM_005292	13	99254712	99258428
NR2C2	NM_003298	3	14947583	15049279
C1D	NM_001190265	2	68042199	68063027
WASF1	NM_003931	6	110099818	110180004
CLECL1	NM_001253750	12	9715859	9733299
CBWD2	NM_001330340	2	113437690	113496204
C21orf91	NM_001100420	21	17788966	17819386
AP5S1	NM_001204446	20	3820523	3825307
TINAGL1	NM_022164	1	31576484	31587686
ALOX5AP	NM_001204406	13	30713477	30764428
GSTO1	NM_001191003	10	104254193	104267464
HAND1	NM_004821	5	154474971	154478264
PEX16	NM_004813	11	45909668	45918123
ZNF354B	NM_058230	5	178859952	178884423
PPP4R4	NM_001348143	14	94174311	94279735
NCAM1	NM_001242607	11	112961246	113278436
UBE2V1	NM_001282575	20	50081123	50115959
CTNNA2	NM_001282597	2	79512933	80648863
PTGES3	NM_001282604	12	56663340	56688408
HMP19	NM_015980	5	174045603	174109179
VPS36	NM_001282169	13	52412601	52450678
NR3C1	NM_001018077	5	143277930	143435512
ANKRD22	NM_144590	10	88819901	88851975
MUC15	NM_001135091	11	26559031	26572268
TRIM5	NM_033092	11	5663194	5685109
NRCAM	NM_001193582	7	108147625	108456397
POLR2L	NM_021128	11	839720	842529
ZNF488	NM_001346932	10	47365495	47384338
SH3YL1	NM_001282687	2	218135	264866
TOP3B	NM_001349852	22	21957024	21982843
UBR5	NM_015902	8	102252273	102412689
RARB	NM_001290216	3	24829322	25597931
RIPOR3	NM_001290268	20	50586109	50691530
ST3GAL4	NM_001348397	11	126355644	126414641
GPR161	NM_001349632	1	168079541	168137667
MLPH	NM_024101	2	237486409	237555318
WIPI2	NM_001278299	7	5190203	5233855
TOGARAM1	NM_001308120	14	44962189	45074431
FOXJ2	NM_018416	12	8032762	8055522
CYP1A1	NM_001319217	15	74719541	74725610
PRCP	NM_199418	11	82822940	82901740
UBA5	NM_024818	3	132654445	132678107
USP9Y	NM_004654	Y	12701230	12860843
AGTR1	NM_031850	3	148697870	148743003
PATZ1	NM_014323	22	31325803	31346263
TESK2	NM_007170	1	45343882	45491168
KCTD1	NM_001142730	18	26454910	26657512
NELFCD	NM_198976	20	58981207	58995133
IL1RN	NM_001318914	2	113117892	113134016
OPN1MW	NM_000513	X	154182595	154271805
DDB1	NM_001923	11	61299446	61333212
TSSK3	NM_052841	1	32362260	32364323
MIER1	NM_001350530	1	66924894	66988619
EXD3	NM_017820	9	137306893	137423262
KIR2DS2	NM_012312	19	54738510	54848566
ORC3	NM_181837	6	87590066	87667454
SYNPO2	NM_001128933	4	118850687	119061247
ZBTB8OS	NM_001330475	1	32620822	32650590
TMC5	NM_001105248	16	19410538	19499112
RAB11FIP3	NM_014700	16	425667	522481
XPR1	NM_004736	1	180632009	180890279
BUB3	NM_004725	10	123154243	123165370
PLBD1	NM_024829	12	14503662	14567857
KIAA1522	NM_020888	1	32741910	32774970
RAP1B	NM_015646	12	68610838	68660606
DCTN2	NM_001348067	12	57530049	57547331
F11R	NM_016946	1	160995205	161021343
KCNQ1	NM_000218	11	2444990	2849110
AASDH	NM_001323890	4	56338284	56387508
LACRT	NM_033277	12	54630838	54634879
BTBD6	NM_033271	14	105248541	105251093
SLC8A3	NM_183002	14	70044216	70189070
CCDC130	NM_001320566	19	13731759	13763298
OSBPL8	NM_001319652	12	76351797	76559809
LOC102724265	NM_001319657	11	69425670	69429621
GALNT13	NM_052917	2	153871897	154453977
ZNF257	NM_001316996	19	22052447	22091101
AHSA2	NM_001321304	2	61177417	61188925
A3GALT2	NM_001080438	1	33306765	33321098
SSX4	NM_005636	X	48383526	48411899
SLC39A11	NM_001159770	17	72645945	73092714
GDF3	NM_020634	12	7689781	7695793
RET	NM_020975	10	43077068	43130349
C22orf23	NM_032561	22	37943049	37953669
ABTB1	NM_032548	3	127672937	127680926
HNRNPH2	NM_019597	X	101408132	101414140
GON7	NM_032490	14	93202891	93207114
TMEM185A	NM_032508	X	149596555	149631912
PCDHGC3	NM_002588	5	141476001	141512977
HVCN1	NM_001040107	12	110648685	110689812
METTL26	NM_032366	16	634426	636366
GJB4	NM_153212	1	34759740	34763724
SMIM12	NM_001164824	1	34850361	34859816
ZMYM1	NM_001289088	1	35059785	35115858
PEX5L	NM_001349388	3	179794958	180037053
CRABP1	NM_004378	15	78340323	78348230
CPT1B	NM_152245	22	50568860	50578667
TCF4	NM_001083962	18	55222330	55635993
GH2	NM_022557	17	63880211	63881942
IPO5	NM_002271	13	97953674	98024296
CORIN	NM_006587	4	47593997	47838106
DEFB131A	NM_001040448	4	9444533	9450514
COMMD9	NM_001307937	11	36272291	36289449
MEI1	NM_152513	22	41699513	41799455
CFHR4	NM_001201550	1	196888013	196918713
ZNF688	NM_145271	16	30569700	30572407
TMPRSS3	NM_024022	21	42371886	42396091
FAM9A	NM_001171186	X	8790795	8801383
