chrom	gene	start	end
1	SLC45A3	205657851	205680459
1	ZBTB8OS	32600172	32650903
1	AL033529.1	32465057	32600792
1	BTG2	203305491	203309602
1	EVI5	92508696	92792404
1	HIVEP3	41506365	42035925
1	AC119676.1	41585306	41628816
1	AP4B1	113894748	113905201
1	PCSK9	55039548	55064852
1	IPO9	201829141	201884294
1	LAPTM5	30732469	30757820
1	NR5A2	200027602	200177424
1	KCNQ4	40783814	40840452
1	ATPAF1	46632737	46673867
1	CFHR1	196819757	196832189
1	CFH	196651878	196747504
1	PTGFR	78303884	78539749
1	FAM72B	121167646	121185539
1	ADAM30	119893533	119896495
1	WDR78	66812885	66924887
1	GPATCH4	156594487	156601496
1	S100A7	153457744	153460701
1	TTC24	156579727	156586770
1	S100A8	153390032	153391188
1	YRDC	37802944	37808185
1	SPRR5	152947154	152949258
1	RPTN	152153595	152159228
1	CRNN	152409243	152414263
1	C1orf54	150268200	150280916
1	LRRC52	165544007	165563961
1	APH1A	150265399	150269580
1	RXRG	165400917	165445355
1	SASS6	100083563	100132955
1	LEFTY1	225886282	225911382
1	HIST2H4B	149854045	149861210
1	HIST2H2BF	149782689	149812373
1	TNFRSF14	2555639	2565382
1	A3GALT2	33306766	33321098
1	PI4KB	151291797	151327715
1	SLC30A10	219685427	219958647
1	SNX7	98661701	98760500
1	NBPF6	108450282	108471002
1	NRDC	51789191	51878937
1	RLF	40161373	40240921
1	ZSWIM5	45016399	45306209
1	PEX10	2403964	2413797
1	ST3GAL3	43705824	43931165
1	ANGEL2	212992182	213015826
1	L1TD1	62194831	62212328
1	VASH2	212950520	212992037
1	NSL1	212726153	212791782
1	FAAP20	2184461	2212720
1	DNTTIP2	93866283	93879918
1	YY1AP1	155659443	155689000
1	OR2G3	247605586	247606515
1	ANGPTL3	62597487	62606159
1	CD84	160541095	160579516
1	FPGT	74198212	74234086
1	TDRD10	154502219	154548147
1	ATP1A2	160115759	160143591
1	GGPS1	235327350	235344532
1	ANKRD13C	70260588	70354734
1	METTL13	171781664	171814023
1	VAMP4	171700160	171742247
1	LRRC71	156920650	156933094
1	DDI2	15617500	15669044
1	RSC1A1	15659869	15661722
1	S100A6	153534599	153536244
1	SPRR4	152970666	152972574
1	IVL	152908545	152911886
1	LCE2A	152698364	152699442
1	LCE2B	152686123	152687401
1	FLG2	152348735	152360006
1	S100A11	152032506	152047907
1	UCK2	165827531	165911618
1	LMX1A	165201867	165356715
1	GLMP	156290089	156295689
1	OAZ3	151762899	151771334
1	RGS5	163111121	163321791
1	VHLL	156298624	156299299
1	ZNF684	40531561	40548169
1	MRPL9	151759643	151763564
1	NUF2	163266576	163355764
1	RPS6KA1	26529761	26575030
1	SARS	109213918	109238169
1	CA14	150257159	150265078
1	EFNA1	155127460	155134857
1	EFNA3	155078872	155087538
1	AL691442.1	155063748	155086807
1	OR2T8	247920252	247921956
1	TRIM58	247857199	247878205
1	B4GALT3	161171310	161177968
1	INTS11	1311585	1324691
1	KLF17	44118850	44135140
1	EFCAB2	244969705	245127164
1	RGL1	183636085	183928531
1	ARPC5	183620846	183635757
1	GLUL	182381704	182392206
1	WASF2	27404226	27490158
1	C1orf56	151047740	151051986
1	TAGLN2	159918107	159925732
1	ANGPTL1	178849705	178871052
1	FCRL6	159800511	159816251
1	HES2	6412418	6424670
1	OR10J5	159535078	159536007
1	SLC35F3	233904933	234324516
1	KIF17	20664014	20718017
1	MNDA	158831317	158849506
1	RC3H1	173931214	174022297
1	OR10T2	158398522	158399466
1	TEX50	173635333	173637134
1	CTXND2	150887136	150913292
1	NUDC	26900238	26946862
1	SFN	26863138	26864457
1	PRRX1	170662728	170739419
1	RNF187	228487061	228495766
1	SLC27A3	153774354	153780157
1	TRMT13	100133150	100150497
1	SYPL2	109466628	109482137
1	SPRR2A	153056113	153057537
1	SPRR1B	153031202	153032900
1	LCE1D	152796751	152798181
1	AC118553.2	99970011	100083321
1	DDR2	162631373	162787400
1	UAP1	162561506	162599842
1	COQ8A	226897536	226987545
1	SLC25A44	156193932	156212796
1	ATF6	161766294	161964070
1	MSTO1	155610205	155614967
1	TRIM46	155173787	155184971
1	ASB17	75918873	75932431
1	MSH4	75796882	75913238
1	EFNA4	155063731	155069553
1	USP21	161159450	161165723
1	UFC1	161152776	161158856
1	OR2C3	247524677	247536440
1	OR13G1	247670812	247679739
1	GCSAML-AS1	247524679	247532613
1	HMCN1	185734551	186190949
1	CD244	160830160	160862855
1	ERICH3	74568111	74673738
1	COPA	160288686	160343400
1	FH	241497603	241519761
1	ACBD6	180269653	180502954
1	FPGT-TNNI3K	74198235	74544393
1	PEA15	160205337	160215376
1	BNIPL	151036321	151047720
1	CADM3	159171609	159203313
1	WDTC1	27234516	27308633
1	SRSF11	70205682	70253052
1	TARBP1	234391313	234479103
1	CACYBP	174999163	175011715
1	OR6K2	158699678	158700652
1	SPTA1	158610706	158686715
1	ZBTB37	173868082	173903549
1	CD1E	158353696	158357553
1	TRNP1	26993707	27000898
1	PRDX6	173477266	173488807
1	NR0B2	26911489	26913966
1	CD1D	158179947	158184896
1	CD5L	157830914	157898256
1	SFT2D2	168225938	168253025
1	GPR161	168079543	168137667
1	MEF2D	156463727	156500828
1	LCE1C	152804835	152806628
1	DUSP27	167094045	167129165
1	TMEM79	156282935	156293185
1	TDRKH	151770107	151791416
1	DUSP12	161749758	161757238
1	FCGR2A	161505430	161524013
1	MINOS1-NBL1	19597067	19656927
1	DNAH14	224896262	225399292
1	ZSCAN20	33472645	33496507
1	TOE1	45339670	45343975
1	KHDC4	155913043	155934400
1	C1orf115	220689845	220699157
1	NBPF11	148102046	148152322
1	PAFAH2	25959767	25998157
1	GJA5	147756199	147773362
1	BATF3	212686418	212699985
1	FAM71A	212624474	212626778
1	ATF3	212565334	212620777
1	NENF	212432887	212446379
1	USP33	77695987	77759852
1	OR2T34	248573801	248574757
1	OR2T5	248488589	248491113
1	OR2M3	248197265	248212925
1	DEDD	161120974	161132688
1	PFDN2	161100556	161118111
1	BRINP3	190097662	190478404
1	ARHGAP30	161046946	161069970
1	ODR4	186375838	186421378
1	DOCK7	62454298	62688368
1	SRARP	16004236	16008807
1	ZBTB18	244048939	244057476
1	AKT3	243488233	243851079
1	VANGL2	160400586	160428678
1	NHLH1	160367067	160372848
1	SNHG28	159834474	159873053
1	TSPAN1	46175073	46185958
1	OR10J1	159437845	159443078
1	ETV3L	157092044	157099808
1	CCDC17	45620044	45624057
1	GOLPH3L	150646225	150697144
1	SCYL3	169849631	169894267
1	TMEM35B	34981535	34985353
1	PDE4B	65792514	66374579
1	LAMTOR5	110401249	110407942
1	PRAMEF10	12892896	12898270
1	PADI2	17066761	17119435
1	SDHB	17018722	17054170
1	IFI6	27666061	27672218
1	PARK7	7954291	7985505
1	KRTCAP2	155169408	155173475
1	CLCNKB	16043736	16057308
1	OR2T4	248361581	248362627
1	OR2L3	248046836	248063407
1	OR2L2	248030070	248042305
1	OR2G2	247588360	247589313
1	ACAP3	1292376	1309609
1	FLAD1	154983338	154993111
1	AHCTF1	246839098	246931967
1	PTGS2	186671791	186680427
1	SPEN	15847864	15940460
1	UQCRHL	15807169	15809348
1	MT1HL1	237004103	237004418
1	CEP350	179954738	180114880
1	FAM163A	179743163	179816198
1	LYSMD1	151159748	151165948
1	OR10R2	158472220	158480936
1	RPE65	68428822	68449959
1	GJA9	38874451	38881587
1	EXTL2	100872372	100895998
1	DARS2	173824568	173858808
1	FASLG	172659018	172666874
1	FCRL3	157674321	157700857
1	TRIM67	231162112	231221556
1	MUC1	155185824	155192916
1	FOXD3	63323041	63325126
1	FAM131C	16057769	16073632
1	OR2M2	248174821	248181067
1	ZNF124	247121975	247172016
1	NMNAT2	183248237	183418602
1	DHX9	182839369	182887751
1	DPH2	43970000	43973369
1	IL6R	154405193	154469450
1	TDRD5	179591613	179691272
1	ATP1A4	160151570	160186977
1	AXDND1	179365720	179554735
1	GNG4	235547687	235650754
1	PRUNE1	151008420	151035713
1	RNPC3	103525691	103555239
1	APCS	159587825	159588865
1	TMEM201	9588922	9614873
1	IFI16	158999968	159055155
1	MRPS14	175010789	175023425
1	SLC30A7	100896076	100981753
1	KIRREL1	157993273	158100262
1	VCAM1	100719742	100739045
1	TAF5L	229593111	229626047
1	FMO1	171248471	171285978
1	AMPD2	109616104	109632051
1	MROH9	170935471	171064765
1	HIST3H2A	228456979	228457873
1	OBSCN	228208130	228378874
1	DIRAS3	68045896	68051631
1	BLZF1	169367970	169396540
1	ISG20L2	156721891	156728799
1	CHTOP	153633982	153646306
1	S100A4	153543613	153550136
1	IQGAP3	156525405	156572604
1	TM2D1	61681046	61725423
1	LPAR3	84811602	84893213
1	BMP8B	39757182	39788861
1	TSPAN2	115048011	115089500
1	ATP2B4	203626561	203744081
1	GNB1	1785285	1891117
1	PABPC4	39560816	39576790
1	PUM1	30931506	31065991
1	TMEM183A	203007386	203024848
1	CYP4Z1	47067488	47118319
1	KDM5B	202724495	202809470
1	DCLRE1B	113905141	113914086
1	SHISA4	201888680	201892306
1	BRDT	91949371	92014426
1	LEXM	54806063	54842252
1	SRRM1	24631716	24673267
1	CITED4	40861051	40862366
1	ATP1B1	169105697	169132722
1	SNAPIN	153658654	153661830
1	NAXE	156591762	156594299
1	MAEL	166975582	167022214
1	FLG	152302175	152325203
1	TADA1	166856510	166876327
1	RORC	151806071	151831872
1	CDC42BPA	226989865	227318474
1	BGLAP	156241962	156243321
1	EPHA10	37713880	37765133
1	KIAA1324	109113679	109206781
1	SH3BP5L	248810446	248826633
1	SUSD4	223220819	223364202
1	CASP9	15490832	15526534
1	RIT1	155897808	155911404
1	MEAF6	37492575	37514774
1	ZMPSTE24	40258107	40294184
1	LYPLAL1	219173844	219212865
1	ISG15	1001138	1014540
1	FAM102B	108560089	108644900
1	SLC2A7	9003300	9026345
1	TMCO2	40245947	40251691
1	HPDL	45326905	45328533
1	SPATA17	217631324	217871696
1	DPYD	97077743	97995000
1	FHAD1	15247272	15400283
1	GRIK3	36795527	37034129
1	NBPF4	108223341	108244081
1	AK5	77282051	77559969
1	PKLR	155289293	155301438
1	OR2T1	248403048	248408020
1	OR2T6	248375746	248391811
1	OR2T12	248290139	248303424
1	OR2L5	248013660	248024276
1	AC118470.1	247711813	247723764
1	GCSAML	247507058	247577690
1	KIF26B	245154985	245709431
1	SDCCAG8	243256034	243500092
1	CD48	160678746	160711851
1	CD164L2	27379176	27383380
1	IER5	181088712	181092899
1	AL139011.2	160216800	160285130
1	ATP8B2	154325553	154351307
1	KIAA0040	175156987	175192999
1	GSTM5	109711780	109775428
1	LRRC40	70144805	70205620
1	SERPINC1	173903804	173917378
1	OR10X1	158578919	158579899
1	CENPL	173799550	173824720
1	DISC1	231626815	232041272
1	KDF1	26949562	26960406
1	AL358472.7	153959151	153975887
1	ETV3	157121191	157138474
1	CTSS	150730196	150765957
1	PEAR1	156893698	156916434
1	PLA2G2D	20111939	20119566
1	MTF1	37809567	37859620
1	S100A3	153547329	153549372
1	GUK1	228139962	228148984
1	PLA2G2E	19920009	19923617
1	LCE1E	152786214	152788426
1	RIIAD1	151710433	151729805
1	OTUD7B	149937812	150010676
1	MTMR11	149928651	149936869
1	HIST2H2AB	149887524	149887916
1	CGN	151510510	151538692
1	WDR47	108970214	109042113
1	SH3BGRL3	26279176	26281522
1	NBPF9	149054027	149103561
1	PALMD	99645943	99694541
1	SSR2	156009048	156020959
1	PLCH2	2425980	2505530
1	KDM4A	43650158	43705515
1	KCTD3	215567392	215621807
1	TATDN3	212791828	212816626
1	PLEKHN1	966497	975865
1	TIE1	43300993	43323108
1	PRKCZ	2050470	2185395
1	TCTEX1D4	44805913	44806675
1	COL24A1	85729233	86156943
1	PLK3	44800225	44805990
1	NFIA	60865259	61462793
1	C1orf210	43281883	43285617
1	LDLRAP1	25543580	25568886
1	TTC4	54715822	54742657
1	OR1C1	247754846	247760556
1	OR6F1	247711436	247716646
1	SCCPDH	246724047	246768137
1	KCNN3	154697455	154870280
1	SLAMF7	160739057	160754821
1	OR10Z1	158605268	158612514
1	DEPDC1	68474152	68497221
1	TNFSF4	173183734	173207313
1	EXOC8	231332753	231337852
1	CRTC2	153947669	153958625
1	KIFAP3	169921326	170085208
1	INTS3	153728067	153774808
1	DBT	100186919	100249834
1	LRRC39	100148449	100178273
1	S100A1	153627926	153632039
1	LELP1	153203443	153205120
1	TSACC	156337314	156346995
1	DNAJC16	15526813	15592379
1	ARID1A	26693236	26782110
1	LCE5A	152510844	152512177
1	CRCT1	152514502	152516010
1	LCE3E	152565654	152566772
1	LCE3D	152579381	152580504
1	LCE3C	152600662	152601086
1	LCE3B	152613811	152614098
1	TMCO4	19682213	19799945
1	LCE3A	152622834	152623103
1	LCE2D	152663396	152664659
1	LCE2C	152675295	152676574
1	ILDR2	166895711	166975482
1	THEM5	151847263	151853697
1	ALDH9A1	165662216	165698863
1	PBX1	164555584	164899296
1	CCDC190	162824458	162868815
1	PLEKHO1	150149183	150164720
1	PDE4DIP	148808181	149048286
1	AKR7A3	19282558	19289250
1	HS2ST1	86914648	87109998
1	UROD	45012147	45015575
1	CLCA2	86424086	86456558
1	AL590132.1	210858125	211134146
1	STK40	36339624	36385896
1	MFSD2A	39955112	39969968
1	CYR61	85580761	85583962
1	WDR63	84999147	85133138
1	FGGY	59296638	59810647
1	SYNC	32680360	32703596
1	RPS8	44775251	44778779
1	CR2	207454230	207489895
1	CR1	207496147	207641765
1	AGO4	35808172	35857890
1	DMRTA2	50417550	50423500
1	SYDE2	85156873	85201046
1	C1orf52	85249953	85259672
1	FAF1	50437028	50960263
1	MYCL	39895426	39902256
1	HOOK1	59814786	59876378
1	CR1L	207645113	207738416
1	CD46	207752057	207795513
1	BCL10	85265776	85276904
1	AGO1	35869808	35930528
1	DDAH1	85318481	85578363
1	CDKN2C	50960745	50974633
1	ARHGAP29	94148988	94275068
1	NOC2L	944204	959309
1	CYP2J2	59893308	59926790
1	C1orf185	51102221	51148086
1	RNF11	51236271	51273455
1	SAMD11	923928	944581
1	ABCD3	94418455	94518666
1	CFAP126	161364731	161367874
1	TAF13	109062486	109076002
1	PYCR2	225919877	225924340
1	HIST2H3C	149839538	149841193
1	HIST2H4A	149832659	149839767
1	TMEM63A	225845536	225882369
1	FCGR1A	149782671	149792518
1	C1orf159	1081818	1116361
1	CAPZB	19338776	19485539
1	SRP9	225777813	225790466
1	ZFP69B	40450102	40463718
1	GIPC2	77979542	78138449
1	OR2T27	248649838	248655528
1	OR2W3	247895587	247896531
1	OR14K1	247738615	247739559
1	OR2B11	247449118	247458105
1	CKS1B	154974653	154979249
1	KLHDC9	161098361	161100346
1	KLF18	44137821	44141631
1	AHDC1	27534035	27604431
1	RNASEL	182573634	182589256
1	RGS7	240775515	241357230
1	GPR3	27392644	27395814
1	MAP3K6	27355184	27366892
1	MTR	236795281	236903981
1	PIGM	160024953	160031991
1	ZRANB2	71063291	71081297
1	SEMA6C	151131685	151146664
1	MMACHC	45500053	45513382
1	NOS1AP	162069774	162370475
1	SPATA46	162373203	162376870
1	FCRLA	161706972	161714352
1	TUFT1	151540305	151583583
1	FCGR3A	161541759	161550737
1	HIST2H3A	149852619	149854274
1	UBXN11	26281328	26318363
1	CDCA8	37692418	37709719
1	CNIH3	224434660	224740549
1	NR1I3	161229666	161238302
1	PSMB4	151399534	151401944
1	TESK2	45343883	45491166
1	SMAP2	40344850	40423326
1	SELENBP1	151364302	151372733
1	DEGS1	224175756	224193441
1	AL449266.1	108837660	108963484
1	APOA2	161222292	161223631
1	FCER1G	161215234	161220699
1	TP53BP2	223779899	223845972
1	FRRS1	99708632	99766631
1	AKNAD1	108815898	108858228
1	AC118549.1	77562416	77683419
1	HCN3	155277583	155289848
1	FAM189B	155247205	155255483
1	TPR	186311652	186375693
1	CATSPERE	244454377	244641177
1	SMG7	183472216	183598246
1	UBE2J2	1253909	1273885
1	WDR64	241652278	241802133
1	FCN3	27369112	27374824
1	GREM2	240489573	240612149
1	STX6	180972712	181023121
1	LGALS8	236518000	236552981
1	SOAT1	179293714	179358680
1	SEC16B	177923956	177984303
1	RBM34	235131183	235161457
1	PYHIN1	158930796	158977054
1	NUP210L	153992685	154155116
1	POU3F1	38044611	38046794
1	SPRTN	231337104	231355023
1	FHL3	37996770	38005606
1	PIGC	172370189	172444086
1	TTC13	230906243	230978875
1	CAPN9	230747384	230802003
1	CDA	20588948	20618908
1	MUL1	20499448	20508161
1	FMO4	171314208	171342084
1	GPR61	109539872	109548406
1	PRCC	156750610	156800817
1	PLA2G5	20028179	20091190
1	DCAF6	167935783	168075843
1	MPZL1	167721192	167791919
1	RCSD1	167630093	167706249
1	SPRR2B	153070224	153070840
1	SPRR1A	152985231	152985500
1	POU2F1	167220829	167427345
1	S100A10	151982915	151994390
1	PSRC1	109279556	109283186
1	ZNF678	227563543	227677443
1	JMJD4	227730425	227735411
1	CIART	150282543	150287093
1	SNAP47	227728539	227781231
1	FAM78B	166057426	166166969
1	NPPA	11845709	11848345
1	C1orf167	11761787	11789585
1	PRSS38	227815693	227846470
1	WNT9A	227918656	227947898
1	CCT3	156308968	156367873
1	WNT3A	228007051	228061260
1	MTHFR	11785723	11806920
1	POGK	166839447	166856344
1	MYBPHL	109292365	109307041
1	ARF1	228082660	228099212
1	TCEANC2	54053584	54112519
1	ELK4	205597556	205631962
1	GABRD	2019298	2030758
1	FNBP1L	93448131	93554661
1	NHLH2	115836377	115843917
1	LDLRAD1	54007299	54018186
1	ZBTB8B	32465069	32496686
1	CALML6	1914827	1917296
1	CMPK1	47333797	47378839
1	FAM229A	32361270	32364278
1	TMEM50A	25337917	25362361
1	GLIS1	53506237	53738106
1	SYT6	114089291	114153919
1	CCDC30	42463330	42654664
1	GUCA2B	42153421	42155824
1	PTPN7	202147013	202161588
1	SCMH1	41027200	41242154
1	ECHDC2	52895910	52927212
1	COA7	52684451	52698366
1	ST7L	112523518	112620825
1	NBPF20	145289900	145405778
1	CTTNBP2NL	112396181	112463456
1	C1orf174	3889125	3900293
1	FAM72D	145096000	145112696
1	INKA2	111680630	111739424
1	WDR77	111439890	111449376
1	TGFB2	218346235	218444619
1	AC093155.3	86993009	87169204
1	ZNF593	26169871	26170873
1	RER1	2391775	2405444
1	EPS15	51354263	51519328
1	GPR89B	147928393	147993521
1	MECR	29192873	29230942
1	CLCA1	86468368	86500289
1	AMY1C	103750406	103758690
1	DTL	212035553	212107400
1	MROH7	54641754	54710266
1	ELAVL4	50048014	50203786
1	CLSPN	35720218	35769967
1	SLC41A1	205789093	205813748
1	CD101	117001750	117036476
1	TTF2	117060303	117107453
1	RUSC1	155320896	155331114
1	CLK2	155262868	155278491
1	OR14A16	247814660	247824119
1	OR14A2	247722957	247724043
1	SMYD3	245749342	246507312
1	USF1	161039251	161045977
1	PBXIP1	154944076	154956123
1	SHCBP1L	182899865	182953525
1	TEDDM1	182398117	182400616
1	LRRC41	46261196	46303608
1	OPN3	241590102	241677376
1	SLC25A34	15736405	15741396
1	TMEM82	15742422	15747982
1	MR1	181033425	181061938
1	C1QTNF12	1242446	1246722
1	SHE	154469772	154502113
1	TMOD4	151169986	151176284
1	EDARADD	236348257	236502915
1	NID1	235975830	236065162
1	TBCE	235328570	235452443
1	NTPCR	232950605	232983882
1	SLC25A33	9539482	9585179
1	GSTM1	109687814	109709039
1	GPATCH3	26890488	26900466
1	RAB13	153981617	153986358
1	GNAT2	109603267	109619929
1	COG2	230642489	230693982
1	SPSB1	9292880	9369532
1	RAB4A	229271062	229305894
1	NTRK1	156815640	156881850
1	IBA57	228165815	228182257
1	SH2D2A	156806243	156816862
1	TIPRL	168178933	168202114
1	S100A13	153618787	153631360
1	S100A2	153561108	153567890
1	S100A7L2	153437058	153439949
1	NASP	45583846	45618904
1	TMCO1	165724293	165827755
1	THEM4	151873584	151909808
1	C2CD4D	151837819	151840557
1	PUSL1	1308567	1311677
1	NPL	182789293	182830384
1	RGS8	182641816	182684576
1	PLD5	242082986	242524696
1	NCSTN	160343272	160358952
1	KIAA1614	180913154	180951614
1	IGSF8	160091340	160098943
1	CFAP45	159872364	159900163
1	FCER1A	159289714	159308224
1	PCNX2	232983435	233295713
1	NDUFS5	39026318	39034636
1	OR10K2	158418210	158426237
1	FCRL4	157573749	157598080
1	GNAI3	109548611	109618321
1	GPR88	100538137	100542018
1	MYOCOS	171600621	171638799
1	MYOC	171635417	171652683
1	THBS3	155195588	155209051
1	PGM1	63593276	63660245
1	OR2T2	248445512	248455725
1	OR14C36	248348775	248349713
1	OR2T33	248269917	248277976
1	OR2M5	248145148	248146086
1	ZNF669	247099962	247104372
1	CNST	246566444	246668584
1	HNRNPU	244840638	244864560
1	RGS16	182598623	182604408
1	MAP1LC3C	241995490	241999073
1	BECN2	241957767	241959062
1	RGSL1	182409192	182560599
1	EXO1	241847967	241895148
1	KMO	241532134	241595642
1	ADAR	154582057	154628013
1	DCAF8	160215715	160262531
1	NEGR1	71395940	72282734
1	AMY2A	103616811	103625780
1	LURAP1	46203334	46221261
1	VPS72	151169987	151195321
1	TNFAIP8L2	151156629	151159749
1	PIK3CD	9651732	9729114
1	MLLT11	151057758	151068497
1	CLEC20A	178479247	178499634
1	HHLA3	70354805	70385339
1	LRRC7	69568398	70151945
1	TSNAX	231528653	231566524
1	TPM3	154155304	154194648
1	FCRL2	157745733	157777132
1	SPHAR	229304857	229305504
1	CYB561D1	109494052	109502932
1	C1orf112	169662007	169854080
1	INSRR	156840063	156859018
1	PLA2G2A	19975431	19980416
1	SH2D1B	162395266	162412138
1	LIN9	226231149	226309869
1	SDE2	225982702	225999331
1	HIST2H2AA4	149851061	149851624
1	SDHC	161314257	161375340
1	LMNA	156082573	156140089
1	SUCO	172532349	172611833
1	IPP	45694324	45750650
1	NUP133	229440260	229508341
1	FMO2	171185208	171211230
1	SELE	169722641	169764705
1	F5	169514166	169586588
1	CRABP2	156699606	156705816
1	S100A16	153606886	153613145
1	S100A12	153373706	153375649
1	S100A9	153357854	153361027
1	HTR6	19665287	19679562
1	CELF3	151702404	151716814
1	AL512785.2	162365407	162383531
1	SNX27	151612006	151699091
1	PARP1	226360691	226408079
1	SEMA4A	156147366	156177752
1	FCGR2B	161663147	161678654
1	HMGN2	26472450	26475972
1	AIDA	222668013	222713210
1	SNIP1	37534449	37554344
1	ZC3H12A	37474552	37484379
1	GPATCH2	217426992	217631082
1	PPIAL4G	148479824	148483679
1	KANK4	62236979	62319414
1	CNN3	94896949	94927278
1	VAV3	107571160	107965144
1	TMEM56-RWDD3	95117923	95247225
1	RWDD3	95234155	95247225
1	CENPF	214603195	214664588
1	TMEM56	95117338	95197607
1	KCNK2	215005775	215237093
1	NBPF14	148531385	148679751
1	CSF3R	36466043	36483278
1	PIGK	77088990	77219430
1	ITGB3BP	63440770	63593721
1	ST6GALNAC5	76867441	77065711
1	CTNNBIP1	9848276	9910336
1	OR2L8	247948858	247949796
1	OR11L1	247840928	247841896
1	DCST1	155033824	155050930
1	C1orf100	244352635	244389663
1	LAMC2	183186238	183244900
1	TNNI3K	74235401	74544428
1	ATP6V0B	43974487	43978295
1	TOR1AIP2	179839967	179877803
1	AMY1A	103655290	103664554
1	POMGNT1	46188682	46220305
1	FAM20B	179025804	179076562
1	DUSP23	159780932	159782543
1	GPR52	174448111	174449198
1	DPH5	100989623	101026088
1	CERS2	150960583	150975004
1	CD1B	158327951	158331531
1	C1orf131	231223763	231241187
1	ZDHHC18	26826710	26857602
1	CCSAP	229321005	229343294
1	HIST3H3	228424845	228425325
1	TRIM11	228393673	228406840
1	AMIGO1	109504175	109509738
